,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2021년10월_계_총인구수,"121,188","30,902","10,499","4,831","13,981","8,229","9,957","3,908","3,810","4,672","7,006","18,150","5,243"
2021년10월_계_연령구간인구수,"121,188","30,902","10,499","4,831","13,981","8,229","9,957","3,908","3,810","4,672","7,006","18,150","5,243"
2021년10월_계_0~9세,"7,132","2,137",897,178,758,482,624,120,99,131,246,"1,228",232
2021년10월_계_10~19세,"9,947","3,208",971,250,"1,075",580,875,218,155,207,383,"1,708",317
2021년10월_계_20~29세,"10,653","3,579",816,339,"1,266",750,611,248,219,276,473,"1,688",388
2021년10월_계_30~39세,"10,722","3,153","1,153",357,"1,177",777,849,268,190,294,416,"1,711",377
2021년10월_계_40~49세,"16,292","4,755","1,682",504,"1,850","1,090","1,502",412,357,388,722,"2,430",600
2021년10월_계_50~59세,"20,803","5,348","1,636",882,"2,441","1,427","1,745",681,667,901,"1,218","2,947",910
2021년10월_계_60~69세,"24,668","4,854","1,881","1,316","2,892","1,752","2,187","1,046","1,066","1,231","1,817","3,333","1,293"
2021년10월_계_70~79세,"13,212","2,446",970,708,"1,661",888,"1,051",561,608,713,"1,008","1,889",709
2021년10월_계_80~89세,"6,665","1,248",430,250,735,425,427,308,394,436,604,"1,039",369
2021년10월_계_90~99세,"1,045",166,59,44,114,57,83,45,50,91,117,172,47
2021년10월_계_100세 이상,49,8,4,3,12,1,3,1,5,4,2,5,1
2021년10월_남_총인구수,"60,873","15,477","5,212","2,428","6,990","4,187","4,950","1,989","1,953","2,345","3,561","9,133","2,648"
2021년10월_남_연령구간인구수,"60,873","15,477","5,212","2,428","6,990","4,187","4,950","1,989","1,953","2,345","3,561","9,133","2,648"
2021년10월_남_0~9세,"3,637","1,089",443,92,399,233,306,59,61,77,140,625,113
2021년10월_남_10~19세,"5,279","1,646",519,148,574,313,461,112,90,108,226,912,170
2021년10월_남_20~29세,"5,961","1,991",431,194,701,445,342,144,121,160,261,954,217
2021년10월_남_30~39세,"5,405","1,606",553,186,586,402,390,149,103,165,212,864,189
2021년10월_남_40~49세,"8,277","2,290",827,251,950,589,761,224,210,209,401,"1,245",320
2021년10월_남_50~59세,"10,691","2,745",846,441,"1,203",735,879,359,351,480,647,"1,513",492
2021년10월_남_60~69세,"12,284","2,439",914,627,"1,404",875,"1,055",537,545,612,963,"1,668",645
2021년10월_남_70~79세,"6,513","1,186",495,379,820,425,562,279,295,346,469,900,357
2021년10월_남_80~89세,"2,579",441,170,101,320,154,174,120,163,169,213,417,137
2021년10월_남_90~99세,236,43,14,8,27,16,20,6,12,18,29,35,8
2021년10월_남_100세 이상,11,1,0,1,6,0,0,0,2,1,0,0,0
2021년10월_여_총인구수,"60,315","15,425","5,287","2,403","6,991","4,042","5,007","1,919","1,857","2,327","3,445","9,017","2,595"
2021년10월_여_연령구간인구수,"60,315","15,425","5,287","2,403","6,991","4,042","5,007","1,919","1,857","2,327","3,445","9,017","2,595"
2021년10월_여_0~9세,"3,495","1,048",454,86,359,249,318,61,38,54,106,603,119
2021년10월_여_10~19세,"4,668","1,562",452,102,501,267,414,106,65,99,157,796,147
2021년10월_여_20~29세,"4,692","1,588",385,145,565,305,269,104,98,116,212,734,171
2021년10월_여_30~39세,"5,317","1,547",600,171,591,375,459,119,87,129,204,847,188
2021년10월_여_40~49세,"8,015","2,465",855,253,900,501,741,188,147,179,321,"1,185",280
2021년10월_여_50~59세,"10,112","2,603",790,441,"1,238",692,866,322,316,421,571,"1,434",418
2021년10월_여_60~69세,"12,384","2,415",967,689,"1,488",877,"1,132",509,521,619,854,"1,665",648
2021년10월_여_70~79세,"6,699","1,260",475,329,841,463,489,282,313,367,539,989,352
2021년10월_여_80~89세,"4,086",807,260,149,415,271,253,188,231,267,391,622,232
2021년10월_여_90~99세,809,123,45,36,87,41,63,39,38,73,88,137,39
2021년10월_여_100세 이상,38,7,4,2,6,1,3,1,3,3,2,5,1
