,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 의창구 동읍,경상남도 창원시 의창구 북면,경상남도 창원시 의창구 대산면,경상남도 창원시 의창구 의창동,경상남도 창원시 의창구 팔룡동,경상남도 창원시 의창구 명곡동,경상남도 창원시 의창구 봉림동,경상남도 창원시 성산구,경상남도 창원시 성산구 반송동,경상남도 창원시 성산구 용지동,경상남도 창원시 성산구 중앙동,경상남도 창원시 성산구 상남동,경상남도 창원시 성산구 사파동,경상남도 창원시 성산구 가음정동,경상남도 창원시 성산구 성주동,경상남도 창원시 성산구 웅남동,경상남도 창원시 마산합포구,경상남도 창원시 마산합포구 구산면,경상남도 창원시 마산합포구 진동면,경상남도 창원시 마산합포구 진북면,경상남도 창원시 마산합포구 진전면,경상남도 창원시 마산합포구 현동,경상남도 창원시 마산합포구 가포동,경상남도 창원시 마산합포구 월영동,경상남도 창원시 마산합포구 문화동,경상남도 창원시 마산합포구 반월중앙동,경상남도 창원시 마산합포구 완월동,경상남도 창원시 마산합포구 자산동,경상남도 창원시 마산합포구 교방동,경상남도 창원시 마산합포구 오동동,경상남도 창원시 마산합포구 합포동,경상남도 창원시 마산합포구 산호동,경상남도 창원시 마산회원구,경상남도 창원시 마산회원구 내서읍,경상남도 창원시 마산회원구 회원1동,경상남도 창원시 마산회원구 회원2동,경상남도 창원시 마산회원구 석전동,경상남도 창원시 마산회원구 회성동,경상남도 창원시 마산회원구 양덕1동,경상남도 창원시 마산회원구 양덕2동,경상남도 창원시 마산회원구 합성1동,경상남도 창원시 마산회원구 합성2동,경상남도 창원시 마산회원구 구암1동,경상남도 창원시 마산회원구 구암2동,경상남도 창원시 마산회원구 봉암동,경상남도 창원시 진해구,경상남도 창원시 진해구 충무동,경상남도 창원시 진해구 여좌동,경상남도 창원시 진해구 태백동,경상남도 창원시 진해구 경화동,경상남도 창원시 진해구 병암동,경상남도 창원시 진해구 석동,경상남도 창원시 진해구 이동,경상남도 창원시 진해구 자은동,경상남도 창원시 진해구 덕산동,경상남도 창원시 진해구 풍호동,경상남도 창원시 진해구 웅천동,경상남도 창원시 진해구 웅동1동,경상남도 창원시 진해구 웅동2동
2021년11월_계_총인구수,"1,033,281","218,131","19,802","43,392","7,108","50,410","25,914","41,439","30,066","251,982","41,073","29,498","34,546","27,776","44,689","40,373","26,259","7,768","181,226","4,200","12,151","3,373","3,864","14,114","1,312","42,361","11,026","14,489","8,997","10,332","16,073","19,367","7,304","12,263","187,245","63,586","10,189","10,032","16,889","6,052","10,990","31,252","9,319","7,475","8,854","9,378","3,229","194,697","16,995","8,475","4,262","11,132","7,438","17,519","8,594","21,258","10,169","25,718","12,979","6,826","43,332"
2021년11월_계_연령구간인구수,"1,033,281","218,131","19,802","43,392","7,108","50,410","25,914","41,439","30,066","251,982","41,073","29,498","34,546","27,776","44,689","40,373","26,259","7,768","181,226","4,200","12,151","3,373","3,864","14,114","1,312","42,361","11,026","14,489","8,997","10,332","16,073","19,367","7,304","12,263","187,245","63,586","10,189","10,032","16,889","6,052","10,990","31,252","9,319","7,475","8,854","9,378","3,229","194,697","16,995","8,475","4,262","11,132","7,438","17,519","8,594","21,258","10,169","25,718","12,979","6,826","43,332"
2021년11월_계_0~9세,"79,371","17,179","1,051","6,220",232,"4,131","1,960","2,199","1,386","18,407","3,058","2,039","2,157","1,974","3,183","3,478","2,105",413,"13,226",104,"1,049",54,44,"2,062",62,"4,545",463,801,363,416,"1,213",963,398,689,"12,260","4,608",351,646,"1,104",151,536,"2,998",635,235,379,484,133,"18,299","1,365",287,162,943,516,"1,390",336,"2,251","1,010","3,261","1,780",479,"4,519"
2021년11월_계_10~19세,"98,128","19,353","1,790","4,020",374,"4,564","2,653","3,835","2,117","25,726","5,137","2,623","2,489","3,265","4,600","3,914","2,965",733,"14,262",149,"1,019",130,138,"1,274",58,"4,077",655,"1,341",698,841,"1,332","1,168",430,952,"17,602","7,849",605,761,"1,196",309,815,"3,455",553,447,643,760,209,"21,185","1,785",627,253,993,754,"2,406",519,"2,265","1,199","3,315","1,003",700,"5,366"
2021년11월_계_20~29세,"126,044","28,038","2,197","3,607",614,"6,718","3,854","6,173","4,875","37,004","5,311","4,477","6,204","3,997","6,268","5,809","3,947",991,"18,931",278,"1,053",246,210,"1,114",188,"5,006","1,708","1,496","1,056","1,118","1,521","1,939",675,"1,323","21,223","7,996",905,"1,081","1,748",532,"1,266","3,237","1,107",908,902,"1,233",308,"20,848","2,182",815,405,"1,131",778,"2,223","1,073","2,193","1,194","2,190","1,243",676,"4,745"
2021년11월_계_30~39세,"130,293","28,353","1,755","7,503",631,"6,838","3,703","4,252","3,671","34,452","4,460","4,046","6,037","3,409","6,161","6,118","3,330",891,"21,317",258,"1,323",189,165,"2,273",169,"6,324","1,046","1,427",788,863,"2,021","2,177",887,"1,407","20,406","6,211",866,"1,320","2,250",516,"1,231","3,848","1,229",717,830,"1,033",355,"25,765","2,123",669,316,"1,398",746,"2,050",985,"3,015","1,240","3,571","2,384",741,"6,527"
2021년11월_계_40~49세,"166,246","33,876","3,031","7,601",764,"7,940","4,308","6,147","4,085","40,522","7,113","4,530","5,214","4,625","7,393","6,281","4,145","1,221","26,778",387,"1,987",288,265,"2,583",163,"6,709","1,354","2,198","1,198","1,380","2,421","2,954","1,070","1,821","29,319","11,129","1,327","1,369","2,343",692,"1,546","5,547","1,308","1,037","1,172","1,341",508,"35,751","2,858","1,114",525,"1,715","1,197","3,397","1,260","3,803","1,697","5,143","2,169","1,161","9,712"
2021년11월_계_50~59세,"184,804","41,135","3,911","6,107","1,282","9,628","5,126","9,121","5,960","51,125","8,256","6,022","6,576","5,919","8,976","8,135","5,841","1,400","29,478",708,"1,938",655,693,"1,892",193,"6,645","1,837","2,439","1,647","1,887","2,502","3,192","1,188","2,062","33,734","12,486","1,700","1,591","2,814","1,107","1,891","5,184","1,615","1,365","1,715","1,650",616,"29,332","2,250","1,378",717,"1,795","1,189","2,811","1,486","3,421","1,436","3,480","1,799","1,171","6,399"
2021년11월_계_60~69세,"151,057","31,926","3,382","5,345","1,682","6,940","2,989","6,381","5,207","31,447","5,285","3,860","4,138","3,385","5,694","4,804","2,990","1,291","31,665","1,191","2,116",897,"1,011","1,775",284,"5,605","2,103","2,500","1,835","2,129","2,770","3,740","1,426","2,283","31,045","8,135","2,310","1,834","3,074","1,477","2,215","4,446","1,660","1,589","1,926","1,746",633,"24,974","2,178","1,586",909,"1,824","1,199","2,103","1,714","2,740","1,347","3,045","1,526","1,060","3,743"
2021년11월_계_70~79세,"65,670","12,232","1,698","1,916",926,"2,556",923,"2,334","1,879","9,019","1,739","1,293","1,194",783,"1,594","1,231",638,547,"17,003",707,"1,080",533,721,785,139,"2,454","1,235","1,512",892,"1,176","1,597","2,148",790,"1,234","15,223","3,499","1,432","1,014","1,706",858,"1,082","1,816",866,877,914,827,332,"12,193","1,411","1,237",620,905,671,782,851,"1,045",686,"1,155",667,511,"1,652"
