,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 문무대왕면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2021년12월_계_총인구수,"251,889","5,391","24,083","9,233","22,159","4,214","6,277","4,684","3,230","3,116","21,699","6,078","5,677","5,096","6,307","13,647","4,485","14,685","5,836","24,072","28,310","22,161","9,725","1,724"
2021년12월_계_연령구간인구수,"251,889","5,391","24,083","9,233","22,159","4,214","6,277","4,684","3,230","3,116","21,699","6,078","5,677","5,096","6,307","13,647","4,485","14,685","5,836","24,072","28,310","22,161","9,725","1,724"
2021년12월_계_0~9세,"15,375",136,"1,000",305,"1,359",200,258,91,43,54,"2,294",169,262,170,152,391,78,"1,065",352,"2,852","2,370","1,108",614,52
2021년12월_계_10~19세,"20,189",222,"1,932",493,"1,186",179,321,195,82,119,"2,385",295,307,283,304,773,181,"1,596",347,"2,644","3,517","2,163",587,78
2021년12월_계_20~29세,"25,692",330,"2,138",667,"2,091",433,558,265,132,163,"2,239",459,491,514,583,"1,944",324,"1,893",448,"2,565","3,658","2,851",789,157
2021년12월_계_30~39세,"24,522",324,"1,632",635,"2,681",448,492,238,110,137,"2,815",318,548,455,507,"1,203",257,"1,390",476,"3,383","3,117","2,151","1,089",116
2021년12월_계_40~49세,"35,744",583,"3,136",966,"2,975",350,684,398,189,269,"3,754",671,680,617,703,"1,703",466,"2,457",752,"4,420","4,964","3,474","1,336",197
2021년12월_계_50~59세,"46,590",980,"4,850","1,604","4,422",664,"1,304",857,548,522,"3,691","1,215","1,058",844,"1,142","2,313",775,"2,827","1,007","4,062","5,452","4,433","1,699",321
2021년12월_계_60~69세,"43,321","1,262","4,562","2,100","4,096",859,"1,421","1,150","1,034",773,"2,584","1,383","1,156","1,065","1,418","2,680","1,040","1,885","1,162","2,565","3,275","3,590","1,851",410
2021년12월_계_70~79세,"25,011",934,"2,932","1,474","2,062",588,741,819,641,648,"1,212",916,719,764,980,"1,837",779,991,792,"1,004","1,259","1,612","1,055",252
2021년12월_계_80~89세,"13,521",535,"1,697",880,"1,102",424,415,584,403,386,641,566,405,347,456,710,520,511,430,493,600,680,613,123
2021년12월_계_90~99세,"1,875",81,198,108,182,67,80,86,48,44,82,83,50,37,60,91,63,69,66,81,98,95,89,17
2021년12월_계_100세 이상,49,4,6,1,3,2,3,1,0,1,2,3,1,0,2,2,2,1,4,3,0,4,3,1
2021년12월_남_총인구수,"126,024","2,698","11,879","4,696","11,688","2,206","3,338","2,358","1,597","1,555","10,669","3,082","2,963","2,514","3,048","6,785","2,214","7,382","2,873","11,871","13,895","11,079","4,781",853
