카테고리,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2021년07월_계_총인구수,"89,184","10,883","15,653","5,415","33,555","3,110","6,273","4,566","1,943","4,884","2,902"
2021년07월_계_연령구간인구수,"89,184","10,883","15,653","5,415","33,555","3,110","6,273","4,566","1,943","4,884","2,902"
2021년07월_계_0~9세,"8,093",726,"2,408",158,"4,229",48,184,104,50,115,71
2021년07월_계_10~19세,"9,467","1,116","1,622",294,"5,248",124,396,189,85,228,165
2021년07월_계_20~29세,"9,272","1,310","1,105",491,"4,404",235,716,316,130,344,221
2021년07월_계_30~39세,"10,822",982,"2,678",319,"5,542",149,418,242,118,225,149
2021년07월_계_40~49세,"14,135","1,542","2,548",568,"7,248",258,668,388,195,462,258
2021년07월_계_50~59세,"13,142","1,898","1,780","1,099","4,104",589,"1,100",846,330,821,575
2021년07월_계_60~69세,"11,381","1,640","1,600","1,223","1,769",628,"1,265","1,034",469,"1,087",666
2021년07월_계_70~79세,"7,840","1,093","1,156",765,702,572,894,865,358,938,497
2021년07월_계_80~89세,"4,396",519,665,421,268,448,533,514,166,591,271
2021년07월_계_90~99세,610,57,89,74,40,57,89,67,38,71,28
2021년07월_계_100세 이상,26,0,2,3,1,2,10,1,4,2,1
2021년07월_남_총인구수,"44,817","5,444","7,825","2,859","16,600","1,551","3,244","2,321","1,008","2,475","1,490"
2021년07월_남_연령구간인구수,"44,817","5,444","7,825","2,859","16,600","1,551","3,244","2,321","1,008","2,475","1,490"
2021년07월_남_0~9세,"4,162",382,"1,254",74,"2,159",19,101,54,29,61,29
2021년07월_남_10~19세,"4,796",583,798,142,"2,671",69,196,84,46,126,81
2021년07월_남_20~29세,"4,972",735,598,277,"2,193",141,419,185,74,228,122
2021년07월_남_30~39세,"5,501",524,"1,281",185,"2,697",102,252,152,75,134,99
2021년07월_남_40~49세,"7,429",781,"1,394",345,"3,506",165,394,263,127,292,162
2021년07월_남_50~59세,"7,219","1,011",985,638,"2,131",340,626,510,185,460,333
2021년07월_남_60~69세,"5,745",787,780,682,843,328,665,521,241,547,351
2021년07월_남_70~79세,"3,553",467,526,373,315,256,410,388,166,427,225
2021년07월_남_80~89세,"1,340",166,194,135,77,120,166,152,59,191,80
2021년07월_남_90~99세,97,8,15,8,7,10,15,12,6,9,7
2021년07월_남_100세 이상,3,0,0,0,1,1,0,0,0,0,1
2021년07월_여_총인구수,"44,367","5,439","7,828","2,556","16,955","1,559","3,029","2,245",935,"2,409","1,412"
2021년07월_여_연령구간인구수,"44,367","5,439","7,828","2,556","16,955","1,559","3,029","2,245",935,"2,409","1,412"
2021년07월_여_0~9세,"3,931",344,"1,154",84,"2,070",29,83,50,21,54,42
2021년07월_여_10~19세,"4,671",533,824,152,"2,577",55,200,105,39,102,84
2021년07월_여_20~29세,"4,300",575,507,214,"2,211",94,297,131,56,116,99
2021년07월_여_30~39세,"5,321",458,"1,397",134,"2,845",47,166,90,43,91,50
2021년07월_여_40~49세,"6,706",761,"1,154",223,"3,742",93,274,125,68,170,96
2021년07월_여_50~59세,"5,923",887,795,461,"1,973",249,474,336,145,361,242
2021년07월_여_60~69세,"5,636",853,820,541,926,300,600,513,228,540,315
2021년07월_여_70~79세,"4,287",626,630,392,387,316,484,477,192,511,272
2021년07월_여_80~89세,"3,056",353,471,286,191,328,367,362,107,400,191
2021년07월_여_90~99세,513,49,74,66,33,47,74,55,32,62,21
2021년07월_여_100세 이상,23,0,2,3,0,1,10,1,4,2,0
