카테고리,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2020년02월_계_총인구수,"9,457","6,674",907,487,"1,389"
2020년02월_계_연령구간인구수,"9,457","6,674",907,487,"1,389"
2020년02월_계_0~9세,434,316,47,16,55
2020년02월_계_10~19세,499,393,40,16,50
2020년02월_계_20~29세,873,630,83,35,125
2020년02월_계_30~39세,952,704,63,38,147
2020년02월_계_40~49세,"1,362","1,032",105,41,184
2020년02월_계_50~59세,"1,962","1,404",201,96,261
2020년02월_계_60~69세,"1,778","1,211",175,114,278
2020년02월_계_70~79세,"1,012",660,109,81,162
2020년02월_계_80~89세,502,279,78,36,109
2020년02월_계_90~99세,72,34,6,14,18
2020년02월_계_100세 이상,11,11,0,0,0
2020년02월_남_총인구수,"5,160","3,647",485,256,772
2020년02월_남_연령구간인구수,"5,160","3,647",485,256,772
2020년02월_남_0~9세,227,168,22,10,27
2020년02월_남_10~19세,247,181,28,11,27
2020년02월_남_20~29세,524,375,48,18,83
2020년02월_남_30~39세,565,419,32,22,92
2020년02월_남_40~49세,850,633,65,27,125
2020년02월_남_50~59세,"1,118",800,122,52,144
2020년02월_남_60~69세,943,644,98,58,143
2020년02월_남_70~79세,466,303,42,41,80
2020년02월_남_80~89세,196,111,26,13,46
2020년02월_남_90~99세,19,8,2,4,5
2020년02월_남_100세 이상,5,5,0,0,0
2020년02월_여_총인구수,"4,297","3,027",422,231,617
2020년02월_여_연령구간인구수,"4,297","3,027",422,231,617
2020년02월_여_0~9세,207,148,25,6,28
2020년02월_여_10~19세,252,212,12,5,23
2020년02월_여_20~29세,349,255,35,17,42
2020년02월_여_30~39세,387,285,31,16,55
2020년02월_여_40~49세,512,399,40,14,59
2020년02월_여_50~59세,844,604,79,44,117
2020년02월_여_60~69세,835,567,77,56,135
2020년02월_여_70~79세,546,357,67,40,82
2020년02월_여_80~89세,306,168,52,23,63
2020년02월_여_90~99세,53,26,4,10,13
2020년02월_여_100세 이상,6,6,0,0,0
