,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2020년11월_계_총인구수,"2,120,607","658,977","258,269","400,708","104,736","100,249","315,279","175,487","116,888","42,848","166,145","51,443","65,431","51,926","30,816","99,890","78,146","62,346"
2020년11월_계_연령구간인구수,"2,120,607","658,977","258,269","400,708","104,736","100,249","315,279","175,487","116,888","42,848","166,145","51,443","65,431","51,926","30,816","99,890","78,146","62,346"
2020년11월_계_0~9세,"173,387","62,331","20,480","41,851","5,824","6,177","33,122","15,479","7,283","3,892","15,628","2,587","2,941","2,312","1,269","7,770","3,656","3,116"
2020년11월_계_10~19세,"203,066","68,602","26,326","42,276","8,228","8,329","34,401","17,283","9,887","6,317","15,697","4,306","4,690","3,499","2,063","9,615","5,659","4,490"
2020년11월_계_20~29세,"242,686","96,383","35,352","61,031","11,346","9,520","36,364","19,236","11,424","4,886","16,078","3,987","5,425","3,886","2,610","9,635","6,853","5,053"
2020년11월_계_30~39세,"269,140","105,760","33,369","72,391","9,507","9,498","48,423","22,141","10,825","4,623","22,800","3,783","4,434","3,491","2,073","10,503","6,143","5,136"
2020년11월_계_40~49세,"327,972","112,012","42,959","69,053","13,342","13,981","56,088","27,862","15,426","8,423","26,681","6,258","7,214","5,847","3,102","14,462","9,568","7,706"
2020년11월_계_50~59세,"340,648","103,238","43,992","59,246","18,552","17,237","46,152","28,357","19,752","6,949","25,985","9,128","10,916","8,544","5,290","15,930","13,711","10,907"
2020년11월_계_60~69세,"277,356","63,131","31,020","32,111","18,261","16,991","31,598","21,869","19,933","4,448","20,811","9,747","12,985","10,189","6,104","14,622","14,674","11,993"
2020년11월_계_70~79세,"171,386","30,101","15,509","14,592","11,479","11,254","18,035","13,889","13,052","2,031","13,301","6,849","9,475","8,047","4,536","10,061","10,464","8,812"
2020년11월_계_80~89세,"99,736","15,031","7,978","7,053","7,111","6,272","9,676","8,110","8,033","1,090","7,956","4,210","6,307","5,237","3,303","6,356","6,551","4,493"
2020년11월_계_90~99세,"14,314","2,212","1,195","1,017","1,024",926,"1,308","1,204","1,183",179,"1,138",558,989,830,447,875,827,614
2020년11월_계_100세 이상,916,176,89,87,62,64,112,57,90,10,70,30,55,44,19,61,40,26
2020년11월_남_총인구수,"1,082,311","336,256","130,852","205,404","52,394","50,814","163,661","91,321","58,426","21,350","88,140","25,947","32,417","25,666","15,624","49,665","39,202","31,428"
2020년11월_남_연령구간인구수,"1,082,311","336,256","130,852","205,404","52,394","50,814","163,661","91,321","58,426","21,350","88,140","25,947","32,417","25,666","15,624","49,665","39,202","31,428"
2020년11월_남_0~9세,"88,844","31,870","10,541","21,329","3,024","3,111","17,014","7,972","3,739","1,975","7,991","1,317","1,558","1,158",644,"4,037","1,901","1,533"
2020년11월_남_10~19세,"105,463","35,571","13,681","21,890","4,249","4,314","17,691","9,185","5,105","3,311","8,244","2,248","2,488","1,809","1,097","4,911","2,902","2,338"
2020년11월_남_20~29세,"133,976","50,637","18,737","31,900","6,291","5,601","20,213","11,372","6,394","2,722","9,410","2,296","3,137","2,263","1,510","5,298","3,859","2,973"
2020년11월_남_30~39세,"144,828","56,177","17,508","38,669","5,073","5,137","25,899","12,256","5,728","2,304","12,956","1,988","2,411","1,961","1,190","5,457","3,423","2,868"
2020년11월_남_40~49세,"174,751","57,800","22,095","35,705","7,041","7,685","30,460","14,909","8,182","4,087","15,038","3,453","3,932","3,208","1,810","7,545","5,256","4,345"
2020년11월_남_50~59세,"179,977","53,027","22,482","30,545","9,560","9,179","24,930","15,150","10,405","3,503","14,560","5,046","5,707","4,640","2,896","8,315","7,314","5,745"
2020년11월_남_60~69세,"138,420","31,879","15,621","16,258","9,122","8,340","15,728","10,924","10,001","2,151","10,615","4,936","6,465","4,962","3,115","7,175","7,245","5,762"
