카테고리,경기도 동두천시,경기도 동두천시 생연1동,경기도 동두천시 생연2동,경기도 동두천시 중앙동,경기도 동두천시 보산동,경기도 동두천시 불현동,경기도 동두천시 송내동,경기도 동두천시 소요동,경기도 동두천시 상패동
2021년01월_계_총인구수,"94,443","6,992","11,900","5,134","3,097","27,571","25,527","8,798","5,424"
2021년01월_계_연령구간인구수,"94,443","6,992","11,900","5,134","3,097","27,571","25,527","8,798","5,424"
2021년01월_계_0~9세,"6,247",480,756,143,150,"1,916","2,166",392,244
2021년01월_계_10~19세,"8,603",590,"1,211",205,208,"2,636","2,961",508,284
2021년01월_계_20~29세,"11,286",749,"1,331",505,334,"3,525","3,324",929,589
2021년01월_계_30~39세,"10,177",769,"1,172",433,288,"3,020","3,093",777,625
2021년01월_계_40~49세,"14,316",952,"1,900",587,388,"4,156","4,531","1,168",634
2021년01월_계_50~59세,"16,520","1,258","2,016","1,046",581,"4,942","4,060","1,600","1,017"
2021년01월_계_60~69세,"13,340","1,124","1,635","1,081",543,"3,772","2,552","1,650",983
2021년01월_계_70~79세,"8,795",658,"1,172",657,389,"2,309","1,853","1,110",647
2021년01월_계_80~89세,"4,449",369,635,369,188,"1,136",859,563,330
2021년01월_계_90~99세,625,40,65,83,26,147,123,79,62
2021년01월_계_100세 이상,85,3,7,25,2,12,5,22,9
2021년01월_남_총인구수,"47,077","3,473","5,853","2,675","1,470","13,606","12,583","4,549","2,868"
2021년01월_남_연령구간인구수,"47,077","3,473","5,853","2,675","1,470","13,606","12,583","4,549","2,868"
2021년01월_남_0~9세,"3,234",257,404,79,68,970,"1,124",194,138
2021년01월_남_10~19세,"4,332",279,616,108,96,"1,326","1,494",276,137
2021년01월_남_20~29세,"6,140",421,744,275,200,"1,882","1,744",536,338
2021년01월_남_30~39세,"5,236",393,578,249,150,"1,536","1,557",410,363
2021년01월_남_40~49세,"7,418",501,973,355,200,"2,076","2,273",674,366
2021년01월_남_50~59세,"8,677",647,"1,052",602,285,"2,528","2,114",870,579
2021년01월_남_60~69세,"6,537",551,763,578,269,"1,868","1,157",829,522
2021년01월_남_70~79세,"3,669",275,461,276,139,957,745,527,289
2021년01월_남_80~89세,"1,636",137,245,117,57,417,344,204,115
2021년01월_남_90~99세,177,12,15,30,6,42,29,25,18
2021년01월_남_100세 이상,21,0,2,6,0,4,2,4,3
2021년01월_여_총인구수,"47,366","3,519","6,047","2,459","1,627","13,965","12,944","4,249","2,556"
2021년01월_여_연령구간인구수,"47,366","3,519","6,047","2,459","1,627","13,965","12,944","4,249","2,556"
2021년01월_여_0~9세,"3,013",223,352,64,82,946,"1,042",198,106
2021년01월_여_10~19세,"4,271",311,595,97,112,"1,310","1,467",232,147
2021년01월_여_20~29세,"5,146",328,587,230,134,"1,643","1,580",393,251
2021년01월_여_30~39세,"4,941",376,594,184,138,"1,484","1,536",367,262
2021년01월_여_40~49세,"6,898",451,927,232,188,"2,080","2,258",494,268
2021년01월_여_50~59세,"7,843",611,964,444,296,"2,414","1,946",730,438
2021년01월_여_60~69세,"6,803",573,872,503,274,"1,904","1,395",821,461
2021년01월_여_70~79세,"5,126",383,711,381,250,"1,352","1,108",583,358
2021년01월_여_80~89세,"2,813",232,390,252,131,719,515,359,215
2021년01월_여_90~99세,448,28,50,53,20,105,94,54,44
2021년01월_여_100세 이상,64,3,5,19,2,8,3,18,6
