,강원도 횡성군,강원도 횡성군 횡성읍,강원도 횡성군 우천면,강원도 횡성군 안흥면,강원도 횡성군 둔내면,강원도 횡성군 갑천면,강원도 횡성군 청일면,강원도 횡성군 공근면,강원도 횡성군 서원면,강원도 횡성군 강림면
2020년10월_계_총인구수,"46,514","20,771","4,491","3,156","5,886","2,387","2,430","3,508","2,135","1,750"
2020년10월_계_연령구간인구수,"46,514","20,771","4,491","3,156","5,886","2,387","2,430","3,508","2,135","1,750"
2020년10월_계_0~9세,"2,182","1,482",127,65,243,38,37,82,71,37
2020년10월_계_10~19세,"3,615","2,029",204,580,388,88,68,119,68,71
2020년10월_계_20~29세,"3,835","2,251",377,132,397,129,130,211,120,88
2020년10월_계_30~39세,"3,457","2,046",252,124,438,119,90,179,136,73
2020년10월_계_40~49세,"5,144","2,992",416,191,642,172,167,273,161,130
2020년10월_계_50~59세,"8,799","3,644",911,576,"1,217",460,529,714,396,352
2020년10월_계_60~69세,"10,114","3,257","1,122",777,"1,365",716,734,974,638,531
2020년10월_계_70~79세,"5,616","1,829",653,434,726,389,399,555,306,325
2020년10월_계_80~89세,"3,197","1,036",369,234,413,240,231,335,205,134
2020년10월_계_90~99세,523,194,54,40,54,33,43,63,33,9
2020년10월_계_100세 이상,32,11,6,3,3,3,2,3,1,0
2020년10월_남_총인구수,"23,847","10,431","2,347","1,625","3,086","1,230","1,235","1,837","1,138",918
2020년10월_남_연령구간인구수,"23,847","10,431","2,347","1,625","3,086","1,230","1,235","1,837","1,138",918
2020년10월_남_0~9세,"1,145",772,67,36,127,19,13,44,44,23
2020년10월_남_10~19세,"1,887","1,040",105,305,207,43,44,64,33,46
2020년10월_남_20~29세,"2,173","1,220",244,81,228,70,72,129,72,57
2020년10월_남_30~39세,"1,827","1,032",132,62,261,63,48,110,81,38
2020년10월_남_40~49세,"2,857","1,618",238,105,359,101,94,172,95,75
2020년10월_남_50~59세,"4,661","1,901",493,307,656,232,281,386,216,189
2020년10월_남_60~69세,"5,283","1,639",594,414,717,392,398,513,350,266
2020년10월_남_70~79세,"2,705",784,328,219,360,204,203,285,158,164
2020년10월_남_80~89세,"1,172",368,129,89,162,97,72,120,78,57
2020년10월_남_90~99세,127,54,17,7,9,7,9,11,10,3
2020년10월_남_100세 이상,10,3,0,0,0,2,1,3,1,0
2020년10월_여_총인구수,"22,667","10,340","2,144","1,531","2,800","1,157","1,195","1,671",997,832
2020년10월_여_연령구간인구수,"22,667","10,340","2,144","1,531","2,800","1,157","1,195","1,671",997,832
2020년10월_여_0~9세,"1,037",710,60,29,116,19,24,38,27,14
2020년10월_여_10~19세,"1,728",989,99,275,181,45,24,55,35,25
2020년10월_여_20~29세,"1,662","1,031",133,51,169,59,58,82,48,31
2020년10월_여_30~39세,"1,630","1,014",120,62,177,56,42,69,55,35
2020년10월_여_40~49세,"2,287","1,374",178,86,283,71,73,101,66,55
2020년10월_여_50~59세,"4,138","1,743",418,269,561,228,248,328,180,163
2020년10월_여_60~69세,"4,831","1,618",528,363,648,324,336,461,288,265
2020년10월_여_70~79세,"2,911","1,045",325,215,366,185,196,270,148,161
2020년10월_여_80~89세,"2,025",668,240,145,251,143,159,215,127,77
2020년10월_여_90~99세,396,140,37,33,45,26,34,52,23,6
2020년10월_여_100세 이상,22,8,6,3,3,1,1,0,0,0
