카테고리,강원도 삼척시,강원도 삼척시 도계읍,강원도 삼척시 원덕읍,강원도 삼척시 원덕읍임원출장소,강원도 삼척시 근덕면,강원도 삼척시 하장면,강원도 삼척시 노곡면,강원도 삼척시 미로면,강원도 삼척시 가곡면,강원도 삼척시 신기면,강원도 삼척시 남양동,강원도 삼척시 교동,강원도 삼척시 정라동,강원도 삼척시 성내동
2021년12월_계_총인구수,"63,429","9,538","3,217","1,687","5,063","1,296",714,"1,807",669,665,"7,478","14,387","8,924","7,984"
2021년12월_계_연령구간인구수,"63,429","9,538","3,217","1,687","5,063","1,296",714,"1,807",669,665,"7,478","14,387","8,924","7,984"
2021년12월_계_0~9세,"3,524",295,77,41,106,21,7,30,9,11,247,"1,575",615,490
2021년12월_계_10~19세,"5,018",794,122,61,177,36,10,63,24,13,475,"1,686",804,753
2021년12월_계_20~29세,"6,721","1,653",233,119,302,61,32,77,27,24,687,"1,803",955,748
2021년12월_계_30~39세,"5,210",468,192,81,270,67,20,74,15,31,561,"1,875",873,683
2021년12월_계_40~49세,"8,497",986,342,182,460,122,58,182,67,66,913,"2,507","1,431","1,181"
2021년12월_계_50~59세,"10,920","1,543",613,332,949,265,137,325,120,131,"1,365","2,299","1,547","1,294"
2021년12월_계_60~69세,"11,843","1,921",749,392,"1,272",402,201,483,187,177,"1,641","1,556","1,381","1,481"
2021년12월_계_70~79세,"6,992","1,195",496,287,801,179,133,311,126,114,"1,023",694,830,803
2021년12월_계_80~89세,"4,074",615,338,168,607,129,92,226,80,88,498,330,417,486
2021년12월_계_90~99세,614,66,52,24,113,14,24,36,14,10,66,61,70,64
2021년12월_계_100세 이상,16,2,3,0,6,0,0,0,0,0,2,1,1,1
2021년12월_남_총인구수,"32,043","4,719","1,692",840,"2,612",701,389,944,342,359,"3,680","7,306","4,526","3,933"
2021년12월_남_연령구간인구수,"32,043","4,719","1,692",840,"2,612",701,389,944,342,359,"3,680","7,306","4,526","3,933"
2021년12월_남_0~9세,"1,795",145,40,21,58,14,3,14,8,5,131,804,305,247
2021년12월_남_10~19세,"2,572",365,62,32,98,19,5,42,12,7,246,866,437,381
2021년12월_남_20~29세,"3,747",849,160,68,198,29,21,50,16,13,390,997,533,423
2021년12월_남_30~39세,"2,812",249,128,50,165,44,12,40,8,19,323,962,457,355
2021년12월_남_40~49세,"4,635",560,217,111,297,90,43,129,42,50,497,"1,240",759,600
2021년12월_남_50~59세,"5,951",849,369,182,577,139,89,189,73,81,668,"1,206",860,669
2021년12월_남_60~69세,"5,957",986,404,201,651,224,117,267,92,95,778,772,666,704
2021년12월_남_70~79세,"3,113",522,202,116,355,85,60,144,60,53,460,317,362,377
2021년12월_남_80~89세,"1,332",180,100,53,193,55,32,62,28,34,173,124,133,165
2021년12월_남_90~99세,129,14,10,6,20,2,7,7,3,2,14,18,14,12
2021년12월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"31,386","4,819","1,525",847,"2,451",595,325,863,327,306,"3,798","7,081","4,398","4,051"
2021년12월_여_연령구간인구수,"31,386","4,819","1,525",847,"2,451",595,325,863,327,306,"3,798","7,081","4,398","4,051"
2021년12월_여_0~9세,"1,729",150,37,20,48,7,4,16,1,6,116,771,310,243
2021년12월_여_10~19세,"2,446",429,60,29,79,17,5,21,12,6,229,820,367,372
2021년12월_여_20~29세,"2,974",804,73,51,104,32,11,27,11,11,297,806,422,325
2021년12월_여_30~39세,"2,398",219,64,31,105,23,8,34,7,12,238,913,416,328
2021년12월_여_40~49세,"3,862",426,125,71,163,32,15,53,25,16,416,"1,267",672,581
2021년12월_여_50~59세,"4,969",694,244,150,372,126,48,136,47,50,697,"1,093",687,625
2021년12월_여_60~69세,"5,886",935,345,191,621,178,84,216,95,82,863,784,715,777
2021년12월_여_70~79세,"3,879",673,294,171,446,94,73,167,66,61,563,377,468,426
2021년12월_여_80~89세,"2,742",435,238,115,414,74,60,164,52,54,325,206,284,321
2021년12월_여_90~99세,485,52,42,18,93,12,17,29,11,8,52,43,56,52
2021년12월_여_100세 이상,16,2,3,0,6,0,0,0,0,0,2,1,1,1
