,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2020년03월_계_총인구수,"37,044","10,761","4,708","4,871","1,870","1,689","3,285","2,597","3,541","1,682","2,040"
2020년03월_계_연령구간인구수,"37,044","10,761","4,708","4,871","1,870","1,689","3,285","2,597","3,541","1,682","2,040"
2020년03월_계_0~9세,"1,824",674,251,312,78,48,158,103,110,38,52
2020년03월_계_10~19세,"2,648","1,020",246,400,123,113,195,194,162,95,100
2020년03월_계_20~29세,"2,872","1,016",347,420,127,116,230,168,199,120,129
2020년03월_계_30~39세,"3,319",988,734,533,110,107,324,152,188,73,110
2020년03월_계_40~49세,"5,019","1,668",716,757,219,184,434,322,338,176,205
2020년03월_계_50~59세,"7,196","1,968",788,926,400,340,662,522,775,393,422
2020년03월_계_60~69세,"7,133","1,698",856,865,390,348,732,532,819,395,498
2020년03월_계_70~79세,"4,539","1,111",545,474,280,274,371,348,564,245,327
2020년03월_계_80~89세,"2,110",506,188,164,130,123,150,212,337,128,172
2020년03월_계_90~99세,340,99,28,15,13,26,28,43,46,18,24
2020년03월_계_100세 이상,44,13,9,5,0,10,1,1,3,1,1
2020년03월_남_총인구수,"19,234","5,465","2,472","2,576",967,835,"1,753","1,306","1,876",903,"1,081"
2020년03월_남_연령구간인구수,"19,234","5,465","2,472","2,576",967,835,"1,753","1,306","1,876",903,"1,081"
2020년03월_남_0~9세,944,351,117,165,36,22,85,52,55,25,36
2020년03월_남_10~19세,"1,367",534,117,218,61,58,99,92,90,47,51
2020년03월_남_20~29세,"1,635",578,182,236,73,66,143,104,108,72,73
2020년03월_남_30~39세,"1,880",521,424,289,67,63,202,83,117,46,68
2020년03월_남_40~49세,"2,900",872,442,423,139,112,264,182,219,113,134
2020년03월_남_50~59세,"3,914","1,050",448,508,219,193,338,282,432,229,215
2020년03월_남_60~69세,"3,727",882,397,445,215,166,393,277,453,218,281
2020년03월_남_70~79세,"2,052",485,258,221,107,110,179,155,266,112,159
2020년03월_남_80~89세,717,171,73,64,46,32,43,67,125,39,57
2020년03월_남_90~99세,79,17,11,3,4,7,6,11,11,2,7
2020년03월_남_100세 이상,19,4,3,4,0,6,1,1,0,0,0
2020년03월_여_총인구수,"17,810","5,296","2,236","2,295",903,854,"1,532","1,291","1,665",779,959
2020년03월_여_연령구간인구수,"17,810","5,296","2,236","2,295",903,854,"1,532","1,291","1,665",779,959
2020년03월_여_0~9세,880,323,134,147,42,26,73,51,55,13,16
2020년03월_여_10~19세,"1,281",486,129,182,62,55,96,102,72,48,49
2020년03월_여_20~29세,"1,237",438,165,184,54,50,87,64,91,48,56
2020년03월_여_30~39세,"1,439",467,310,244,43,44,122,69,71,27,42
2020년03월_여_40~49세,"2,119",796,274,334,80,72,170,140,119,63,71
2020년03월_여_50~59세,"3,282",918,340,418,181,147,324,240,343,164,207
2020년03월_여_60~69세,"3,406",816,459,420,175,182,339,255,366,177,217
2020년03월_여_70~79세,"2,487",626,287,253,173,164,192,193,298,133,168
2020년03월_여_80~89세,"1,393",335,115,100,84,91,107,145,212,89,115
2020년03월_여_90~99세,261,82,17,12,9,19,22,32,35,16,17
2020년03월_여_100세 이상,25,9,6,1,0,4,0,0,3,1,1
