,전라북도 임실군,전라북도 임실군 임실읍,전라북도 임실군 청웅면,전라북도 임실군 운암면,전라북도 임실군 신평면,전라북도 임실군 성수면,전라북도 임실군 오수면,전라북도 임실군 신덕면,전라북도 임실군 삼계면,전라북도 임실군 관촌면,전라북도 임실군 강진면,전라북도 임실군 덕치면,전라북도 임실군 지사면
2021년09월_계_총인구수,"26,755","7,315","1,250","1,600","1,411","1,638","3,591","1,315","1,520","3,248","1,506","1,166","1,195"
2021년09월_계_연령구간인구수,"26,755","7,315","1,250","1,600","1,411","1,638","3,591","1,315","1,520","3,248","1,506","1,166","1,195"
2021년09월_계_0~9세,"1,284",648,28,52,46,46,105,37,40,158,38,32,54
2021년09월_계_10~19세,"1,596",731,49,53,61,69,204,51,59,158,65,46,50
2021년09월_계_20~29세,"1,905",669,65,102,87,94,248,81,73,231,128,68,59
2021년09월_계_30~39세,"1,799",760,49,83,89,75,216,64,61,214,61,60,67
2021년09월_계_40~49세,"2,685","1,048",110,134,105,132,337,107,111,282,144,79,96
2021년09월_계_50~59세,"4,542","1,072",203,326,227,281,592,230,242,627,307,228,207
2021년09월_계_60~69세,"5,180","1,037",249,407,314,347,770,290,322,664,294,249,237
2021년09월_계_70~79세,"4,233",761,257,250,273,315,596,242,306,523,261,234,215
2021년09월_계_80~89세,"3,048",507,206,165,182,243,451,183,254,348,180,151,178
2021년09월_계_90~99세,467,81,33,28,25,35,72,29,52,40,26,14,32
2021년09월_계_100세 이상,16,1,1,0,2,1,0,1,0,3,2,5,0
2021년09월_남_총인구수,"13,682","3,727",626,833,719,849,"1,820",690,768,"1,661",792,590,607
2021년09월_남_연령구간인구수,"13,682","3,727",626,833,719,849,"1,820",690,768,"1,661",792,590,607
2021년09월_남_0~9세,672,347,11,25,19,24,63,19,20,84,19,10,31
2021년09월_남_10~19세,844,379,23,33,41,41,121,20,28,74,38,20,26
2021년09월_남_20~29세,"1,124",387,43,52,52,60,146,54,43,133,80,36,38
2021년09월_남_30~39세,993,401,28,45,53,47,126,34,34,117,39,35,34
2021년09월_남_40~49세,"1,618",576,77,80,66,86,196,69,74,171,106,52,65
2021년09월_남_50~59세,"2,585",586,120,186,127,154,339,145,145,365,174,136,108
2021년09월_남_60~69세,"2,833",539,141,226,172,202,401,177,174,345,167,145,144
2021년09월_남_70~79세,"1,877",336,109,121,122,137,258,98,148,248,110,97,93
2021년09월_남_80~89세,"1,025",164,66,55,60,90,150,67,94,109,55,57,58
2021년09월_남_90~99세,107,12,7,10,7,7,20,6,8,15,4,1,10
2021년09월_남_100세 이상,4,0,1,0,0,1,0,1,0,0,0,1,0
2021년09월_여_총인구수,"13,073","3,588",624,767,692,789,"1,771",625,752,"1,587",714,576,588
2021년09월_여_연령구간인구수,"13,073","3,588",624,767,692,789,"1,771",625,752,"1,587",714,576,588
2021년09월_여_0~9세,612,301,17,27,27,22,42,18,20,74,19,22,23
2021년09월_여_10~19세,752,352,26,20,20,28,83,31,31,84,27,26,24
2021년09월_여_20~29세,781,282,22,50,35,34,102,27,30,98,48,32,21
2021년09월_여_30~39세,806,359,21,38,36,28,90,30,27,97,22,25,33
2021년09월_여_40~49세,"1,067",472,33,54,39,46,141,38,37,111,38,27,31
2021년09월_여_50~59세,"1,957",486,83,140,100,127,253,85,97,262,133,92,99
2021년09월_여_60~69세,"2,347",498,108,181,142,145,369,113,148,319,127,104,93
2021년09월_여_70~79세,"2,356",425,148,129,151,178,338,144,158,275,151,137,122
2021년09월_여_80~89세,"2,023",343,140,110,122,153,301,116,160,239,125,94,120
2021년09월_여_90~99세,360,69,26,18,18,28,52,23,44,25,22,13,22
2021년09월_여_100세 이상,12,1,0,0,2,0,0,0,0,3,2,4,0
