카테고리,서울특별시 송파구,서울특별시 송파구 풍납1동,서울특별시 송파구 풍납2동,서울특별시 송파구 거여1동,서울특별시 송파구 거여2동,서울특별시 송파구 마천1동,서울특별시 송파구 마천2동,서울특별시 송파구 방이1동,서울특별시 송파구 방이2동,서울특별시 송파구 오륜동,서울특별시 송파구 오금동,서울특별시 송파구 송파1동,서울특별시 송파구 송파2동,서울특별시 송파구 석촌동,서울특별시 송파구 삼전동,서울특별시 송파구 가락본동,서울특별시 송파구 가락1동,서울특별시 송파구 가락2동,서울특별시 송파구 문정1동,서울특별시 송파구 문정2동,서울특별시 송파구 장지동,서울특별시 송파구 위례동,서울특별시 송파구 잠실본동,서울특별시 송파구 잠실2동,서울특별시 송파구 잠실3동,서울특별시 송파구 잠실4동,서울특별시 송파구 잠실6동,서울특별시 송파구 잠실7동
2020년02월_계_총인구수,"675,782","14,578","25,573","13,097","16,782","20,418","19,981","16,362","25,757","18,920","40,862","25,487","20,746","33,486","32,074","27,574","27,929","33,614","21,139","29,882","32,099","28,257","29,002","36,777","35,825","22,086","17,317","10,158"
2020년02월_계_연령구간인구수,"675,782","14,578","25,573","13,097","16,782","20,418","19,981","16,362","25,757","18,920","40,862","25,487","20,746","33,486","32,074","27,574","27,929","33,614","21,139","29,882","32,099","28,257","29,002","36,777","35,825","22,086","17,317","10,158"
2020년02월_계_0~9세,"53,345",767,"2,044",720,"1,091","1,132","1,014","1,140","1,283","1,422","3,098","1,380","1,701","1,846","1,781","1,722","3,189","2,736","1,458","1,784","2,619","4,806","1,389","4,524","3,477","3,070","1,518",634
2020년02월_계_10~19세,"61,102",984,"2,164","1,108","1,455","1,714","1,501","1,767","1,371","2,929","3,486","1,472","1,977","2,066","2,154","2,039","2,330","3,720","1,650","1,581","3,075","3,466","1,945","5,967","4,015","2,305","1,730","1,131"
2020년02월_계_20~29세,"95,425","1,854","3,839","1,837","1,892","2,510","2,518","2,481","4,845","2,278","5,863","4,607","3,033","5,727","5,359","4,434","3,726","4,727","3,377","5,378","4,414","2,721","5,144","3,269","4,123","2,085","2,094","1,290"
2020년02월_계_30~39세,"114,492","2,169","4,246","1,723","2,310","2,356","2,380","2,335","5,720","1,851","6,049","5,751","3,107","7,338","6,941","4,935","5,622","5,010","3,688","7,881","5,090","5,214","6,256","4,592","4,837","3,440","2,525","1,126"
2020년02월_계_40~49세,"110,851","2,096","4,141","2,089","2,723","3,101","2,943","2,773","3,686","3,551","6,067","3,569","3,166","5,111","5,345","4,026","4,294","5,770","2,979","4,296","5,087","5,583","4,581","8,935","6,346","4,361","2,733","1,499"
2020년02월_계_50~59세,"104,278","2,566","3,754","2,374","2,881","3,683","3,902","2,735","3,765","3,147","7,196","3,708","3,417","4,959","4,670","4,846","4,077","5,417","3,535","3,576","5,373","3,249","4,211","4,645","5,297","2,918","2,699","1,678"
2020년02월_계_60~69세,"81,252","2,381","3,183","1,831","2,381","3,230","3,158","1,876","3,086","2,351","5,533","3,025","2,732","3,818","3,509","3,453","3,114","3,896","2,844","3,098","3,857","2,034","3,307","2,776","4,599","2,366","2,381","1,433"
2020년02월_계_70~79세,"38,845","1,262","1,558","1,049","1,443","1,875","1,763",830,"1,459",964,"2,399","1,446","1,108","1,929","1,674","1,484","1,193","1,616","1,131","1,524","1,778",843,"1,573","1,502","2,323","1,113","1,108",898
2020년02월_계_80~89세,"13,506",435,544,322,503,697,649,358,462,340,973,443,414,606,527,548,320,605,391,645,653,263,517,453,667,336,436,399
2020년02월_계_90~99세,"2,410",56,93,41,88,103,121,59,78,87,188,76,80,80,103,78,59,108,74,110,149,76,67,84,129,73,82,68
2020년02월_계_100세 이상,276,8,7,3,15,17,32,8,2,0,10,10,11,6,11,9,5,9,12,9,4,2,12,30,12,19,11,2
2020년02월_남_총인구수,"326,880","7,222","12,163","6,681","8,249","10,447","10,145","7,895","12,265","9,317","19,862","11,966","10,011","16,047","15,280","13,674","13,602","16,481","10,435","13,866","15,547","13,737","13,687","17,597","17,082","10,643","8,238","4,741"
2020년02월_남_연령구간인구수,"326,880","7,222","12,163","6,681","8,249","10,447","10,145","7,895","12,265","9,317","19,862","11,966","10,011","16,047","15,280","13,674","13,602","16,481","10,435","13,866","15,547","13,737","13,687","17,597","17,082","10,643","8,238","4,741"
2020년02월_남_0~9세,"27,611",416,"1,079",369,559,586,508,591,699,778,"1,619",685,881,971,904,890,"1,713","1,419",766,902,"1,337","2,433",716,"2,319","1,804","1,594",752,321
2020년02월_남_10~19세,"31,310",516,"1,079",590,779,896,782,911,734,"1,605","1,801",729,"1,010","1,054","1,144","1,066","1,166","1,954",841,795,"1,576","1,696",968,"2,984","2,054","1,193",906,481
2020년02월_남_20~29세,"45,800",976,"1,689",997,980,"1,317","1,354","1,245","2,142","1,209","3,041","2,094","1,444","2,604","2,465","2,198","1,796","2,366","1,669","2,122","2,242","1,359","2,325","1,525","1,971","1,033","1,026",611
2020년02월_남_30~39세,"54,938","1,141","1,982",912,"1,198","1,283","1,293","1,129","2,766",767,"2,980","2,775","1,479","3,577","3,446","2,485","2,710","2,424","1,913","3,658","2,561","2,381","3,014","1,831","2,121","1,468","1,137",507
2020년02월_남_40~49세,"53,562","1,074","1,994","1,042","1,328","1,619","1,561","1,256","1,830","1,600","2,825","1,686","1,516","2,526","2,575","1,987","2,103","2,765","1,456","2,074","2,473","2,864","2,193","4,247","2,937","2,115","1,244",672
2020년02월_남_50~59세,"50,360","1,213","1,817","1,201","1,407","1,956","1,995","1,295","1,751","1,551","3,376","1,687","1,625","2,378","2,146","2,349","1,919","2,611","1,643","1,734","2,526","1,596","1,980","2,515","2,563","1,440","1,258",828
2020년02월_남_60~69세,"38,565","1,114","1,535",905,"1,140","1,621","1,563",886,"1,430","1,126","2,649","1,395","1,300","1,774","1,609","1,722","1,478","1,879","1,409","1,486","1,775",922,"1,516","1,263","2,142","1,090","1,164",672
2020년02월_남_70~79세,"18,958",581,758,529,668,888,802,435,720,534,"1,196",705,585,887,792,733,606,805,565,777,836,407,745,700,"1,166",552,538,448
2020년02월_남_80~89세,"5,151",175,205,123,164,251,264,129,178,122,332,192,153,249,180,218,99,231,148,283,203,70,208,186,294,134,181,179
2020년02월_남_90~99세,557,13,24,11,19,26,17,17,14,25,41,17,16,27,16,22,11,26,23,32,18,9,20,17,28,19,27,22
2020년02월_남_100세 이상,68,3,1,2,7,4,6,1,1,0,2,1,2,0,3,4,1,1,2,3,0,0,2,10,2,5,5,0
2020년02월_여_총인구수,"348,902","7,356","13,410","6,416","8,533","9,971","9,836","8,467","13,492","9,603","21,000","13,521","10,735","17,439","16,794","13,900","14,327","17,133","10,704","16,016","16,552","14,520","15,315","19,180","18,743","11,443","9,079","5,417"
2020년02월_여_연령구간인구수,"348,902","7,356","13,410","6,416","8,533","9,971","9,836","8,467","13,492","9,603","21,000","13,521","10,735","17,439","16,794","13,900","14,327","17,133","10,704","16,016","16,552","14,520","15,315","19,180","18,743","11,443","9,079","5,417"
2020년02월_여_0~9세,"25,734",351,965,351,532,546,506,549,584,644,"1,479",695,820,875,877,832,"1,476","1,317",692,882,"1,282","2,373",673,"2,205","1,673","1,476",766,313
2020년02월_여_10~19세,"29,792",468,"1,085",518,676,818,719,856,637,"1,324","1,685",743,967,"1,012","1,010",973,"1,164","1,766",809,786,"1,499","1,770",977,"2,983","1,961","1,112",824,650
2020년02월_여_20~29세,"49,625",878,"2,150",840,912,"1,193","1,164","1,236","2,703","1,069","2,822","2,513","1,589","3,123","2,894","2,236","1,930","2,361","1,708","3,256","2,172","1,362","2,819","1,744","2,152","1,052","1,068",679
2020년02월_여_30~39세,"59,554","1,028","2,264",811,"1,112","1,073","1,087","1,206","2,954","1,084","3,069","2,976","1,628","3,761","3,495","2,450","2,912","2,586","1,775","4,223","2,529","2,833","3,242","2,761","2,716","1,972","1,388",619
2020년02월_여_40~49세,"57,289","1,022","2,147","1,047","1,395","1,482","1,382","1,517","1,856","1,951","3,242","1,883","1,650","2,585","2,770","2,039","2,191","3,005","1,523","2,222","2,614","2,719","2,388","4,688","3,409","2,246","1,489",827
2020년02월_여_50~59세,"53,918","1,353","1,937","1,173","1,474","1,727","1,907","1,440","2,014","1,596","3,820","2,021","1,792","2,581","2,524","2,497","2,158","2,806","1,892","1,842","2,847","1,653","2,231","2,130","2,734","1,478","1,441",850
2020년02월_여_60~69세,"42,687","1,267","1,648",926,"1,241","1,609","1,595",990,"1,656","1,225","2,884","1,630","1,432","2,044","1,900","1,731","1,636","2,017","1,435","1,612","2,082","1,112","1,791","1,513","2,457","1,276","1,217",761
2020년02월_여_70~79세,"19,887",681,800,520,775,987,961,395,739,430,"1,203",741,523,"1,042",882,751,587,811,566,747,942,436,828,802,"1,157",561,570,450
2020년02월_여_80~89세,"8,355",260,339,199,339,446,385,229,284,218,641,251,261,357,347,330,221,374,243,362,450,193,309,267,373,202,255,220
2020년02월_여_90~99세,"1,853",43,69,30,69,77,104,42,64,62,147,59,64,53,87,56,48,82,51,78,131,67,47,67,101,54,55,46
2020년02월_여_100세 이상,208,5,6,1,8,13,26,7,1,0,8,9,9,6,8,5,4,8,10,6,4,2,10,20,10,14,6,2
