카테고리,강원도 화천군,강원도 화천군 화천읍,강원도 화천군 간동면,강원도 화천군 하남면,강원도 화천군 상서면,강원도 화천군 사내면
2020년01월_계_총인구수,"24,806","8,524","2,751","2,909","4,227","6,395"
2020년01월_계_연령구간인구수,"24,806","8,524","2,751","2,909","4,227","6,395"
2020년01월_계_0~9세,"1,861",777,60,126,301,597
2020년01월_계_10~19세,"1,886",769,168,305,174,470
2020년01월_계_20~29세,"3,919","1,240",288,280,"1,103","1,008"
2020년01월_계_30~39세,"2,862","1,055",140,254,514,899
2020년01월_계_40~49세,"2,819","1,171",246,393,334,675
2020년01월_계_50~59세,"4,007","1,349",604,548,544,962
2020년01월_계_60~69세,"3,479",991,560,458,567,903
2020년01월_계_70~79세,"2,488",761,418,333,417,559
2020년01월_계_80~89세,"1,283",363,228,185,236,271
2020년01월_계_90~99세,187,45,38,22,35,47
2020년01월_계_100세 이상,15,3,1,5,2,4
2020년01월_남_총인구수,"13,426","4,434","1,488","1,523","2,559","3,422"
2020년01월_남_연령구간인구수,"13,426","4,434","1,488","1,523","2,559","3,422"
2020년01월_남_0~9세,936,386,33,73,145,299
2020년01월_남_10~19세,973,403,89,156,97,228
2020년01월_남_20~29세,"2,709",755,214,151,899,690
2020년01월_남_30~39세,"1,648",579,79,134,341,515
2020년01월_남_40~49세,"1,541",613,129,226,202,371
2020년01월_남_50~59세,"2,176",730,347,314,288,497
2020년01월_남_60~69세,"1,848",516,313,246,315,458
2020년01월_남_70~79세,"1,086",308,192,156,177,253
2020년01월_남_80~89세,457,133,83,60,87,94
2020년01월_남_90~99세,45,10,8,5,7,15
2020년01월_남_100세 이상,7,1,1,2,1,2
2020년01월_여_총인구수,"11,380","4,090","1,263","1,386","1,668","2,973"
2020년01월_여_연령구간인구수,"11,380","4,090","1,263","1,386","1,668","2,973"
2020년01월_여_0~9세,925,391,27,53,156,298
2020년01월_여_10~19세,913,366,79,149,77,242
2020년01월_여_20~29세,"1,210",485,74,129,204,318
2020년01월_여_30~39세,"1,214",476,61,120,173,384
2020년01월_여_40~49세,"1,278",558,117,167,132,304
2020년01월_여_50~59세,"1,831",619,257,234,256,465
2020년01월_여_60~69세,"1,631",475,247,212,252,445
2020년01월_여_70~79세,"1,402",453,226,177,240,306
2020년01월_여_80~89세,826,230,145,125,149,177
2020년01월_여_90~99세,142,35,30,17,28,32
2020년01월_여_100세 이상,8,2,0,3,1,2
