,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2020년07월_계_총인구수,"328,822","25,617","29,918","14,482","27,499","25,351","21,745","28,180","21,966","19,537","16,897","19,532","29,351","20,575","28,172"
2020년07월_계_연령구간인구수,"328,822","25,617","29,918","14,482","27,499","25,351","21,745","28,180","21,966","19,537","16,897","19,532","29,351","20,575","28,172"
2020년07월_계_0~9세,"19,565","1,613","1,918",838,"1,863","1,593",904,"1,711","1,232","1,086",844,"1,291","1,621",999,"2,052"
2020년07월_계_10~19세,"26,377","2,250","2,354","1,110","2,696","2,031","1,255","1,783","1,698","1,469","1,041","2,087","2,284","1,507","2,812"
2020년07월_계_20~29세,"44,218","3,390","4,164","1,870","3,805","3,715","2,680","3,454","3,107","2,608","2,570","2,608","4,022","2,758","3,467"
2020년07월_계_30~39세,"41,954","3,502","4,292","1,762","3,473","3,596","2,406","3,750","2,642","2,662","2,406","2,407","3,431","2,325","3,300"
2020년07월_계_40~49세,"49,523","4,215","4,662","2,199","4,506","3,646","3,022","3,869","3,318","2,858","2,476","3,080","4,323","3,027","4,322"
2020년07월_계_50~59세,"57,684","4,228","5,191","2,662","4,982","4,490","3,844","4,592","3,728","3,336","2,853","3,491","5,503","3,856","4,928"
2020년07월_계_60~69세,"48,819","3,435","4,043","2,082","3,410","3,583","3,844","4,879","3,265","3,006","2,433","2,732","4,529","3,305","4,273"
2020년07월_계_70~79세,"27,595","2,006","2,282","1,375","1,744","1,764","2,671","2,832","2,045","1,668","1,616","1,176","2,585","1,938","1,893"
2020년07월_계_80~89세,"11,306",858,919,516,876,791,986,"1,120",807,714,579,552,896,732,960
2020년07월_계_90~99세,"1,606",112,91,58,131,130,115,163,107,113,71,104,146,110,155
2020년07월_계_100세 이상,175,8,2,10,13,12,18,27,17,17,8,4,11,18,10
2020년07월_남_총인구수,"160,465","12,213","14,646","7,239","13,210","12,176","11,001","13,814","10,600","9,421","8,203","9,276","14,571","10,395","13,700"
2020년07월_남_연령구간인구수,"160,465","12,213","14,646","7,239","13,210","12,176","11,001","13,814","10,600","9,421","8,203","9,276","14,571","10,395","13,700"
2020년07월_남_0~9세,"10,093",830,996,434,952,823,448,862,639,584,424,680,805,514,"1,102"
2020년07월_남_10~19세,"13,575","1,142","1,234",571,"1,378","1,029",677,928,825,764,539,"1,037","1,164",788,"1,499"
2020년07월_남_20~29세,"22,525","1,678","2,071",979,"1,922","1,824","1,434","1,743","1,478","1,324","1,255","1,341","2,085","1,497","1,894"
2020년07월_남_30~39세,"21,444","1,733","2,170",948,"1,693","1,852","1,333","1,911","1,353","1,380","1,240","1,159","1,752","1,267","1,653"
