카테고리,강원도 원주시,강원도 원주시 문막읍,강원도 원주시 소초면,강원도 원주시 호저면,강원도 원주시 지정면,강원도 원주시 부론면,강원도 원주시 귀래면,강원도 원주시 흥업면,강원도 원주시 판부면,강원도 원주시 신림면,강원도 원주시 중앙동,강원도 원주시 원인동,강원도 원주시 개운동,강원도 원주시 명륜1동,강원도 원주시 명륜2동,강원도 원주시 단구동,강원도 원주시 일산동,강원도 원주시 학성동,강원도 원주시 단계동,강원도 원주시 우산동,강원도 원주시 태장1동,강원도 원주시 태장2동,강원도 원주시 봉산동,강원도 원주시 행구동,강원도 원주시 무실동,강원도 원주시 반곡관설동
2020년10월_계_총인구수,"353,553","17,802","8,665","3,779","27,480","2,247","2,178","8,736","7,244","3,619","2,776","5,210","12,839","8,697","15,732","43,724","8,662","4,892","27,853","13,687","10,168","25,052","8,294","7,582","32,785","43,850"
2020년10월_계_연령구간인구수,"353,553","17,802","8,665","3,779","27,480","2,247","2,178","8,736","7,244","3,619","2,776","5,210","12,839","8,697","15,732","43,724","8,662","4,892","27,853","13,687","10,168","25,052","8,294","7,582","32,785","43,850"
2020년10월_계_0~9세,"28,377","1,189",377,112,"4,572",43,45,425,400,60,54,222,693,399,758,"3,408",410,165,"2,010","1,060",816,"1,794",275,474,"3,299","5,317"
2020년10월_계_10~19세,"36,025","1,639",544,158,"2,291",90,73,676,669,120,102,353,"1,318",779,"1,736","5,323",629,295,"2,422","1,228","1,172","2,703",705,861,"4,334","5,805"
2020년10월_계_20~29세,"45,354","2,078",980,326,"2,891",132,141,"1,420",969,208,190,758,"1,670","1,197","2,146","6,416","1,648",590,"4,331","2,005","1,059","3,037",963,939,"4,075","5,185"
2020년10월_계_30~39세,"45,219","1,868",709,248,"6,774",85,121,829,834,185,206,527,"1,217",793,"1,391","5,451",928,426,"3,904","1,658","1,119","2,803",658,686,"4,441","7,358"
2020년10월_계_40~49세,"57,315","2,921","1,007",339,"4,646",170,168,"1,192","1,156",293,294,649,"1,757","1,163","2,394","7,971","1,040",608,"4,028","2,129","1,755","4,229","1,078","1,199","6,311","8,818"
2020년10월_계_50~59세,"60,767","3,295","1,737",756,"3,035",402,452,"1,531","1,421",774,581,996,"2,451","1,753","3,155","7,599","1,440",966,"5,244","2,341","1,720","4,635","1,632","1,483","5,149","6,219"
2020년10월_계_60~69세,"44,953","2,489","1,801",902,"2,043",623,582,"1,489","1,011","1,005",653,893,"1,942","1,401","2,316","4,318","1,322",944,"3,688","1,838","1,373","3,284","1,524","1,080","3,275","3,157"
2020년10월_계_70~79세,"21,680","1,430",887,485,741,399,348,676,473,573,374,483,"1,101",760,"1,079","2,064",759,539,"1,382",909,735,"1,586",871,503,"1,246","1,277"
2020년10월_계_80~89세,"11,958",776,524,408,413,261,206,445,267,349,262,292,595,391,660,"1,031",407,306,717,444,378,869,503,294,545,615
2020년10월_계_90~99세,"1,794",109,95,44,69,40,39,51,43,51,55,33,89,57,95,135,72,50,120,71,36,109,76,58,104,93
2020년10월_계_100세 이상,111,8,4,1,5,2,3,2,1,1,5,4,6,4,2,8,7,3,7,4,5,3,9,5,6,6
2020년10월_남_총인구수,"175,367","9,074","4,527","1,983","13,553","1,142","1,111","4,610","3,797","1,856","1,483","2,506","6,160","4,199","7,623","21,474","4,257","2,443","13,517","7,175","5,106","12,476","4,103","3,749","16,101","21,342"
2020년10월_남_연령구간인구수,"175,367","9,074","4,527","1,983","13,553","1,142","1,111","4,610","3,797","1,856","1,483","2,506","6,160","4,199","7,623","21,474","4,257","2,443","13,517","7,175","5,106","12,476","4,103","3,749","16,101","21,342"
2020년10월_남_0~9세,"14,451",600,200,66,"2,268",18,26,218,200,30,31,112,341,191,354,"1,750",215,89,"1,069",549,425,937,140,245,"1,695","2,682"
2020년10월_남_10~19세,"18,675",835,274,89,"1,149",40,33,354,357,68,57,187,722,381,881,"2,767",361,169,"1,246",679,616,"1,401",385,438,"2,318","2,868"
2020년10월_남_20~29세,"24,100","1,169",600,194,"1,380",75,75,802,536,116,107,393,870,671,"1,145","3,467",797,330,"2,235","1,133",562,"1,627",524,514,"2,187","2,591"
2020년10월_남_30~39세,"23,001","1,003",399,138,"3,434",47,88,466,482,116,111,269,613,406,707,"2,762",515,232,"2,043",874,566,"1,451",398,351,"2,107","3,423"
2020년10월_남_40~49세,"28,186","1,515",542,204,"2,404",113,89,669,594,175,185,331,823,540,"1,144","3,744",528,332,"1,849","1,130",891,"2,131",549,552,"2,954","4,198"
2020년10월_남_50~59세,"30,568","1,750",920,421,"1,423",222,247,811,774,400,358,487,"1,183",851,"1,572","3,744",696,499,"2,407","1,241",908,"2,348",823,743,"2,507","3,233"
2020년10월_남_60~69세,"22,211","1,271",961,485,"1,019",329,311,799,531,527,369,414,897,669,"1,121","2,040",615,441,"1,774",967,680,"1,591",737,547,"1,567","1,549"
2020년10월_남_70~79세,"9,599",639,419,237,334,197,151,318,231,269,163,198,483,332,473,835,344,221,616,410,309,678,364,237,569,572
2020년10월_남_80~89세,"4,145",262,188,141,126,89,84,160,86,137,87,101,208,143,208,329,163,120,250,175,140,288,164,109,182,205
2020년10월_남_90~99세,404,27,22,8,16,12,6,12,6,18,15,12,20,13,17,33,21,10,27,16,8,23,16,12,14,20
2020년10월_남_100세 이상,27,3,2,0,0,0,1,1,0,0,0,2,0,2,1,3,2,0,1,1,1,1,3,1,1,1
2020년10월_여_총인구수,"178,186","8,728","4,138","1,796","13,927","1,105","1,067","4,126","3,447","1,763","1,293","2,704","6,679","4,498","8,109","22,250","4,405","2,449","14,336","6,512","5,062","12,576","4,191","3,833","16,684","22,508"
2020년10월_여_연령구간인구수,"178,186","8,728","4,138","1,796","13,927","1,105","1,067","4,126","3,447","1,763","1,293","2,704","6,679","4,498","8,109","22,250","4,405","2,449","14,336","6,512","5,062","12,576","4,191","3,833","16,684","22,508"
2020년10월_여_0~9세,"13,926",589,177,46,"2,304",25,19,207,200,30,23,110,352,208,404,"1,658",195,76,941,511,391,857,135,229,"1,604","2,635"
2020년10월_여_10~19세,"17,350",804,270,69,"1,142",50,40,322,312,52,45,166,596,398,855,"2,556",268,126,"1,176",549,556,"1,302",320,423,"2,016","2,937"
2020년10월_여_20~29세,"21,254",909,380,132,"1,511",57,66,618,433,92,83,365,800,526,"1,001","2,949",851,260,"2,096",872,497,"1,410",439,425,"1,888","2,594"
2020년10월_여_30~39세,"22,218",865,310,110,"3,340",38,33,363,352,69,95,258,604,387,684,"2,689",413,194,"1,861",784,553,"1,352",260,335,"2,334","3,935"
2020년10월_여_40~49세,"29,129","1,406",465,135,"2,242",57,79,523,562,118,109,318,934,623,"1,250","4,227",512,276,"2,179",999,864,"2,098",529,647,"3,357","4,620"
2020년10월_여_50~59세,"30,199","1,545",817,335,"1,612",180,205,720,647,374,223,509,"1,268",902,"1,583","3,855",744,467,"2,837","1,100",812,"2,287",809,740,"2,642","2,986"
2020년10월_여_60~69세,"22,742","1,218",840,417,"1,024",294,271,690,480,478,284,479,"1,045",732,"1,195","2,278",707,503,"1,914",871,693,"1,693",787,533,"1,708","1,608"
2020년10월_여_70~79세,"12,081",791,468,248,407,202,197,358,242,304,211,285,618,428,606,"1,229",415,318,766,499,426,908,507,266,677,705
2020년10월_여_80~89세,"7,813",514,336,267,287,172,122,285,181,212,175,191,387,248,452,702,244,186,467,269,238,581,339,185,363,410
2020년10월_여_90~99세,"1,390",82,73,36,53,28,33,39,37,33,40,21,69,44,78,102,51,40,93,55,28,86,60,46,90,73
2020년10월_여_100세 이상,84,5,2,1,5,2,2,1,1,1,5,2,6,2,1,5,5,3,6,3,4,2,6,4,5,5
