카테고리,경상북도 봉화군,경상북도 봉화군 봉화읍,경상북도 봉화군 물야면,경상북도 봉화군 봉성면,경상북도 봉화군 법전면,경상북도 봉화군 춘양면,경상북도 봉화군 소천면,경상북도 봉화군 재산면,경상북도 봉화군 명호면,경상북도 봉화군 상운면,경상북도 봉화군 석포면
2021년05월_계_총인구수,"31,142","9,853","3,114","2,100","2,015","4,355","2,194","1,520","2,236","1,716","2,039"
2021년05월_계_연령구간인구수,"31,142","9,853","3,114","2,100","2,015","4,355","2,194","1,520","2,236","1,716","2,039"
2021년05월_계_0~9세,"1,312",584,92,54,64,169,53,31,59,29,177
2021년05월_계_10~19세,"1,854",904,132,87,85,225,84,67,103,37,130
2021년05월_계_20~29세,"1,905",842,126,124,101,239,93,66,100,88,126
2021년05월_계_30~39세,"1,860",750,154,109,95,226,97,59,93,57,220
2021년05월_계_40~49세,"3,134","1,259",228,179,137,388,178,122,200,126,317
2021년05월_계_50~59세,"5,611","1,719",572,351,356,837,430,331,418,268,329
2021년05월_계_60~69세,"6,987","1,722",835,533,488,"1,008",602,406,568,440,385
2021년05월_계_70~79세,"4,655","1,146",540,353,338,687,362,240,396,377,216
2021년05월_계_80~89세,"3,289",790,370,271,308,489,256,176,255,256,118
2021년05월_계_90~99세,510,133,60,37,40,85,35,21,42,37,20
2021년05월_계_100세 이상,25,4,5,2,3,2,4,1,2,1,1
2021년05월_남_총인구수,"15,702","4,852","1,567","1,015","1,030","2,172","1,106",771,"1,171",880,"1,138"
2021년05월_남_연령구간인구수,"15,702","4,852","1,567","1,015","1,030","2,172","1,106",771,"1,171",880,"1,138"
2021년05월_남_0~9세,671,298,45,29,35,94,28,14,32,10,86
2021년05월_남_10~19세,976,444,80,42,44,123,47,44,59,25,68
2021년05월_남_20~29세,"1,147",487,84,73,67,137,57,38,69,56,79
2021년05월_남_30~39세,"1,020",378,86,65,52,122,49,32,54,38,144
2021년05월_남_40~49세,"1,827",662,135,112,86,229,111,67,126,84,215
2021년05월_남_50~59세,"3,041",909,293,184,204,441,234,178,238,154,206
2021년05월_남_60~69세,"3,629",860,444,265,272,513,325,220,305,221,204
2021년05월_남_70~79세,"2,114",507,248,156,144,311,164,113,189,186,96
2021년05월_남_80~89세,"1,153",287,134,81,114,178,80,58,93,96,32
2021년05월_남_90~99세,123,20,18,7,12,24,11,7,6,10,8
2021년05월_남_100세 이상,1,0,0,1,0,0,0,0,0,0,0
2021년05월_여_총인구수,"15,440","5,001","1,547","1,085",985,"2,183","1,088",749,"1,065",836,901
2021년05월_여_연령구간인구수,"15,440","5,001","1,547","1,085",985,"2,183","1,088",749,"1,065",836,901
2021년05월_여_0~9세,641,286,47,25,29,75,25,17,27,19,91
2021년05월_여_10~19세,878,460,52,45,41,102,37,23,44,12,62
2021년05월_여_20~29세,758,355,42,51,34,102,36,28,31,32,47
2021년05월_여_30~39세,840,372,68,44,43,104,48,27,39,19,76
2021년05월_여_40~49세,"1,307",597,93,67,51,159,67,55,74,42,102
2021년05월_여_50~59세,"2,570",810,279,167,152,396,196,153,180,114,123
2021년05월_여_60~69세,"3,358",862,391,268,216,495,277,186,263,219,181
2021년05월_여_70~79세,"2,541",639,292,197,194,376,198,127,207,191,120
2021년05월_여_80~89세,"2,136",503,236,190,194,311,176,118,162,160,86
2021년05월_여_90~99세,387,113,42,30,28,61,24,14,36,27,12
2021년05월_여_100세 이상,24,4,5,1,3,2,4,1,2,1,1
