카테고리,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2021년05월_계_총인구수,"53,370","8,117","15,043","6,466","1,838","2,050","3,689","3,531","2,273","3,190","1,903","3,015","2,255"
2021년05월_계_연령구간인구수,"53,370","8,117","15,043","6,466","1,838","2,050","3,689","3,531","2,273","3,190","1,903","3,015","2,255"
2021년05월_계_0~9세,"3,370",558,"1,503",535,66,45,98,109,74,102,69,142,69
2021년05월_계_10~19세,"4,406",775,"1,832",671,90,67,187,128,106,169,81,195,105
2021년05월_계_20~29세,"5,028",868,"1,611",918,108,112,253,234,180,232,119,254,139
2021년05월_계_30~39세,"4,574",687,"1,812",780,110,86,216,183,139,161,97,157,146
2021년05월_계_40~49세,"7,336","1,022","2,904","1,254",165,176,372,319,191,291,137,290,215
2021년05월_계_50~59세,"9,439","1,414","2,568","1,391",312,390,652,590,411,540,300,497,374
2021년05월_계_60~69세,"8,254","1,253","1,552",529,344,447,804,802,463,608,385,589,478
2021년05월_계_70~79세,"6,251",917,836,248,311,388,637,648,388,621,377,481,399
2021년05월_계_80~89세,"4,128",516,389,118,294,293,423,449,295,407,293,351,300
2021년05월_계_90~99세,564,104,35,22,34,45,47,67,25,56,43,57,29
2021년05월_계_100세 이상,20,3,1,0,4,1,0,2,1,3,2,2,1
2021년05월_남_총인구수,"27,608","4,032","8,019","3,754",907,"1,038","1,858","1,779","1,158","1,542",916,"1,473","1,132"
2021년05월_남_연령구간인구수,"27,608","4,032","8,019","3,754",907,"1,038","1,858","1,779","1,158","1,542",916,"1,473","1,132"
2021년05월_남_0~9세,"1,696",290,714,272,42,18,49,63,50,59,30,77,32
2021년05월_남_10~19세,"2,337",417,975,354,42,44,98,70,67,91,46,86,47
2021년05월_남_20~29세,"2,949",482,884,571,65,70,174,153,106,141,73,143,87
2021년05월_남_30~39세,"2,486",350,909,460,75,48,131,109,88,91,55,81,89
2021년05월_남_40~49세,"4,355",536,"1,724",776,100,102,219,209,117,170,85,171,146
2021년05월_남_50~59세,"5,442",737,"1,491",867,197,237,351,356,232,309,178,281,206
2021년05월_남_60~69세,"4,277",636,822,310,163,261,414,399,246,301,195,292,238
2021년05월_남_70~79세,"2,677",398,382,106,126,168,268,289,158,248,151,206,177
2021년05월_남_80~89세,"1,278",162,113,34,88,82,144,121,89,121,98,123,103
2021년05월_남_90~99세,109,24,5,4,8,8,10,10,5,10,5,13,7
2021년05월_남_100세 이상,2,0,0,0,1,0,0,0,0,1,0,0,0
2021년05월_여_총인구수,"25,762","4,085","7,024","2,712",931,"1,012","1,831","1,752","1,115","1,648",987,"1,542","1,123"
2021년05월_여_연령구간인구수,"25,762","4,085","7,024","2,712",931,"1,012","1,831","1,752","1,115","1,648",987,"1,542","1,123"
2021년05월_여_0~9세,"1,674",268,789,263,24,27,49,46,24,43,39,65,37
2021년05월_여_10~19세,"2,069",358,857,317,48,23,89,58,39,78,35,109,58
2021년05월_여_20~29세,"2,079",386,727,347,43,42,79,81,74,91,46,111,52
2021년05월_여_30~39세,"2,088",337,903,320,35,38,85,74,51,70,42,76,57
2021년05월_여_40~49세,"2,981",486,"1,180",478,65,74,153,110,74,121,52,119,69
2021년05월_여_50~59세,"3,997",677,"1,077",524,115,153,301,234,179,231,122,216,168
2021년05월_여_60~69세,"3,977",617,730,219,181,186,390,403,217,307,190,297,240
2021년05월_여_70~79세,"3,574",519,454,142,185,220,369,359,230,373,226,275,222
2021년05월_여_80~89세,"2,850",354,276,84,206,211,279,328,206,286,195,228,197
2021년05월_여_90~99세,455,80,30,18,26,37,37,57,20,46,38,44,22
2021년05월_여_100세 이상,18,3,1,0,3,1,0,2,1,2,2,2,1
