,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2020년09월_계_총인구수,"268,025","3,191","4,686","3,443","2,698","2,613","5,067","3,032","2,916","2,225","3,492","3,059","2,425","5,643","7,242","5,772","4,395","12,867","22,139","7,551","6,711","2,908","55,390","12,887","23,933","32,590","16,860","12,290"
2020년09월_계_연령구간인구수,"268,025","3,191","4,686","3,443","2,698","2,613","5,067","3,032","2,916","2,225","3,492","3,059","2,425","5,643","7,242","5,772","4,395","12,867","22,139","7,551","6,711","2,908","55,390","12,887","23,933","32,590","16,860","12,290"
2020년09월_계_0~9세,"21,356",98,577,175,70,74,155,75,97,47,110,123,126,204,362,176,221,"1,115","2,516",410,417,166,"6,853",684,"1,794","2,736","1,236",739
2020년09월_계_10~19세,"27,005",112,366,349,116,115,244,158,138,103,189,140,139,406,611,337,214,"1,141","2,088",489,596,253,"7,742","1,175","2,943","4,301","1,657",883
2020년09월_계_20~29세,"29,585",247,376,241,233,167,343,270,245,136,335,258,166,468,813,594,442,"1,416","2,513",735,858,300,"6,589","1,604","2,946","4,194","1,808","1,288"
2020년09월_계_30~39세,"31,126",199,708,213,150,162,363,178,190,123,279,222,219,477,573,418,611,"1,701","3,773",775,739,262,"7,781","1,344","2,233","3,683","2,168","1,582"
2020년09월_계_40~49세,"43,717",320,726,496,260,257,529,310,287,228,520,377,273,733,982,628,586,"1,948","3,602","1,090",934,371,"10,905","1,855","3,969","6,204","3,173","2,154"
2020년09월_계_50~59세,"43,940",586,675,557,493,466,834,608,585,389,745,468,376,959,"1,115",975,671,"2,056","3,117","1,243","1,204",482,"7,833","2,432","4,137","5,513","3,093","2,328"
2020년09월_계_60~69세,"37,013",682,615,593,611,579,"1,134",662,640,507,718,612,504,"1,160","1,330","1,171",786,"1,764","2,569","1,394","1,121",520,"4,480","2,173","3,271","3,403","2,204","1,810"
2020년09월_계_70~79세,"22,642",559,369,457,436,416,862,474,453,393,414,542,449,833,"1,018",970,617,"1,226","1,357","1,017",600,347,"2,198","1,155","1,675","1,746","1,063",996
2020년09월_계_80~89세,"9,984",328,234,312,265,308,507,260,237,253,159,268,147,344,382,442,208,444,518,346,206,176,864,400,842,718,370,446
2020년09월_계_90~99세,"1,536",55,40,50,60,61,89,33,42,43,19,43,20,47,51,57,36,53,82,48,35,28,139,65,120,87,77,56
2020년09월_계_100세 이상,121,5,0,0,4,8,7,4,2,3,4,6,6,12,5,4,3,3,4,4,1,3,6,0,3,5,11,8
2020년09월_남_총인구수,"135,421","1,636","2,396","1,768","1,359","1,308","2,502","1,544","1,475","1,163","1,974","1,557","1,172","2,808","3,616","2,820","2,241","6,461","11,290","3,788","3,361","1,496","27,556","6,447","11,577","16,273","9,172","6,661"
