,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2021년01월_계_총인구수,"31,310","10,074","1,423","1,864","2,585","8,446","1,939","1,593","3,386"
2021년01월_계_연령구간인구수,"31,310","10,074","1,423","1,864","2,585","8,446","1,939","1,593","3,386"
2021년01월_계_0~9세,"1,404",600,33,46,63,482,41,34,105
2021년01월_계_10~19세,"2,029",903,42,52,82,767,32,47,104
2021년01월_계_20~29세,"2,509",958,90,120,202,754,129,69,187
2021년01월_계_30~39세,"2,240",807,62,110,166,744,115,72,164
2021년01월_계_40~49세,"3,801","1,523",99,146,248,"1,225",144,146,270
2021년01월_계_50~59세,"5,918","1,857",258,341,561,"1,603",404,282,612
2021년01월_계_60~69세,"6,290","1,675",359,438,603,"1,541",472,358,844
2021년01월_계_70~79세,"4,108","1,075",239,346,380,845,340,310,573
2021년01월_계_80~89세,"2,682",605,217,233,247,444,226,251,459
2021년01월_계_90~99세,318,68,22,31,32,41,36,23,65
2021년01월_계_100세 이상,11,3,2,1,1,0,0,1,3
2021년01월_남_총인구수,"16,044","5,069",704,927,"1,412","4,393","1,036",818,"1,685"
2021년01월_남_연령구간인구수,"16,044","5,069",704,927,"1,412","4,393","1,036",818,"1,685"
2021년01월_남_0~9세,729,322,17,20,27,249,23,18,53
2021년01월_남_10~19세,"1,080",487,22,29,40,406,19,19,58
2021년01월_남_20~29세,"1,457",556,50,67,120,430,79,48,107
2021년01월_남_30~39세,"1,220",406,38,64,108,398,70,46,90
2021년01월_남_40~49세,"2,139",794,55,91,165,665,100,96,173
2021년01월_남_50~59세,"3,321","1,017",140,186,323,895,249,167,344
2021년01월_남_60~69세,"3,310",826,202,231,346,804,265,183,453
2021년01월_남_70~79세,"1,826",449,95,155,183,381,158,152,253
2021년01월_남_80~89세,881,198,77,75,91,154,62,84,140
2021년01월_남_90~99세,76,13,7,8,9,11,11,4,13
2021년01월_남_100세 이상,5,1,1,1,0,0,0,1,1
2021년01월_여_총인구수,"15,266","5,005",719,937,"1,173","4,053",903,775,"1,701"
2021년01월_여_연령구간인구수,"15,266","5,005",719,937,"1,173","4,053",903,775,"1,701"
2021년01월_여_0~9세,675,278,16,26,36,233,18,16,52
2021년01월_여_10~19세,949,416,20,23,42,361,13,28,46
2021년01월_여_20~29세,"1,052",402,40,53,82,324,50,21,80
2021년01월_여_30~39세,"1,020",401,24,46,58,346,45,26,74
2021년01월_여_40~49세,"1,662",729,44,55,83,560,44,50,97
2021년01월_여_50~59세,"2,597",840,118,155,238,708,155,115,268
2021년01월_여_60~69세,"2,980",849,157,207,257,737,207,175,391
2021년01월_여_70~79세,"2,282",626,144,191,197,464,182,158,320
2021년01월_여_80~89세,"1,801",407,140,158,156,290,164,167,319
2021년01월_여_90~99세,242,55,15,23,23,30,25,19,52
2021년01월_여_100세 이상,6,2,1,0,1,0,0,0,2
