카테고리,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2021년08월_계_총인구수,"103,891","5,295","1,269","7,044","5,132","3,052","2,816","3,886","4,253","8,305","3,394","4,938","1,777","2,648","16,250","20,100","7,890","5,842"
2021년08월_계_연령구간인구수,"103,891","5,295","1,269","7,044","5,132","3,052","2,816","3,886","4,253","8,305","3,394","4,938","1,777","2,648","16,250","20,100","7,890","5,842"
2021년08월_계_0~9세,"5,380",129,15,263,117,52,58,83,72,430,79,95,38,61,"1,369","1,830",383,306
2021년08월_계_10~19세,"7,582",232,53,401,219,82,110,195,138,511,122,245,49,147,"1,404","2,528",597,549
2021년08월_계_20~29세,"8,831",306,123,471,359,145,172,209,202,633,155,294,91,212,"1,926","2,109",772,652
2021년08월_계_30~39세,"8,571",317,61,450,313,143,143,152,242,608,167,239,63,189,"2,157","2,065",687,575
2021년08월_계_40~49세,"12,737",494,96,738,472,202,261,346,302,975,293,365,126,303,"2,446","3,444","1,030",844
2021년08월_계_50~59세,"18,263",950,218,"1,301",944,519,536,718,831,"1,462",568,836,263,486,"2,812","3,288","1,407","1,124"
2021년08월_계_60~69세,"21,758","1,413",326,"1,644","1,357",948,760,"1,084","1,308","1,816",946,"1,322",515,600,"2,452","2,709","1,503","1,055"
2021년08월_계_70~79세,"12,794",915,221,"1,082",775,568,479,686,722,"1,139",641,855,349,417,"1,112","1,382",938,513
2021년08월_계_80~89세,"7,038",471,135,618,503,338,260,359,379,642,392,608,250,216,482,668,513,204
2021년08월_계_90~99세,911,65,21,72,71,55,34,52,55,88,29,76,33,17,89,75,60,19
2021년08월_계_100세 이상,26,3,0,4,2,0,3,2,2,1,2,3,0,0,1,2,0,1
2021년08월_남_총인구수,"51,010","2,651",635,"3,523","2,646","1,471","1,441","1,995","2,099","4,128","1,679","2,410",854,"1,286","8,036","9,653","3,671","2,832"
2021년08월_남_연령구간인구수,"51,010","2,651",635,"3,523","2,646","1,471","1,441","1,995","2,099","4,128","1,679","2,410",854,"1,286","8,036","9,653","3,671","2,832"
2021년08월_남_0~9세,"2,756",71,7,144,69,27,34,47,41,213,38,48,16,32,669,958,201,141
2021년08월_남_10~19세,"3,968",122,27,212,118,41,64,105,71,256,71,140,25,79,732,"1,342",293,270
2021년08월_남_20~29세,"5,128",189,72,288,236,94,111,133,129,394,89,165,57,142,"1,081","1,169",401,378
2021년08월_남_30~39세,"4,529",186,38,263,194,86,83,91,136,326,99,136,36,92,"1,119",989,366,289
2021년08월_남_40~49세,"6,746",300,65,440,278,130,159,218,176,549,186,204,78,164,"1,249","1,622",501,427
2021년08월_남_50~59세,"9,244",488,125,694,525,261,286,382,413,758,299,454,119,244,"1,414","1,552",692,538
2021년08월_남_60~69세,"10,680",721,153,796,707,458,388,571,667,925,467,674,276,284,"1,158","1,223",712,500
2021년08월_남_70~79세,"5,632",415,101,491,344,273,227,336,346,497,299,387,159,174,449,573,336,225
2021년08월_남_80~89세,"2,144",147,44,184,159,88,83,105,112,190,126,188,80,72,143,209,155,59
2021년08월_남_90~99세,178,11,3,11,16,13,5,7,7,20,4,13,8,3,22,16,14,5
2021년08월_남_100세 이상,5,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
2021년08월_여_총인구수,"52,881","2,644",634,"3,521","2,486","1,581","1,375","1,891","2,154","4,177","1,715","2,528",923,"1,362","8,214","10,447","4,219","3,010"
2021년08월_여_연령구간인구수,"52,881","2,644",634,"3,521","2,486","1,581","1,375","1,891","2,154","4,177","1,715","2,528",923,"1,362","8,214","10,447","4,219","3,010"
2021년08월_여_0~9세,"2,624",58,8,119,48,25,24,36,31,217,41,47,22,29,700,872,182,165
2021년08월_여_10~19세,"3,614",110,26,189,101,41,46,90,67,255,51,105,24,68,672,"1,186",304,279
2021년08월_여_20~29세,"3,703",117,51,183,123,51,61,76,73,239,66,129,34,70,845,940,371,274
2021년08월_여_30~39세,"4,042",131,23,187,119,57,60,61,106,282,68,103,27,97,"1,038","1,076",321,286
2021년08월_여_40~49세,"5,991",194,31,298,194,72,102,128,126,426,107,161,48,139,"1,197","1,822",529,417
2021년08월_여_50~59세,"9,019",462,93,607,419,258,250,336,418,704,269,382,144,242,"1,398","1,736",715,586
2021년08월_여_60~69세,"11,078",692,173,848,650,490,372,513,641,891,479,648,239,316,"1,294","1,486",791,555
2021년08월_여_70~79세,"7,162",500,120,591,431,295,252,350,376,642,342,468,190,243,663,809,602,288
2021년08월_여_80~89세,"4,894",324,91,434,344,250,177,254,267,452,266,420,170,144,339,459,358,145
2021년08월_여_90~99세,733,54,18,61,55,42,29,45,48,68,25,63,25,14,67,59,46,14
2021년08월_여_100세 이상,21,2,0,4,2,0,2,2,1,1,1,2,0,0,1,2,0,1
