,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2020년07월_계_총인구수,"63,309","7,189","6,343","7,983","10,860","3,829","1,724","3,078","8,225","4,127","6,854","3,097"
2020년07월_계_연령구간인구수,"63,309","7,189","6,343","7,983","10,860","3,829","1,724","3,078","8,225","4,127","6,854","3,097"
2020년07월_계_0~9세,"4,013",506,280,384,902,141,99,94,525,336,631,115
2020년07월_계_10~19세,"5,169",620,513,632,934,232,110,184,741,426,562,215
2020년07월_계_20~29세,"6,713",770,732,833,"1,241",427,177,277,855,466,630,305
2020년07월_계_30~39세,"7,201",851,595,814,"1,528",369,184,234,949,504,916,257
2020년07월_계_40~49세,"10,224","1,242",936,"1,266","1,839",537,264,388,"1,411",746,"1,168",427
2020년07월_계_50~59세,"10,239","1,203","1,087","1,294","1,618",716,260,532,"1,303",717,"1,049",460
2020년07월_계_60~69세,"9,852","1,012","1,070","1,336","1,497",699,301,635,"1,210",533,968,591
2020년07월_계_70~79세,"6,631",631,760,965,936,447,214,457,845,276,604,496
2020년07월_계_80~89세,"2,768",294,307,405,309,238,98,236,320,95,270,196
2020년07월_계_90~99세,426,50,52,48,45,22,16,35,58,23,51,26
2020년07월_계_100세 이상,73,10,11,6,11,1,1,6,8,5,5,9
2020년07월_남_총인구수,"31,979","3,691","3,198","3,976","5,379","1,960",842,"1,580","4,214","2,126","3,434","1,579"
2020년07월_남_연령구간인구수,"31,979","3,691","3,198","3,976","5,379","1,960",842,"1,580","4,214","2,126","3,434","1,579"
2020년07월_남_0~9세,"2,116",267,153,204,457,73,51,54,292,169,333,63
2020년07월_남_10~19세,"2,666",318,266,303,496,111,49,87,385,212,313,126
2020년07월_남_20~29세,"3,651",434,396,448,654,241,101,163,493,237,323,161
2020년07월_남_30~39세,"3,835",445,314,456,770,200,101,137,516,282,468,146
2020년07월_남_40~49세,"5,522",670,483,703,973,309,138,229,744,395,632,246
2020년07월_남_50~59세,"5,425",667,595,677,773,397,131,300,695,390,544,256
2020년07월_남_60~69세,"4,744",515,518,628,692,355,150,305,577,263,454,287
2020년07월_남_70~79세,"2,926",273,341,405,437,188,85,207,372,134,271,213
2020년07월_남_80~89세,962,86,117,139,113,77,31,86,120,35,89,69
2020년07월_남_90~99세,109,13,13,12,9,9,5,10,18,6,7,7
2020년07월_남_100세 이상,23,3,2,1,5,0,0,2,2,3,0,5
2020년07월_여_총인구수,"31,330","3,498","3,145","4,007","5,481","1,869",882,"1,498","4,011","2,001","3,420","1,518"
2020년07월_여_연령구간인구수,"31,330","3,498","3,145","4,007","5,481","1,869",882,"1,498","4,011","2,001","3,420","1,518"
2020년07월_여_0~9세,"1,897",239,127,180,445,68,48,40,233,167,298,52
2020년07월_여_10~19세,"2,503",302,247,329,438,121,61,97,356,214,249,89
2020년07월_여_20~29세,"3,062",336,336,385,587,186,76,114,362,229,307,144
2020년07월_여_30~39세,"3,366",406,281,358,758,169,83,97,433,222,448,111
2020년07월_여_40~49세,"4,702",572,453,563,866,228,126,159,667,351,536,181
2020년07월_여_50~59세,"4,814",536,492,617,845,319,129,232,608,327,505,204
2020년07월_여_60~69세,"5,108",497,552,708,805,344,151,330,633,270,514,304
2020년07월_여_70~79세,"3,705",358,419,560,499,259,129,250,473,142,333,283
2020년07월_여_80~89세,"1,806",208,190,266,196,161,67,150,200,60,181,127
2020년07월_여_90~99세,317,37,39,36,36,13,11,25,40,17,44,19
2020년07월_여_100세 이상,50,7,9,5,6,1,1,4,6,2,5,4
