,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2021년03월_계_총인구수,"175,650","13,713","7,344","5,339","3,341","8,166","15,443","9,415","5,058","7,325","6,191","19,268","18,773","8,819","15,997","31,458"
2021년03월_계_연령구간인구수,"175,650","13,713","7,344","5,339","3,341","8,166","15,443","9,415","5,058","7,325","6,191","19,268","18,773","8,819","15,997","31,458"
2021년03월_계_0~9세,"15,244",698,491,124,61,596,"2,893",499,132,248,355,"1,679","1,646",563,"1,369","3,890"
2021년03월_계_10~19세,"17,148","1,014",709,201,109,751,"1,206",756,258,443,461,"2,026","2,303",880,"1,952","4,079"
2021년03월_계_20~29세,"19,071","1,821",620,278,164,668,"1,617",852,284,696,555,"2,591","2,137","1,085","2,001","3,702"
2021년03월_계_30~39세,"21,925","1,461",604,266,147,939,"3,869",839,254,479,551,"2,705","2,135",862,"1,916","4,898"
2021년03월_계_40~49세,"27,847","1,975","1,111",480,293,"1,238","2,361","1,357",537,840,832,"3,276","3,376","1,434","2,839","5,898"
2021년03월_계_50~59세,"28,371","3,089","1,321",865,577,"1,371","1,630","1,697",848,"1,326",812,"3,158","3,206","1,526","2,528","4,417"
2021년03월_계_60~69세,"22,573","1,972","1,112","1,323",859,"1,262",994,"1,569","1,131","1,446","1,105","2,083","2,097","1,317","1,821","2,482"
2021년03월_계_70~79세,"13,946",974,764,"1,017",688,798,513,"1,033",920,"1,123",836,"1,074","1,176",752,985,"1,293"
2021년03월_계_80~89세,"8,254",612,539,688,390,460,311,718,610,627,604,581,589,342,511,672
2021년03월_계_90~99세,"1,234",95,68,96,52,82,48,93,80,96,74,92,102,56,75,125
2021년03월_계_100세 이상,37,2,5,1,1,1,1,2,4,1,6,3,6,2,0,2
2021년03월_남_총인구수,"91,548","7,960","3,762","2,718","1,714","4,388","8,101","4,853","2,577","3,797","3,199","9,989","9,801","4,499","8,072","16,118"
2021년03월_남_연령구간인구수,"91,548","7,960","3,762","2,718","1,714","4,388","8,101","4,853","2,577","3,797","3,199","9,989","9,801","4,499","8,072","16,118"
2021년03월_남_0~9세,"7,809",358,261,58,37,291,"1,501",258,76,128,183,895,861,305,670,"1,927"
2021년03월_남_10~19세,"9,104",547,374,111,55,396,607,411,135,245,240,"1,068","1,362",463,932,"2,158"
2021년03월_남_20~29세,"11,332","1,245",376,176,104,418,911,510,173,433,375,"1,463","1,273",625,"1,131","2,119"
2021년03월_남_30~39세,"12,173",988,321,169,87,595,"2,061",461,142,285,319,"1,507","1,142",480,"1,082","2,534"
2021년03월_남_40~49세,"14,922","1,196",573,302,184,732,"1,315",752,329,493,487,"1,690","1,692",750,"1,433","2,994"
2021년03월_남_50~59세,"15,192","1,856",744,471,325,736,839,908,472,725,440,"1,639","1,643",789,"1,308","2,297"
2021년03월_남_60~69세,"11,320","1,087",563,668,430,669,520,789,556,724,529,"1,012","1,024",616,899,"1,234"
2021년03월_남_70~79세,"6,536",467,353,482,351,376,236,488,446,528,384,488,563,331,440,603
2021년03월_남_80~89세,"2,908",189,182,262,133,160,102,261,231,217,224,211,219,125,162,230
2021년03월_남_90~99세,249,27,15,19,8,15,9,15,16,19,17,16,21,15,15,22
2021년03월_남_100세 이상,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2021년03월_여_총인구수,"84,102","5,753","3,582","2,621","1,627","3,778","7,342","4,562","2,481","3,528","2,992","9,279","8,972","4,320","7,925","15,340"
2021년03월_여_연령구간인구수,"84,102","5,753","3,582","2,621","1,627","3,778","7,342","4,562","2,481","3,528","2,992","9,279","8,972","4,320","7,925","15,340"
2021년03월_여_0~9세,"7,435",340,230,66,24,305,"1,392",241,56,120,172,784,785,258,699,"1,963"
2021년03월_여_10~19세,"8,044",467,335,90,54,355,599,345,123,198,221,958,941,417,"1,020","1,921"
2021년03월_여_20~29세,"7,739",576,244,102,60,250,706,342,111,263,180,"1,128",864,460,870,"1,583"
2021년03월_여_30~39세,"9,752",473,283,97,60,344,"1,808",378,112,194,232,"1,198",993,382,834,"2,364"
2021년03월_여_40~49세,"12,925",779,538,178,109,506,"1,046",605,208,347,345,"1,586","1,684",684,"1,406","2,904"
2021년03월_여_50~59세,"13,179","1,233",577,394,252,635,791,789,376,601,372,"1,519","1,563",737,"1,220","2,120"
2021년03월_여_60~69세,"11,253",885,549,655,429,593,474,780,575,722,576,"1,071","1,073",701,922,"1,248"
2021년03월_여_70~79세,"7,410",507,411,535,337,422,277,545,474,595,452,586,613,421,545,690
2021년03월_여_80~89세,"5,346",423,357,426,257,300,209,457,379,410,380,370,370,217,349,442
2021년03월_여_90~99세,985,68,53,77,44,67,39,78,64,77,57,76,81,41,60,103
2021년03월_여_100세 이상,34,2,5,1,1,1,1,2,3,1,5,3,5,2,0,2
