,인천광역시 연수구,인천광역시 연수구 옥련1동,인천광역시 연수구 옥련2동,인천광역시 연수구 선학동,인천광역시 연수구 연수1동,인천광역시 연수구 연수2동,인천광역시 연수구 연수3동,인천광역시 연수구 청학동,인천광역시 연수구 동춘1동,인천광역시 연수구 동춘2동,인천광역시 연수구 동춘3동,인천광역시 연수구 송도1동,인천광역시 연수구 송도2동,인천광역시 연수구 송도3동,인천광역시 연수구 송도4동,인천광역시 연수구 송도5동
2021년05월_계_총인구수,"390,971","19,557","20,724","17,261","19,849","21,317","16,434","25,054","25,600","18,493","18,805","38,237","36,794","48,946","25,078","38,822"
2021년05월_계_연령구간인구수,"390,971","19,557","20,724","17,261","19,849","21,317","16,434","25,054","25,600","18,493","18,805","38,237","36,794","48,946","25,078","38,822"
2021년05월_계_0~9세,"38,292","1,352","1,468",875,899,"1,370",932,"1,205","2,307","1,355","1,517","3,161","4,846","6,845","3,762","6,398"
2021년05월_계_10~19세,"43,139","1,855","2,210","1,070","1,566","1,663","1,225","1,717","2,684","1,953","2,852","5,665","6,334","5,971","2,904","3,470"
2021년05월_계_20~29세,"52,163","2,613","2,959","2,417","3,119","3,323","2,217","3,468","3,445","2,622","2,521","6,616","3,643","6,261","2,803","4,136"
2021년05월_계_30~39세,"57,859","2,307","2,454","2,258","2,522","3,189","2,211","3,023","3,767","2,604","1,817","4,394","4,450","9,262","4,674","8,927"
2021년05월_계_40~49세,"69,013","3,082","3,316","2,362","3,230","3,037","2,177","3,597","4,179","2,908","3,355","6,642","8,523","9,950","5,206","7,449"
2021년05월_계_50~59세,"64,835","3,699","3,953","3,321","4,005","3,849","3,032","5,230","4,689","3,461","3,384","6,346","5,534","6,125","3,359","4,848"
2021년05월_계_60~69세,"41,001","2,586","2,554","3,033","2,747","2,907","2,588","4,029","3,042","2,273","2,024","3,558","2,288","3,045","1,672","2,655"
2021년05월_계_70~79세,"15,792","1,345","1,168","1,255","1,172","1,180","1,198","1,751",945,810,840,"1,193",757,"1,025",494,659
2021년05월_계_80~89세,"7,455",625,541,570,507,665,696,886,434,449,406,535,346,395,177,223
2021년05월_계_90~99세,"1,374",93,97,95,79,130,148,140,104,56,89,126,70,65,26,56
2021년05월_계_100세 이상,48,0,4,5,3,4,10,8,4,2,0,1,3,2,1,1
2021년05월_남_총인구수,"194,351","9,696","10,260","8,948","10,870","10,476","7,823","12,976","12,580","9,012","9,165","18,823","18,071","23,980","12,430","19,241"
2021년05월_남_연령구간인구수,"194,351","9,696","10,260","8,948","10,870","10,476","7,823","12,976","12,580","9,012","9,165","18,823","18,071","23,980","12,430","19,241"
2021년05월_남_0~9세,"19,574",698,742,469,460,716,484,611,"1,183",697,757,"1,629","2,472","3,446","1,930","3,280"
2021년05월_남_10~19세,"22,137",960,"1,150",552,860,833,632,871,"1,342","1,008","1,465","2,909","3,234","3,044","1,470","1,807"
2021년05월_남_20~29세,"27,074","1,426","1,565","1,366","1,764","1,786","1,122","1,974","1,776","1,340","1,326","3,341","1,864","3,033","1,397","1,994"
2021년05월_남_30~39세,"28,476","1,198","1,212","1,288","1,516","1,658","1,165","1,732","1,840","1,335",801,"2,084","1,852","4,314","2,189","4,292"
2021년05월_남_40~49세,"34,017","1,512","1,646","1,314","1,852","1,483","1,035","1,930","2,025","1,369","1,512","3,040","3,979","4,899","2,596","3,825"
2021년05월_남_50~59세,"31,956","1,814","1,897","1,581","2,181","1,811","1,371","2,658","2,188","1,594","1,670","3,174","2,950","3,077","1,689","2,301"
2021년05월_남_60~69세,"21,054","1,260","1,291","1,577","1,496","1,469","1,286","2,073","1,590","1,147","1,076","1,845","1,232","1,547",841,"1,324"
2021년05월_남_70~79세,"7,313",583,558,585,551,508,515,790,473,370,386,586,342,472,251,343
2021년05월_남_80~89세,"2,452",223,176,197,173,185,189,307,134,136,148,190,132,132,65,65
2021년05월_남_90~99세,288,22,23,19,17,25,21,27,29,16,24,25,14,14,2,10
2021년05월_남_100세 이상,10,0,0,0,0,2,3,3,0,0,0,0,0,2,0,0
2021년05월_여_총인구수,"196,620","9,861","10,464","8,313","8,979","10,841","8,611","12,078","13,020","9,481","9,640","19,414","18,723","24,966","12,648","19,581"
2021년05월_여_연령구간인구수,"196,620","9,861","10,464","8,313","8,979","10,841","8,611","12,078","13,020","9,481","9,640","19,414","18,723","24,966","12,648","19,581"
2021년05월_여_0~9세,"18,718",654,726,406,439,654,448,594,"1,124",658,760,"1,532","2,374","3,399","1,832","3,118"
2021년05월_여_10~19세,"21,002",895,"1,060",518,706,830,593,846,"1,342",945,"1,387","2,756","3,100","2,927","1,434","1,663"
2021년05월_여_20~29세,"25,089","1,187","1,394","1,051","1,355","1,537","1,095","1,494","1,669","1,282","1,195","3,275","1,779","3,228","1,406","2,142"
2021년05월_여_30~39세,"29,383","1,109","1,242",970,"1,006","1,531","1,046","1,291","1,927","1,269","1,016","2,310","2,598","4,948","2,485","4,635"
2021년05월_여_40~49세,"34,996","1,570","1,670","1,048","1,378","1,554","1,142","1,667","2,154","1,539","1,843","3,602","4,544","5,051","2,610","3,624"
2021년05월_여_50~59세,"32,879","1,885","2,056","1,740","1,824","2,038","1,661","2,572","2,501","1,867","1,714","3,172","2,584","3,048","1,670","2,547"
2021년05월_여_60~69세,"19,947","1,326","1,263","1,456","1,251","1,438","1,302","1,956","1,452","1,126",948,"1,713","1,056","1,498",831,"1,331"
2021년05월_여_70~79세,"8,479",762,610,670,621,672,683,961,472,440,454,607,415,553,243,316
2021년05월_여_80~89세,"5,003",402,365,373,334,480,507,579,300,313,258,345,214,263,112,158
2021년05월_여_90~99세,"1,086",71,74,76,62,105,127,113,75,40,65,101,56,51,24,46
2021년05월_여_100세 이상,38,0,4,5,3,2,7,5,4,2,0,1,3,0,1,1
