카테고리,부산광역시 영도구,부산광역시 영도구 남항동,부산광역시 영도구 영선제1동,부산광역시 영도구 영선제2동,부산광역시 영도구 신선동,부산광역시 영도구 봉래제1동,부산광역시 영도구 봉래제2동,부산광역시 영도구 청학제1동,부산광역시 영도구 청학제2동,부산광역시 영도구 동삼제1동,부산광역시 영도구 동삼제2동,부산광역시 영도구 동삼제3동
2020년04월_계_총인구수,"115,645","10,835","4,174","9,030","9,450","7,384","5,409","6,934","18,779","29,313","3,631","10,706"
2020년04월_계_연령구간인구수,"115,645","10,835","4,174","9,030","9,450","7,384","5,409","6,934","18,779","29,313","3,631","10,706"
2020년04월_계_0~9세,"5,587",401,199,431,253,384,158,405,"1,097","1,650",202,407
2020년04월_계_10~19세,"7,763",551,263,614,526,442,294,466,"1,468","2,350",209,580
2020년04월_계_20~29세,"12,312","1,050",461,909,833,735,518,629,"2,019","3,546",616,996
2020년04월_계_30~39세,"11,255","1,058",394,841,702,800,441,704,"1,949","3,022",347,997
2020년04월_계_40~49세,"15,763","1,410",546,"1,147","1,199",998,711,"1,040","2,770","4,177",465,"1,300"
2020년04월_계_50~59세,"20,269","1,992",745,"1,592","1,744","1,221",964,"1,115","3,273","5,234",490,"1,899"
2020년04월_계_60~69세,"21,687","2,162",801,"1,689","1,869","1,432","1,058","1,233","3,341","5,081",672,"2,349"
2020년04월_계_70~79세,"14,503","1,505",533,"1,221","1,574",881,906,922,"2,002","2,984",448,"1,527"
2020년04월_계_80~89세,"5,639",614,195,494,652,408,320,350,748,"1,129",153,576
2020년04월_계_90~99세,738,84,28,80,86,54,31,58,98,125,27,67
2020년04월_계_100세 이상,129,8,9,12,12,29,8,12,14,15,2,8
2020년04월_남_총인구수,"57,014","5,400","2,013","4,399","4,727","3,637","2,702","3,374","9,327","14,327","1,904","5,204"
2020년04월_남_연령구간인구수,"57,014","5,400","2,013","4,399","4,727","3,637","2,702","3,374","9,327","14,327","1,904","5,204"
2020년04월_남_0~9세,"2,811",199,106,220,139,186,74,210,547,825,106,199
2020년04월_남_10~19세,"4,019",278,140,337,282,227,153,234,775,"1,187",105,301
2020년04월_남_20~29세,"6,711",543,242,492,435,397,293,318,"1,094","1,962",384,551
2020년04월_남_30~39세,"6,067",574,216,444,414,431,268,366,"1,055","1,559",199,541
2020년04월_남_40~49세,"8,304",791,268,570,692,555,402,552,"1,414","2,079",263,718
2020년04월_남_50~59세,"10,288","1,103",367,787,968,632,519,566,"1,650","2,505",256,935
2020년04월_남_60~69세,"10,351","1,043",356,808,898,670,477,589,"1,568","2,451",328,"1,163"
2020년04월_남_70~79세,"6,291",637,234,528,643,387,372,406,937,"1,338",196,613
2020년04월_남_80~89세,"2,003",223,75,191,239,133,131,118,263,398,55,177
2020년04월_남_90~99세,136,7,5,19,12,15,9,12,18,23,11,5
2020년04월_남_100세 이상,33,2,4,3,5,4,4,3,6,0,1,1
2020년04월_여_총인구수,"58,631","5,435","2,161","4,631","4,723","3,747","2,707","3,560","9,452","14,986","1,727","5,502"
2020년04월_여_연령구간인구수,"58,631","5,435","2,161","4,631","4,723","3,747","2,707","3,560","9,452","14,986","1,727","5,502"
2020년04월_여_0~9세,"2,776",202,93,211,114,198,84,195,550,825,96,208
2020년04월_여_10~19세,"3,744",273,123,277,244,215,141,232,693,"1,163",104,279
2020년04월_여_20~29세,"5,601",507,219,417,398,338,225,311,925,"1,584",232,445
2020년04월_여_30~39세,"5,188",484,178,397,288,369,173,338,894,"1,463",148,456
2020년04월_여_40~49세,"7,459",619,278,577,507,443,309,488,"1,356","2,098",202,582
2020년04월_여_50~59세,"9,981",889,378,805,776,589,445,549,"1,623","2,729",234,964
2020년04월_여_60~69세,"11,336","1,119",445,881,971,762,581,644,"1,773","2,630",344,"1,186"
2020년04월_여_70~79세,"8,212",868,299,693,931,494,534,516,"1,065","1,646",252,914
2020년04월_여_80~89세,"3,636",391,120,303,413,275,189,232,485,731,98,399
2020년04월_여_90~99세,602,77,23,61,74,39,22,46,80,102,16,62
2020년04월_여_100세 이상,96,6,5,9,7,25,4,9,8,15,1,7
