,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2021년11월_계_총인구수,"116,701","12,022","2,562","2,844","1,425","2,260","2,408","3,537","1,923","4,522","4,184","3,318","1,851","4,142","7,807","2,663","4,854","8,687","3,186","3,344","39,162"
2021년11월_계_연령구간인구수,"116,701","12,022","2,562","2,844","1,425","2,260","2,408","3,537","1,923","4,522","4,184","3,318","1,851","4,142","7,807","2,663","4,854","8,687","3,186","3,344","39,162"
2021년11월_계_0~9세,"9,882","1,063",39,56,20,69,43,59,29,82,100,69,24,83,590,129,212,642,103,102,"6,368"
2021년11월_계_10~19세,"9,656",787,131,119,48,119,70,146,51,152,203,136,56,175,822,191,342,901,218,194,"4,795"
2021년11월_계_20~29세,"12,209","1,119",175,237,87,136,154,232,99,310,344,265,94,289,"1,249",314,492,"1,292",249,373,"4,699"
2021년11월_계_30~39세,"14,443","1,561",125,156,65,111,110,183,94,247,290,221,91,209,957,262,373,841,209,280,"8,058"
2021년11월_계_40~49세,"16,739","1,662",207,242,116,216,189,301,144,353,429,343,136,339,"1,188",352,556,"1,320",301,392,"7,953"
2021년11월_계_50~59세,"17,367","1,975",450,498,245,344,362,580,317,861,719,648,367,718,"1,329",476,832,"1,466",557,601,"4,022"
2021년11월_계_60~69세,"16,951","2,019",581,643,322,513,576,861,458,"1,093",893,735,457,943,863,441,890,"1,106",656,670,"2,231"
2021년11월_계_70~79세,"11,406","1,137",473,463,280,410,496,645,374,760,739,517,343,798,492,299,719,706,524,464,767
2021년11월_계_80~89세,"6,954",609,329,376,206,304,355,462,309,552,406,336,244,510,281,170,375,353,314,230,233
2021년11월_계_90~99세,"1,060",88,50,52,36,34,53,65,44,110,58,48,37,74,34,29,62,59,55,37,35
2021년11월_계_100세 이상,34,2,2,2,0,4,0,3,4,2,3,0,2,4,2,0,1,1,0,1,1
2021년11월_남_총인구수,"58,889","6,033","1,291","1,492",705,"1,148","1,197","1,785",941,"2,328","2,197","1,742",958,"2,145","3,884","1,315","2,446","4,371","1,597","1,792","19,522"
2021년11월_남_연령구간인구수,"58,889","6,033","1,291","1,492",705,"1,148","1,197","1,785",941,"2,328","2,197","1,742",958,"2,145","3,884","1,315","2,446","4,371","1,597","1,792","19,522"
2021년11월_남_0~9세,"5,093",545,17,30,9,34,16,27,12,48,51,30,14,48,306,63,118,341,59,50,"3,275"
2021년11월_남_10~19세,"4,962",393,69,66,23,67,42,91,28,83,111,72,26,99,412,99,210,476,99,96,"2,400"
2021년11월_남_20~29세,"6,459",609,102,143,56,84,97,135,59,177,197,158,49,168,668,181,280,716,136,218,"2,226"
2021년11월_남_30~39세,"7,535",798,71,103,49,63,66,121,53,144,186,134,55,119,535,140,190,433,108,163,"4,004"
2021년11월_남_40~49세,"9,247",938,146,162,74,135,132,197,98,239,264,227,87,236,589,191,308,676,197,246,"4,105"
2021년11월_남_50~59세,"9,545","1,014",267,309,138,212,212,329,192,519,445,394,226,440,696,248,431,756,317,383,"2,017"
2021년11월_남_60~69세,"8,630","1,010",312,345,167,274,313,455,246,589,464,385,264,503,401,204,437,524,340,352,"1,045"
2021년11월_남_70~79세,"5,045",519,206,213,134,179,204,275,152,336,328,234,145,356,184,129,313,312,235,215,376
2021년11월_남_80~89세,"2,150",191,97,113,46,97,102,143,93,169,138,96,79,161,86,57,143,123,88,63,65
2021년11월_남_90~99세,217,16,4,8,9,3,13,11,8,24,12,12,12,13,7,3,16,14,18,6,8
2021년11월_남_100세 이상,6,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,1
2021년11월_여_총인구수,"57,812","5,989","1,271","1,352",720,"1,112","1,211","1,752",982,"2,194","1,987","1,576",893,"1,997","3,923","1,348","2,408","4,316","1,589","1,552","19,640"
2021년11월_여_연령구간인구수,"57,812","5,989","1,271","1,352",720,"1,112","1,211","1,752",982,"2,194","1,987","1,576",893,"1,997","3,923","1,348","2,408","4,316","1,589","1,552","19,640"
2021년11월_여_0~9세,"4,789",518,22,26,11,35,27,32,17,34,49,39,10,35,284,66,94,301,44,52,"3,093"
2021년11월_여_10~19세,"4,694",394,62,53,25,52,28,55,23,69,92,64,30,76,410,92,132,425,119,98,"2,395"
2021년11월_여_20~29세,"5,750",510,73,94,31,52,57,97,40,133,147,107,45,121,581,133,212,576,113,155,"2,473"
2021년11월_여_30~39세,"6,908",763,54,53,16,48,44,62,41,103,104,87,36,90,422,122,183,408,101,117,"4,054"
2021년11월_여_40~49세,"7,492",724,61,80,42,81,57,104,46,114,165,116,49,103,599,161,248,644,104,146,"3,848"
2021년11월_여_50~59세,"7,822",961,183,189,107,132,150,251,125,342,274,254,141,278,633,228,401,710,240,218,"2,005"
2021년11월_여_60~69세,"8,321","1,009",269,298,155,239,263,406,212,504,429,350,193,440,462,237,453,582,316,318,"1,186"
2021년11월_여_70~79세,"6,361",618,267,250,146,231,292,370,222,424,411,283,198,442,308,170,406,394,289,249,391
2021년11월_여_80~89세,"4,804",418,232,263,160,207,253,319,216,383,268,240,165,349,195,113,232,230,226,167,168
2021년11월_여_90~99세,843,72,46,44,27,31,40,54,36,86,46,36,25,61,27,26,46,45,37,31,27
2021년11월_여_100세 이상,28,2,2,2,0,4,0,2,4,2,2,0,1,2,2,0,1,1,0,1,0
