카테고리,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 문무대왕면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2021년11월_계_총인구수,"252,162","5,377","24,150","9,260","22,138","4,207","6,262","4,705","3,232","3,118","21,721","6,087","5,663","5,125","6,323","13,674","4,511","14,713","5,809","24,090","28,384","22,180","9,718","1,715"
2021년11월_계_연령구간인구수,"252,162","5,377","24,150","9,260","22,138","4,207","6,262","4,705","3,232","3,118","21,721","6,087","5,663","5,125","6,323","13,674","4,511","14,713","5,809","24,090","28,384","22,180","9,718","1,715"
2021년11월_계_0~9세,"15,427",136,"1,007",304,"1,349",198,258,96,44,55,"2,308",171,258,177,157,391,78,"1,090",346,"2,855","2,385","1,098",616,50
2021년11월_계_10~19세,"20,235",220,"1,946",491,"1,190",176,317,197,82,121,"2,383",298,304,290,304,774,183,"1,597",345,"2,659","3,524","2,167",589,78
2021년11월_계_20~29세,"25,815",328,"2,147",674,"2,107",435,562,270,131,160,"2,248",461,497,518,578,"1,968",326,"1,883",451,"2,578","3,681","2,872",778,162
2021년11월_계_30~39세,"24,651",323,"1,655",640,"2,682",442,486,240,112,136,"2,828",324,550,463,520,"1,209",255,"1,401",472,"3,392","3,140","2,177","1,093",111
2021년11월_계_40~49세,"35,810",578,"3,143",966,"2,981",347,686,400,188,274,"3,769",675,672,618,704,"1,717",473,"2,463",750,"4,413","4,986","3,466","1,342",199
2021년11월_계_50~59세,"46,585",981,"4,860","1,616","4,424",668,"1,305",858,554,523,"3,674","1,207","1,056",847,"1,130","2,298",783,"2,823","1,000","4,063","5,452","4,450","1,695",318
2021년11월_계_60~69세,"43,242","1,259","4,562","2,107","4,057",855,"1,415","1,156","1,032",765,"2,582","1,385","1,151","1,066","1,431","2,682","1,043","1,885","1,159","2,555","3,260","3,580","1,851",404
2021년11월_계_70~79세,"25,009",936,"2,933","1,476","2,047",596,736,823,646,657,"1,207",909,719,766,983,"1,845",787,999,788,"1,001","1,254","1,591","1,059",251
2021년11월_계_80~89세,"13,469",531,"1,694",875,"1,116",421,416,579,395,382,638,573,403,344,453,697,520,503,429,490,601,682,603,124
2021년11월_계_90~99세,"1,866",81,196,110,181,65,78,85,48,44,83,82,52,36,61,91,61,68,65,80,100,93,89,17
