카테고리,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2020년09월_계_총인구수,"246,231","7,874","3,146","1,599","7,320","2,998","12,223","1,123","8,343","3,646","1,101","3,193","1,398","6,383","9,587","27,463","7,275","26,576","20,589","35,968","34,730","23,696"
2020년09월_계_연령구간인구수,"246,231","7,874","3,146","1,599","7,320","2,998","12,223","1,123","8,343","3,646","1,101","3,193","1,398","6,383","9,587","27,463","7,275","26,576","20,589","35,968","34,730","23,696"
2020년09월_계_0~9세,"27,314",557,84,26,424,71,"1,511",39,531,196,27,83,59,429,570,"4,643",611,"2,604","1,617","3,647","6,006","3,579"
2020년09월_계_10~19세,"27,960",641,128,63,599,163,"1,115",56,687,275,26,117,72,669,977,"3,363",642,"3,092","2,282","4,366","4,908","3,719"
2020년09월_계_20~29세,"24,410",678,244,84,565,229,955,70,788,301,56,223,73,679,"1,034","2,431",840,"2,922","2,828","4,142","3,034","2,234"
2020년09월_계_30~39세,"37,598",840,222,87,644,154,"1,882",79,922,330,67,186,104,711,977,"6,172","1,088","3,767","3,393","5,281","6,915","3,777"
2020년09월_계_40~49세,"47,575","1,239",367,158,993,320,"2,202",115,"1,430",476,113,386,172,"1,232","1,665","5,948","1,340","4,996","4,436","7,067","7,484","5,436"
2020년09월_계_50~59세,"38,953","1,602",637,339,"1,311",598,"1,898",241,"1,698",668,209,614,254,"1,259","1,971","2,893","1,336","4,826","3,712","6,018","3,918","2,951"
2020년09월_계_60~69세,"25,955","1,326",701,390,"1,366",708,"1,443",284,"1,281",705,265,684,312,858,"1,565","1,411",997,"3,168","1,700","3,804","1,659","1,328"
2020년09월_계_70~79세,"10,730",618,483,279,814,465,810,164,608,415,203,523,214,361,588,402,300,849,444,"1,170",576,444
2020년09월_계_80~89세,"4,902",328,249,154,493,249,353,64,344,235,111,330,116,159,207,167,107,304,146,405,187,194
2020년09월_계_90~99세,789,41,30,19,101,39,50,11,53,44,24,46,21,18,29,33,14,46,30,66,42,32
2020년09월_계_100세 이상,45,4,1,0,10,2,4,0,1,1,0,1,1,8,4,0,0,2,1,2,1,2
2020년09월_남_총인구수,"129,325","4,000","1,620",809,"3,603","1,546","6,365",575,"4,575","1,892",554,"1,611",702,"3,527","5,194","14,766","3,949","13,870","11,788","18,550","17,677","12,152"
2020년09월_남_연령구간인구수,"129,325","4,000","1,620",809,"3,603","1,546","6,365",575,"4,575","1,892",554,"1,611",702,"3,527","5,194","14,766","3,949","13,870","11,788","18,550","17,677","12,152"
2020년09월_남_0~9세,"14,119",276,49,13,228,38,771,24,288,98,15,48,32,228,301,"2,395",323,"1,336",840,"1,906","3,029","1,881"
2020년09월_남_10~19세,"14,729",335,69,35,298,93,566,32,367,152,14,73,36,346,544,"1,744",351,"1,683","1,199","2,285","2,538","1,969"
2020년09월_남_20~29세,"13,738",384,136,50,314,150,539,40,462,160,29,124,42,396,578,"1,394",520,"1,590","1,710","2,278","1,595","1,247"
2020년09월_남_30~39세,"19,932",429,134,55,339,89,952,52,531,187,39,108,55,436,556,"3,291",612,"1,999","2,158","2,775","3,364","1,771"
2020년09월_남_40~49세,"25,961",664,217,95,542,189,"1,241",64,847,294,74,249,106,746,943,"3,363",771,"2,651","2,669","3,646","3,899","2,691"
2020년09월_남_50~59세,"20,713",842,343,198,665,307,"1,044",124,969,355,119,333,134,715,"1,062","1,600",675,"2,398","2,060","3,074","2,076","1,620"
2020년09월_남_60~69세,"13,482",683,348,205,689,375,741,158,694,357,140,345,166,455,847,753,514,"1,704",885,"1,887",846,690
2020년09월_남_70~79세,"5,040",283,231,108,370,220,395,63,297,204,91,229,91,158,288,182,155,414,227,562,259,213
2020년09월_남_80~89세,"1,481",96,89,47,144,78,104,15,110,81,31,97,37,42,68,39,27,91,35,121,65,64
2020년09월_남_90~99세,122,6,3,3,12,7,12,3,10,4,2,5,3,5,5,5,1,4,5,15,6,6
2020년09월_남_100세 이상,8,2,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
2020년09월_여_총인구수,"116,906","3,874","1,526",790,"3,717","1,452","5,858",548,"3,768","1,754",547,"1,582",696,"2,856","4,393","12,697","3,326","12,706","8,801","17,418","17,053","11,544"
2020년09월_여_연령구간인구수,"116,906","3,874","1,526",790,"3,717","1,452","5,858",548,"3,768","1,754",547,"1,582",696,"2,856","4,393","12,697","3,326","12,706","8,801","17,418","17,053","11,544"
2020년09월_여_0~9세,"13,195",281,35,13,196,33,740,15,243,98,12,35,27,201,269,"2,248",288,"1,268",777,"1,741","2,977","1,698"
2020년09월_여_10~19세,"13,231",306,59,28,301,70,549,24,320,123,12,44,36,323,433,"1,619",291,"1,409","1,083","2,081","2,370","1,750"
2020년09월_여_20~29세,"10,672",294,108,34,251,79,416,30,326,141,27,99,31,283,456,"1,037",320,"1,332","1,118","1,864","1,439",987
2020년09월_여_30~39세,"17,666",411,88,32,305,65,930,27,391,143,28,78,49,275,421,"2,881",476,"1,768","1,235","2,506","3,551","2,006"
2020년09월_여_40~49세,"21,614",575,150,63,451,131,961,51,583,182,39,137,66,486,722,"2,585",569,"2,345","1,767","3,421","3,585","2,745"
2020년09월_여_50~59세,"18,240",760,294,141,646,291,854,117,729,313,90,281,120,544,909,"1,293",661,"2,428","1,652","2,944","1,842","1,331"
2020년09월_여_60~69세,"12,473",643,353,185,677,333,702,126,587,348,125,339,146,403,718,658,483,"1,464",815,"1,917",813,638
2020년09월_여_70~79세,"5,690",335,252,171,444,245,415,101,311,211,112,294,123,203,300,220,145,435,217,608,317,231
2020년09월_여_80~89세,"3,421",232,160,107,349,171,249,49,234,154,80,233,79,117,139,128,80,213,111,284,122,130
2020년09월_여_90~99세,667,35,27,16,89,32,38,8,43,40,22,41,18,13,24,28,13,42,25,51,36,26
2020년09월_여_100세 이상,37,2,0,0,8,2,4,0,1,1,0,1,1,8,2,0,0,2,1,1,1,2
