카테고리,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2021년07월_계_총인구수,"539,477","55,691","18,185","6,439","7,430","3,800","3,132","5,830","9,735","9,067","9,855","73,606","80,289","9,551","40,176","32,943","7,593","57,033","36,318","72,804"
2021년07월_계_연령구간인구수,"539,477","55,691","18,185","6,439","7,430","3,800","3,132","5,830","9,735","9,067","9,855","73,606","80,289","9,551","40,176","32,943","7,593","57,033","36,318","72,804"
2021년07월_계_0~9세,"47,144","6,255","2,793",203,180,80,75,138,554,591,567,"4,578","7,051",534,"2,436","1,471",481,"5,164","3,448","10,545"
2021년07월_계_10~19세,"60,454","6,163","1,265",311,326,120,137,210,657,540,631,"7,367","10,316",727,"3,781","2,960",728,"8,004","5,109","11,102"
2021년07월_계_20~29세,"68,134","5,314","2,049",575,591,295,261,377,"1,305","1,016","1,365","12,227","10,817","1,211","5,974","5,645","1,003","7,050","4,366","6,693"
2021년07월_계_30~39세,"67,350","8,429","3,938",508,555,252,217,373,"1,197","1,193","1,183","8,428","9,300",958,"4,270","2,907",753,"6,834","4,376","11,679"
2021년07월_계_40~49세,"96,996","10,910","2,997",773,697,345,315,536,"1,346","1,185","1,375","11,470","15,094","1,328","6,208","4,775","1,193","11,867","7,715","16,867"
2021년07월_계_50~59세,"97,598","8,356","2,724","1,406","1,523",796,709,"1,036","1,943","1,653","2,086","16,230","15,046","1,970","8,644","7,379","1,555","9,663","6,228","8,651"
2021년07월_계_60~69세,"61,716","6,233","1,606","1,440","1,864",995,834,"1,685","1,671","1,617","1,614","8,359","7,940","1,698","5,569","4,854","1,164","4,953","3,046","4,574"
2021년07월_계_70~79세,"26,694","2,651",508,745,"1,020",579,379,948,719,865,721,"3,195","3,183",759,"2,279","1,943",496,"2,359","1,409","1,936"
2021년07월_계_80~89세,"11,880","1,213",272,404,597,306,169,451,303,353,287,"1,580","1,367",333,917,912,192,"1,017",539,668
2021년07월_계_90~99세,"1,460",164,33,73,76,32,33,75,39,48,25,163,168,32,98,95,23,115,81,87
2021년07월_계_100세 이상,51,3,0,1,1,0,3,1,1,6,1,9,7,1,0,2,5,7,1,2
2021년07월_남_총인구수,"272,845","28,690","9,296","3,526","4,054","2,028","1,721","3,030","4,972","4,537","5,057","36,690","40,201","5,055","20,446","16,868","3,857","28,399","18,281","36,137"
