,경기도 수원시,경기도 수원시 장안구,경기도 수원시 장안구 파장동,경기도 수원시 장안구 율천동,경기도 수원시 장안구 정자1동,경기도 수원시 장안구 정자2동,경기도 수원시 장안구 정자3동,경기도 수원시 장안구 영화동,경기도 수원시 장안구 송죽동,경기도 수원시 장안구 조원1동,경기도 수원시 장안구 조원2동,경기도 수원시 장안구 연무동,경기도 수원시 권선구,경기도 수원시 권선구 세류1동,경기도 수원시 권선구 세류2동,경기도 수원시 권선구 세류3동,경기도 수원시 권선구 평동,경기도 수원시 권선구 서둔동,경기도 수원시 권선구 구운동,경기도 수원시 권선구 금곡동,경기도 수원시 권선구 호매실동,경기도 수원시 권선구 권선1동,경기도 수원시 권선구 권선2동,경기도 수원시 권선구 곡선동,경기도 수원시 권선구 입북동,경기도 수원시 팔달구,경기도 수원시 팔달구 매교동,경기도 수원시 팔달구 매산동,경기도 수원시 팔달구 고등동,경기도 수원시 팔달구 화서1동,경기도 수원시 팔달구 화서2동,경기도 수원시 팔달구 지동,경기도 수원시 팔달구 우만1동,경기도 수원시 팔달구 우만2동,경기도 수원시 팔달구 인계동,경기도 수원시 팔달구 행궁동,경기도 수원시 영통구,경기도 수원시 영통구 매탄1동,경기도 수원시 영통구 매탄2동,경기도 수원시 영통구 매탄3동,경기도 수원시 영통구 매탄4동,경기도 수원시 영통구 원천동,경기도 수원시 영통구 영통1동,경기도 수원시 영통구 영통2동,경기도 수원시 영통구 영통3동,경기도 수원시 영통구 망포1동,경기도 수원시 영통구 망포2동,경기도 수원시 영통구 광교1동,경기도 수원시 영통구 광교2동
2020년07월_계_총인구수,"1,191,244","275,479","23,743","43,138","30,036","30,331","43,195","20,324","19,878","29,113","19,297","16,424","370,548","10,548","23,759","19,632","41,112","38,478","25,042","45,935","46,470","24,882","49,990","27,708","16,992","175,247","5,971","10,779","9,136","23,354","27,010","11,501","20,819","17,386","38,294","10,997","369,970","18,668","15,347","36,492","22,266","39,262","36,340","27,057","32,994","31,786","28,454","53,150","28,154"
2020년07월_계_연령구간인구수,"1,191,244","275,479","23,743","43,138","30,036","30,331","43,195","20,324","19,878","29,113","19,297","16,424","370,548","10,548","23,759","19,632","41,112","38,478","25,042","45,935","46,470","24,882","49,990","27,708","16,992","175,247","5,971","10,779","9,136","23,354","27,010","11,501","20,819","17,386","38,294","10,997","369,970","18,668","15,347","36,492","22,266","39,262","36,340","27,057","32,994","31,786","28,454","53,150","28,154"
2020년07월_계_0~9세,"100,439","19,034","1,425","3,204","2,603","2,069","3,819",883,"1,196","1,590","1,510",735,"33,584",924,"1,147","1,011","3,207","2,539","1,504","5,133","7,267","1,381","5,914","1,774","1,783","9,850",242,442,369,"1,565","2,077",460,959,"1,247","2,211",278,"37,971","1,243",993,"3,018","1,472","4,656","3,773","2,706","2,772","3,607","4,426","5,833","3,472"
2020년07월_계_10~19세,"120,161","29,186","1,923","4,163","3,602","3,253","7,088","1,245","1,793","2,902","2,110","1,107","33,878",622,"1,657","1,600","3,684","3,272","2,128","5,008","4,469","1,760","5,466","2,347","1,865","14,241",322,494,599,"2,246","3,095",751,"1,511","1,894","2,843",486,"42,856","1,992","1,567","4,531","2,368","3,519","5,020","2,219","4,403","4,157","3,235","6,922","2,923"
2020년07월_계_20~29세,"187,083","44,152","3,426","10,080","4,194","4,380","6,268","2,713","3,078","4,419","3,016","2,578","54,952","1,543","3,594","2,809","6,364","5,922","3,992","6,245","5,160","4,981","6,956","5,320","2,066","28,689",914,"1,948","1,121","3,188","4,174","1,354","3,266","3,639","7,566","1,519","59,290","3,183","2,521","6,525","3,778","6,620","4,983","5,845","6,375","4,583","3,469","8,339","3,069"
2020년07월_계_30~39세,"181,719","33,316","2,976","5,869","3,562","3,780","4,536","2,516","2,747","3,357","2,117","1,856","59,475","1,738","3,561","2,663","5,833","5,464","3,335","6,869","9,585","4,462","8,163","5,483","2,319","24,797",885,"1,679","1,092","2,725","3,509","1,250","2,989","2,263","7,093","1,312","64,131","2,514","2,007","5,583","3,237","7,786","5,656","6,852","4,517","5,061","5,989","9,594","5,335"
2020년07월_계_40~49세,"204,528","46,291","3,783","6,630","5,519","5,147","9,274","3,012","3,136","4,603","2,949","2,238","61,795","1,484","3,740","3,157","6,245","6,116","3,810","8,139","8,164","3,729","8,948","4,992","3,271","27,693",874,"1,459","1,356","3,915","4,617","1,708","3,118","2,778","6,350","1,518","68,749","3,136","2,507","6,879","3,836","7,176","7,253","4,287","6,236","5,949","5,406","10,783","5,301"
2020년07월_계_50~59세,"196,537","49,361","4,433","6,827","5,311","5,468","7,385","3,998","3,695","5,517","3,857","2,870","62,490","1,909","4,334","3,477","7,662","6,856","4,915","7,633","5,970","4,263","8,063","4,597","2,811","30,720","1,118","1,986","1,775","4,152","5,144","2,149","3,784","2,735","5,670","2,207","53,966","3,302","2,798","5,521","3,800","4,719","5,683","3,065","5,311","5,145","3,636","7,038","3,948"
2020년07월_계_60~69세,"116,194","29,863","3,269","3,617","2,937","3,281","2,707","3,408","2,436","3,640","1,972","2,596","38,505","1,318","3,306","2,794","4,822","4,888","3,166","3,994","3,574","2,699","4,243","1,966","1,735","21,837",872,"1,567","1,475","3,064","2,505","2,028","2,840","1,649","3,876","1,961","25,989","2,013","1,718","2,653","2,256","2,880","2,326","1,171","2,048","2,083","1,470","2,901","2,470"
2020년07월_계_70~79세,"56,025","15,635","1,661","1,724","1,471","1,965","1,328","1,758","1,187","1,984","1,012","1,545","17,295",667,"1,646","1,483","2,178","2,375","1,438","1,895","1,550","1,068","1,475",751,769,"11,842",512,818,948,"1,746","1,219","1,224","1,642",787,"1,794","1,152","11,253",895,824,"1,172",985,"1,288","1,048",594,798,817,528,"1,181","1,123"
