,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2021년12월_계_총인구수,"62,547","18,163","19,042","2,389","6,064","2,806","3,345","5,260","1,896","2,681",901
2021년12월_계_연령구간인구수,"62,547","18,163","19,042","2,389","6,064","2,806","3,345","5,260","1,896","2,681",901
2021년12월_계_0~9세,"3,586","1,136","1,679",57,274,62,48,239,18,58,15
2021년12월_계_10~19세,"5,756","1,919","2,647",103,286,71,130,412,61,104,23
2021년12월_계_20~29세,"5,058","1,916","1,509",128,443,150,185,408,93,181,45
2021년12월_계_30~39세,"5,011","1,688","1,756",147,501,133,139,372,79,153,43
2021년12월_계_40~49세,"8,880","2,713","3,676",204,555,248,275,732,156,257,64
2021년12월_계_50~59세,"11,003","3,358","3,173",403,963,517,546,"1,053",325,513,152
2021년12월_계_60~69세,"11,710","2,930","2,641",614,"1,379",758,835,"1,006",525,744,278
2021년12월_계_70~79세,"6,646","1,478","1,257",389,872,482,647,622,360,377,162
2021년12월_계_80~89세,"4,266",888,603,304,698,337,463,363,257,253,100
2021년12월_계_90~99세,623,134,97,40,93,48,77,52,22,41,19
2021년12월_계_100세 이상,8,3,4,0,0,0,0,1,0,0,0
2021년12월_남_총인구수,"31,816","9,146","9,658","1,209","3,162","1,440","1,670","2,752",975,"1,343",461
2021년12월_남_연령구간인구수,"31,816","9,146","9,658","1,209","3,162","1,440","1,670","2,752",975,"1,343",461
2021년12월_남_0~9세,"1,818",597,829,27,134,34,27,126,8,29,7
2021년12월_남_10~19세,"3,055","1,041","1,374",54,156,41,75,213,30,56,15
2021년12월_남_20~29세,"2,992","1,126",843,80,298,96,111,237,57,119,25
2021년12월_남_30~39세,"2,568",858,826,78,290,82,81,206,46,79,22
2021년12월_남_40~49세,"4,780","1,393","1,854",120,351,167,175,422,100,154,44
2021년12월_남_50~59세,"6,061","1,765","1,755",225,569,312,315,594,190,252,84
2021년12월_남_60~69세,"6,140","1,449","1,370",333,749,396,447,557,290,396,153
2021년12월_남_70~79세,"2,996",626,596,182,394,203,282,284,160,187,82
2021년12월_남_80~89세,"1,290",261,188,103,206,96,144,107,90,67,28
2021년12월_남_90~99세,115,30,22,7,15,13,13,6,4,4,1
2021년12월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"30,731","9,017","9,384","1,180","2,902","1,366","1,675","2,508",921,"1,338",440
2021년12월_여_연령구간인구수,"30,731","9,017","9,384","1,180","2,902","1,366","1,675","2,508",921,"1,338",440
2021년12월_여_0~9세,"1,768",539,850,30,140,28,21,113,10,29,8
2021년12월_여_10~19세,"2,701",878,"1,273",49,130,30,55,199,31,48,8
2021년12월_여_20~29세,"2,066",790,666,48,145,54,74,171,36,62,20
2021년12월_여_30~39세,"2,443",830,930,69,211,51,58,166,33,74,21
2021년12월_여_40~49세,"4,100","1,320","1,822",84,204,81,100,310,56,103,20
2021년12월_여_50~59세,"4,942","1,593","1,418",178,394,205,231,459,135,261,68
2021년12월_여_60~69세,"5,570","1,481","1,271",281,630,362,388,449,235,348,125
2021년12월_여_70~79세,"3,650",852,661,207,478,279,365,338,200,190,80
2021년12월_여_80~89세,"2,976",627,415,201,492,241,319,256,167,186,72
2021년12월_여_90~99세,508,104,75,33,78,35,64,46,18,37,18
2021년12월_여_100세 이상,7,3,3,0,0,0,0,1,0,0,0
