카테고리,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2020년01월_계_총인구수,"92,171","13,717","26,435","7,229","4,513","14,639","6,279","5,875","4,761","1,930","1,982","2,749","1,083",979
2020년01월_계_연령구간인구수,"92,171","13,717","26,435","7,229","4,513","14,639","6,279","5,875","4,761","1,930","1,982","2,749","1,083",979
2020년01월_계_0~9세,"7,533",735,"3,242",436,343,"1,798",262,215,237,68,59,73,40,25
2020년01월_계_10~19세,"8,474","1,241","3,408",546,394,"1,363",354,398,289,117,70,210,46,38
2020년01월_계_20~29세,"9,013","1,517","2,647",740,408,"1,474",594,583,428,138,114,226,90,54
2020년01월_계_30~39세,"10,109","1,144","3,776",632,414,"2,450",476,395,374,117,89,136,52,54
2020년01월_계_40~49세,"13,613","2,020","4,682",996,676,"2,495",640,630,568,204,201,318,102,81
2020년01월_계_50~59세,"15,503","2,399","3,645","1,334",797,"2,226","1,286","1,242",882,344,406,495,261,186
2020년01월_계_60~69세,"13,095","2,165","2,436","1,210",701,"1,466","1,296","1,166",842,375,438,534,246,220
2020년01월_계_70~79세,"8,927","1,470","1,604",817,507,875,819,736,668,313,364,416,148,190
2020년01월_계_80~89세,"5,136",899,861,451,224,442,491,434,417,206,214,289,87,121
2020년01월_계_90~99세,731,121,129,60,44,49,57,71,56,46,27,51,11,9
2020년01월_계_100세 이상,37,6,5,7,5,1,4,5,0,2,0,1,0,1
2020년01월_남_총인구수,"47,293","7,006","13,727","3,759","2,300","7,372","3,244","2,964","2,449",984,986,"1,451",561,490
2020년01월_남_연령구간인구수,"47,293","7,006","13,727","3,759","2,300","7,372","3,244","2,964","2,449",984,986,"1,451",561,490
2020년01월_남_0~9세,"3,817",361,"1,667",210,183,911,127,99,125,38,25,38,23,10
2020년01월_남_10~19세,"4,440",633,"1,790",305,195,682,204,205,172,58,44,110,22,20
2020년01월_남_20~29세,"4,974",856,"1,510",433,233,724,319,299,249,75,62,130,49,35
2020년01월_남_30~39세,"5,162",632,"1,859",330,208,"1,203",269,197,206,63,60,77,29,29
2020년01월_남_40~49세,"7,589","1,107","2,593",570,353,"1,359",371,350,333,121,121,197,61,53
2020년01월_남_50~59세,"8,623","1,359","2,049",765,450,"1,170",697,675,493,198,217,309,138,103
2020년01월_남_60~69세,"6,768","1,087","1,231",607,347,764,685,639,434,201,231,285,144,113
2020년01월_남_70~79세,"4,032",637,722,362,251,397,392,343,290,155,152,187,66,78
2020년01월_남_80~89세,"1,727",307,278,156,74,148,169,141,138,64,69,109,27,47
2020년01월_남_90~99세,154,26,27,20,6,14,9,16,9,9,5,9,2,2
2020년01월_남_100세 이상,7,1,1,1,0,0,2,0,0,2,0,0,0,0
2020년01월_여_총인구수,"44,878","6,711","12,708","3,470","2,213","7,267","3,035","2,911","2,312",946,996,"1,298",522,489
2020년01월_여_연령구간인구수,"44,878","6,711","12,708","3,470","2,213","7,267","3,035","2,911","2,312",946,996,"1,298",522,489
2020년01월_여_0~9세,"3,716",374,"1,575",226,160,887,135,116,112,30,34,35,17,15
2020년01월_여_10~19세,"4,034",608,"1,618",241,199,681,150,193,117,59,26,100,24,18
2020년01월_여_20~29세,"4,039",661,"1,137",307,175,750,275,284,179,63,52,96,41,19
2020년01월_여_30~39세,"4,947",512,"1,917",302,206,"1,247",207,198,168,54,29,59,23,25
2020년01월_여_40~49세,"6,024",913,"2,089",426,323,"1,136",269,280,235,83,80,121,41,28
2020년01월_여_50~59세,"6,880","1,040","1,596",569,347,"1,056",589,567,389,146,189,186,123,83
2020년01월_여_60~69세,"6,327","1,078","1,205",603,354,702,611,527,408,174,207,249,102,107
2020년01월_여_70~79세,"4,895",833,882,455,256,478,427,393,378,158,212,229,82,112
2020년01월_여_80~89세,"3,409",592,583,295,150,294,322,293,279,142,145,180,60,74
2020년01월_여_90~99세,577,95,102,40,38,35,48,55,47,37,22,42,9,7
2020년01월_여_100세 이상,30,5,4,6,5,1,2,5,0,0,0,1,0,1
