,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2020년11월_남_10~19세,"62,953","13,627","2,058","1,233",926,918,287,356,"1,549","1,139","2,275","2,254",632,"26,176","1,866","1,842",657,"1,734",644,"2,238","1,136","1,229","2,505","1,597","2,923","2,436","1,522","1,476","2,371","23,150","1,911","2,973","2,724","3,600",830,"2,760","3,134","2,194","3,024"
2020년11월_남_20~29세,"71,407","18,850","2,699","1,856","1,222","1,021",420,536,"1,438","2,282","3,700","2,624","1,052","29,319","2,577","2,003","1,301","3,276","1,038","2,065","1,342","2,933","2,245","2,104","1,772","1,610","1,084","1,774","2,195","23,238","2,808","2,420","2,108","3,897","1,384","2,798","3,081","1,937","2,805"
2020년11월_남_30~39세,"71,908","17,954","2,149","1,597","1,296","2,081",418,433,"1,343","1,715","3,789","2,330",803,"29,232","3,240","2,326","1,657","3,969","1,029","1,931","1,373","2,279","2,060","2,010","1,532","1,047","1,475","1,366","1,938","24,722","3,287","2,933","1,881","3,315","1,664","3,738","3,257","2,057","2,590"
2020년11월_남_40~49세,"98,898","22,884","3,103","2,399","1,812","2,252",603,612,"1,688","2,023","3,946","3,424","1,022","41,213","3,353","2,987","1,396","3,640","1,260","3,273","1,915","2,266","3,765","2,635","3,777","2,902","2,431","2,151","3,462","34,801","2,966","4,416","3,698","5,229","1,502","4,731","4,458","3,150","4,651"
2020년11월_남_50~59세,"83,773","22,350","3,103","2,530","1,929","1,547",857,895,"1,763","2,110","3,120","3,179","1,317","33,537","3,173","2,393","1,314","3,294","1,225","2,611","1,685","1,549","2,845","2,478","2,402","2,281","1,352","2,193","2,742","27,886","2,736","3,063","2,964","4,298","1,414","3,547","3,562","2,525","3,777"
2020년11월_남_60~69세,"50,392","15,651","1,847","1,852","1,431","1,383",850,980,"1,365","1,436","1,851","1,641","1,015","19,161","1,918","1,208",797,"1,702",614,"1,561","1,253",895,"1,899","1,739",912,925,847,"1,262","1,629","15,580","1,686","1,170","1,586","2,360",831,"2,222","1,894","1,371","2,460"
2020년11월_남_70~79세,"29,901","7,392",821,885,666,758,481,448,578,644,871,793,447,"11,842","1,041",531,364,880,396,"1,015",681,359,"1,388","1,273",582,550,777,682,"1,323","10,667","1,036",683,"1,264","1,468",486,"1,223","1,284","1,141","2,082"
2020년11월_남_80~89세,"11,438","2,671",326,315,246,225,169,227,204,246,287,290,136,"4,640",439,145,220,257,179,370,244,121,597,525,246,212,349,236,500,"4,127",405,378,503,647,188,375,499,425,707
2020년11월_남_90~99세,"1,110",264,24,23,21,28,18,23,27,24,28,27,21,465,42,13,57,24,11,40,13,9,44,57,29,21,34,23,48,381,38,35,37,61,28,39,37,45,61
2020년11월_남_100세 이상,37,13,0,2,1,0,0,1,1,5,3,0,0,17,3,0,1,1,1,2,0,1,1,3,0,2,2,0,0,7,2,2,0,0,0,0,1,0,2
2020년11월_여_총인구수,"541,302","125,563","16,089","12,404","9,877","11,655","3,941","3,979","9,103","12,133","22,278","17,773","6,331","223,070","19,467","15,435","8,903","21,105","6,500","16,959","10,790","12,576","20,336","16,554","17,118","13,888","12,077","12,746","18,616","192,669","18,433","21,265","19,632","29,456","9,398","25,125","25,145","17,468","26,747"
2020년11월_여_연령구간인구수,"541,302","125,563","16,089","12,404","9,877","11,655","3,941","3,979","9,103","12,133","22,278","17,773","6,331","223,070","19,467","15,435","8,903","21,105","6,500","16,959","10,790","12,576","20,336","16,554","17,118","13,888","12,077","12,746","18,616","192,669","18,433","21,265","19,632","29,456","9,398","25,125","25,145","17,468","26,747"
2020년11월_여_0~9세,"49,430","10,411","1,141",923,789,"1,593",161,105,623,796,"2,383","1,564",333,"20,915","1,688","1,740",936,"2,121",451,"1,474",920,"1,601","1,623","1,296","1,780","1,282","1,440",946,"1,617","18,104","1,340","2,325","1,763","2,555",728,"2,784","2,437","1,644","2,528"
2020년11월_여_10~19세,"59,345","12,216","1,812","1,121",853,947,279,299,"1,035","1,066","2,163","2,111",530,"24,745","1,757","1,705",634,"1,662",650,"2,105","1,023","1,217","2,371","1,517","2,817","2,281","1,454","1,360","2,192","22,384","1,808","2,839","2,586","3,528",786,"2,601","3,055","2,036","3,145"
2020년11월_여_20~29세,"66,225","15,752","2,078","1,468",919,916,333,338,"1,052","2,087","3,481","2,257",823,"27,290","2,570","1,814","1,181","3,435",921,"1,983","1,185","2,045","2,055","1,994","1,750","1,533","1,131","1,663","2,030","23,183","2,630","2,503","1,976","3,944","1,387","2,787","3,247","1,946","2,763"
2020년11월_여_30~39세,"73,826","15,981","1,804","1,442","1,075","2,124",306,292,"1,021","1,421","3,651","2,225",620,"30,545","2,982","2,420","1,593","3,915",858,"2,028","1,404","2,287","2,221","2,104","1,916","1,396","1,700","1,459","2,262","27,300","2,931","3,328","2,233","3,753","1,631","4,250","3,589","2,284","3,301"
2020년11월_여_40~49세,"101,208","20,595","2,891","2,046","1,508","1,841",465,396,"1,417","1,840","3,830","3,383",978,"42,774","3,312","3,051","1,374","3,443","1,165","3,277","1,879","2,161","4,025","2,787","4,157","3,395","2,505","2,362","3,881","37,839","3,133","4,652","4,308","5,695","1,549","4,884","4,924","3,434","5,260"
2020년11월_여_50~59세,"80,946","20,861","2,753","2,117","1,770","1,558",763,725,"1,622","2,098","3,245","2,924","1,286","32,962","3,065","2,375","1,455","3,249","1,037","2,550","1,817","1,634","2,961","2,598","2,184","1,945","1,323","2,194","2,575","27,123","2,686","2,684","2,743","4,390","1,479","3,451","3,469","2,513","3,708"
2020년11월_여_60~69세,"55,314","15,480","1,822","1,738","1,511","1,463",793,827,"1,229","1,497","1,937","1,696",967,"21,844","2,023","1,342",869,"1,817",646,"1,768","1,407",928,"2,398","1,989","1,186","1,022","1,158","1,421","1,870","17,990","1,934","1,256","1,864","2,715",929,"2,392","2,196","1,677","3,027"
2020년11월_여_70~79세,"35,667","8,594","1,091",975,831,738,465,498,606,820,"1,018","1,032",520,"14,402","1,357",619,388,978,505,"1,194",754,457,"1,806","1,531",897,654,921,859,"1,482","12,671","1,288","1,066","1,522","1,875",565,"1,356","1,512","1,336","2,151"
2020년11월_여_80~89세,"16,119","4,699",600,467,498,390,315,423,402,421,468,494,221,"6,341",610,302,369,396,231,489,324,212,715,626,369,315,393,403,587,"5,079",583,536,538,857,281,496,583,499,706
2020년11월_여_90~99세,"3,057",909,97,101,115,79,57,71,86,79,95,83,46,"1,198",96,64,103,83,35,85,74,33,156,108,60,63,52,73,113,950,91,73,97,137,61,119,125,95,152
2020년11월_여_100세 이상,165,65,0,6,8,6,4,5,10,8,7,4,7,54,7,3,1,6,1,6,3,1,5,4,2,2,0,6,7,46,9,3,2,7,2,5,8,4,6
