,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 덕양구 주교동,경기도 고양시 덕양구 원신동,경기도 고양시 덕양구 흥도동,경기도 고양시 덕양구 성사1동,경기도 고양시 덕양구 성사2동,경기도 고양시 덕양구 효자동,경기도 고양시 덕양구 삼송동,경기도 고양시 덕양구 창릉동,경기도 고양시 덕양구 고양동,경기도 고양시 덕양구 관산동,경기도 고양시 덕양구 능곡동,경기도 고양시 덕양구 화정1동,경기도 고양시 덕양구 화정2동,경기도 고양시 덕양구 행주동,경기도 고양시 덕양구 행신1동,경기도 고양시 덕양구 행신2동,경기도 고양시 덕양구 행신3동,경기도 고양시 덕양구 화전동,경기도 고양시 덕양구 대덕동,경기도 고양시 일산동구,경기도 고양시 일산동구 식사동,경기도 고양시 일산동구 중산동,경기도 고양시 일산동구 정발산동,경기도 고양시 일산동구 풍산동,경기도 고양시 일산동구 백석1동,경기도 고양시 일산동구 백석2동,경기도 고양시 일산동구 마두1동,경기도 고양시 일산동구 마두2동,경기도 고양시 일산동구 장항1동,경기도 고양시 일산동구 장항2동,경기도 고양시 일산동구 고봉동,경기도 고양시 일산서구,경기도 고양시 일산서구 일산1동,경기도 고양시 일산서구 일산2동,경기도 고양시 일산서구 일산3동,경기도 고양시 일산서구 탄현동,경기도 고양시 일산서구 주엽1동,경기도 고양시 일산서구 주엽2동,경기도 고양시 일산서구 대화동,경기도 고양시 일산서구 송포동,경기도 고양시 일산서구 송산동
2020년08월_계_총인구수,"1,076,406","473,689","15,266","23,844","45,203","21,917","11,539","11,259","22,270","20,508","30,631","36,625","15,794","38,432","33,637","19,356","22,344","32,768","46,360","23,384","2,552","299,138","34,560","47,665","23,935","39,359","31,059","20,959","24,649","16,729","10,706","26,636","22,881","303,579","27,926","18,853","36,300","52,499","28,239","29,542","36,337","21,814","52,069"
2020년08월_계_연령구간인구수,"1,076,406","473,689","15,266","23,844","45,203","21,917","11,539","11,259","22,270","20,508","30,631","36,625","15,794","38,432","33,637","19,356","22,344","32,768","46,360","23,384","2,552","299,138","34,560","47,665","23,935","39,359","31,059","20,959","24,649","16,729","10,706","26,636","22,881","303,579","27,926","18,853","36,300","52,499","28,239","29,542","36,337","21,814","52,069"
2020년08월_계_0~9세,"83,365","38,824",598,"3,215","5,578","1,350",671,"1,534","2,228","2,519","2,342","2,201",936,"2,120","2,782",752,"1,495","2,369","2,870","3,182",82,"21,202","3,378","3,524","1,282","3,314","2,133",942,"1,475","1,247","1,359","1,140","1,408","23,339","2,095",976,"2,672","4,779","1,981","2,056","2,328","1,670","4,782"
2020년08월_계_10~19세,"106,177","41,773","1,266","1,910","3,852","1,921","1,097",788,"1,434","1,483","3,235","2,855","1,261","3,769","3,863","1,275","2,125","2,946","4,994","1,545",154,"30,011","4,671","4,605","2,181","4,602","2,861","1,371","3,353","2,238",943,"1,600","1,586","34,393","2,763","1,540","5,908","5,721","3,345","3,264","3,087","2,344","6,421"
2020년08월_계_20~29세,"150,724","62,750","2,165","2,317","5,103","2,983","1,447","1,496","2,692","2,349","3,564","4,365","2,151","6,301","4,656","2,914","3,168","5,061","7,004","2,588",426,"44,929","4,716","7,049","4,071","5,442","5,016","3,429","3,852","2,318","1,135","4,974","2,927","43,045","4,027","2,827","4,907","7,560","3,713","3,873","6,376","3,122","6,640"
2020년08월_계_30~39세,"142,424","67,123","1,524","4,172","7,868","2,536","1,302","2,389","4,253","4,550","3,427","4,191","1,809","4,294","4,339","2,306","2,762","4,969","5,174","4,995",263,"38,369","3,778","5,650","2,945","4,756","4,581","3,438","2,286","1,607","1,658","4,776","2,894","36,932","3,265","1,984","3,528","7,227","3,271","3,423","5,396","2,928","5,910"
2020년08월_계_40~49세,"183,665","78,761","2,253","4,273","8,366","3,575","1,801","1,824","3,584","3,556","5,374","5,765","2,343","6,101","6,389","2,857","3,660","5,122","7,706","3,900",312,"51,786","6,942","7,530","3,729","6,993","5,174","3,798","4,290","3,000","1,960","4,873","3,497","53,118","4,505","2,653","7,324","9,421","4,817","4,916","5,704","3,816","9,962"
2020년08월_계_50~59세,"193,998","82,366","3,209","3,302","6,348","4,244","2,107","1,533","3,239","2,581","5,047","6,950","3,195","7,624","5,759","4,109","4,263","6,029","9,264","3,088",475,"55,720","6,162","9,297","4,562","6,961","5,721","3,847","4,862","3,151","1,866","4,742","4,549","55,912","5,274","4,225","6,541","9,516","5,000","5,287","6,772","3,963","9,334"
2020년08월_계_60~69세,"117,199","55,091","2,311","2,746","4,527","2,843","1,570",934,"2,623","1,987","3,989","5,631","2,229","3,992","3,014","2,870","2,685","3,300","5,003","2,388",449,"31,648","2,813","5,452","2,895","4,081","3,225","2,225","2,500","1,530","1,141","2,389","3,397","30,460","3,149","2,630","3,076","4,415","2,974","3,106","3,732","2,223","5,155"
2020년08월_계_70~79세,"61,659","30,210","1,244","1,292","2,427","1,578",949,485,"1,515","1,024","2,447","3,104","1,208","2,574","1,711","1,436","1,376","1,846","2,627","1,104",263,"15,484","1,360","2,732","1,443","1,991","1,479","1,150","1,197",850,446,"1,236","1,600","15,965","1,827","1,247","1,358","2,325","1,748","1,985","1,862","1,098","2,515"
