카테고리,울산광역시 동구,울산광역시 동구 방어동,울산광역시 동구 일산동,울산광역시 동구 화정동,울산광역시 동구 대송동,울산광역시 동구 전하1동,울산광역시 동구 전하2동,울산광역시 동구 남목1동,울산광역시 동구 남목2동,울산광역시 동구 남목3동
2020년04월_계_총인구수,"158,323","40,538","5,858","20,350","11,968","15,054","21,146","9,038","21,997","12,374"
2020년04월_계_연령구간인구수,"158,323","40,538","5,858","20,350","11,968","15,054","21,146","9,038","21,997","12,374"
2020년04월_계_0~9세,"15,710","3,896",259,"2,340",979,"1,417","2,181",747,"2,537","1,354"
2020년04월_계_10~19세,"15,702","4,089",369,"1,936","1,202","1,381","2,335",940,"2,181","1,269"
2020년04월_계_20~29세,"18,116","4,697",730,"2,092","1,590","1,917","2,479",928,"2,481","1,202"
2020년04월_계_30~39세,"24,357","6,276",811,"3,223","1,619","2,315","2,869","1,211","4,086","1,947"
2020년04월_계_40~49세,"25,727","7,164",836,"3,251","1,979","2,278","3,449","1,416","3,366","1,988"
2020년04월_계_50~59세,"26,512","6,726","1,088","3,319","2,369","2,440","3,916","1,513","3,160","1,981"
2020년04월_계_60~69세,"21,594","5,055","1,134","2,688","1,556","2,135","2,707","1,500","3,077","1,742"
2020년04월_계_70~79세,"7,843","1,916",477,"1,065",471,910,877,591,887,649
2020년04월_계_80~89세,"2,381",605,137,388,179,223,280,165,190,214
2020년04월_계_90~99세,357,107,16,44,23,35,51,26,30,25
2020년04월_계_100세 이상,24,7,1,4,1,3,2,1,2,3
2020년04월_남_총인구수,"82,795","21,703","3,176","10,469","6,267","7,820","10,820","4,634","11,629","6,277"
2020년04월_남_연령구간인구수,"82,795","21,703","3,176","10,469","6,267","7,820","10,820","4,634","11,629","6,277"
2020년04월_남_0~9세,"8,081","2,003",142,"1,185",497,742,"1,093",383,"1,334",702
2020년04월_남_10~19세,"8,281","2,185",199,"1,027",644,751,"1,187",482,"1,174",632
2020년04월_남_20~29세,"10,199","2,669",421,"1,153",864,"1,003","1,395",554,"1,467",673
2020년04월_남_30~39세,"13,440","3,645",515,"1,672",915,"1,279","1,478",642,"2,258","1,036"
2020년04월_남_40~49세,"13,917","4,053",489,"1,756","1,039","1,226","1,766",760,"1,801","1,027"
2020년04월_남_50~59세,"13,059","3,451",553,"1,683","1,194","1,189","1,941",702,"1,429",917
2020년04월_남_60~69세,"11,037","2,588",557,"1,365",817,"1,044","1,395",754,"1,598",919
2020년04월_남_70~79세,"3,979",921,248,518,232,498,466,299,492,305
2020년04월_남_80~89세,753,181,48,103,64,78,94,56,69,60
2020년04월_남_90~99세,45,7,4,7,1,8,4,2,6,6
2020년04월_남_100세 이상,4,0,0,0,0,2,1,0,1,0
2020년04월_여_총인구수,"75,528","18,835","2,682","9,881","5,701","7,234","10,326","4,404","10,368","6,097"
2020년04월_여_연령구간인구수,"75,528","18,835","2,682","9,881","5,701","7,234","10,326","4,404","10,368","6,097"
2020년04월_여_0~9세,"7,629","1,893",117,"1,155",482,675,"1,088",364,"1,203",652
2020년04월_여_10~19세,"7,421","1,904",170,909,558,630,"1,148",458,"1,007",637
2020년04월_여_20~29세,"7,917","2,028",309,939,726,914,"1,084",374,"1,014",529
2020년04월_여_30~39세,"10,917","2,631",296,"1,551",704,"1,036","1,391",569,"1,828",911
2020년04월_여_40~49세,"11,810","3,111",347,"1,495",940,"1,052","1,683",656,"1,565",961
2020년04월_여_50~59세,"13,453","3,275",535,"1,636","1,175","1,251","1,975",811,"1,731","1,064"
2020년04월_여_60~69세,"10,557","2,467",577,"1,323",739,"1,091","1,312",746,"1,479",823
2020년04월_여_70~79세,"3,864",995,229,547,239,412,411,292,395,344
2020년04월_여_80~89세,"1,628",424,89,285,115,145,186,109,121,154
2020년04월_여_90~99세,312,100,12,37,22,27,47,24,24,19
2020년04월_여_100세 이상,20,7,1,4,1,1,1,1,1,3
