카테고리,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2021년04월_계_총인구수,"228,755","17,332","9,833","7,549","19,676","16,042","14,100","10,258","12,187","21,705","27,705","8,494","6,824","9,190","20,738","13,115","14,007"
2021년04월_계_연령구간인구수,"228,755","17,332","9,833","7,549","19,676","16,042","14,100","10,258","12,187","21,705","27,705","8,494","6,824","9,190","20,738","13,115","14,007"
2021년04월_계_0~9세,"13,270",939,340,175,664,"1,296",906,768,735,"1,186","2,707",537,235,423,"1,147",773,439
2021년04월_계_10~19세,"15,290","1,237",511,256,"1,137",867,"1,222",740,794,"1,006","2,866",516,267,473,"1,175","1,457",766
2021년04월_계_20~29세,"33,752","2,569","1,548",955,"4,239","2,476","1,897","1,593","1,844","3,628","2,918",907,"1,083","1,402","2,708","1,795","2,190"
2021년04월_계_30~39세,"38,345","2,787","1,717","1,058","3,146","3,665","2,106","1,873","2,003","4,649","3,568","1,427","1,138","1,678","3,902","1,496","2,132"
2021년04월_계_40~49세,"35,259","2,729","1,364","1,072","2,689","2,626","2,267","1,562","1,812","2,915","4,866","1,230",879,"1,416","3,357","2,422","2,053"
2021년04월_계_50~59세,"36,771","2,799","1,445","1,620","3,091","2,213","2,317","1,604","1,972","3,497","4,559","1,369","1,095","1,274","3,220","2,232","2,464"
2021년04월_계_60~69세,"29,073","2,244","1,456","1,373","2,402","1,648","1,748","1,074","1,557","2,611","3,032","1,350","1,075","1,203","2,779","1,458","2,063"
2021년04월_계_70~79세,"16,811","1,307",932,670,"1,505",820,"1,020",651,984,"1,401","1,764",732,612,819,"1,572",785,"1,237"
2021년04월_계_80~89세,"8,630",594,441,295,703,358,549,336,410,694,"1,202",366,357,428,718,601,578
2021년04월_계_90~99세,"1,440",109,77,56,97,63,64,54,68,112,217,56,76,72,145,93,81
2021년04월_계_100세 이상,114,18,2,19,3,10,4,3,8,6,6,4,7,2,15,3,4
2021년04월_남_총인구수,"110,038","8,409","4,746","4,603","9,219","7,687","6,633","4,841","5,813","10,383","12,992","3,997","3,286","4,246","9,990","6,286","6,907"
2021년04월_남_연령구간인구수,"110,038","8,409","4,746","4,603","9,219","7,687","6,633","4,841","5,813","10,383","12,992","3,997","3,286","4,246","9,990","6,286","6,907"
2021년04월_남_0~9세,"6,803",485,176,86,332,642,445,391,370,617,"1,416",274,112,217,609,396,235
2021년04월_남_10~19세,"7,754",673,261,150,605,459,496,387,409,535,"1,436",256,135,213,576,727,436
2021년04월_남_20~29세,"15,966","1,290",818,441,"1,670","1,046",884,739,888,"1,551","1,433",453,578,699,"1,382",887,"1,207"
2021년04월_남_30~39세,"19,109","1,430",883,580,"1,698","1,761","1,062",906,982,"2,220","1,583",724,620,832,"1,911",731,"1,186"
2021년04월_남_40~49세,"17,337","1,317",704,679,"1,350","1,343","1,115",739,896,"1,433","2,195",610,434,689,"1,665","1,145","1,023"
2021년04월_남_50~59세,"18,151","1,375",675,"1,130","1,530","1,095","1,138",769,971,"1,720","2,190",635,513,568,"1,546","1,102","1,194"
2021년04월_남_60~69세,"13,918","1,050",655,968,"1,118",798,834,491,704,"1,321","1,463",602,499,503,"1,287",729,896
2021년04월_남_70~79세,"7,303",563,412,388,613,371,457,274,416,652,738,316,237,346,687,315,518
2021년04월_남_80~89세,"3,231",196,144,152,279,150,183,124,161,294,455,116,137,158,279,218,185
2021년04월_남_90~99세,431,27,16,20,23,19,18,20,14,38,81,11,20,21,42,35,26
2021년04월_남_100세 이상,35,3,2,9,1,3,1,1,2,2,2,0,1,0,6,1,1
2021년04월_여_총인구수,"118,717","8,923","5,087","2,946","10,457","8,355","7,467","5,417","6,374","11,322","14,713","4,497","3,538","4,944","10,748","6,829","7,100"
2021년04월_여_연령구간인구수,"118,717","8,923","5,087","2,946","10,457","8,355","7,467","5,417","6,374","11,322","14,713","4,497","3,538","4,944","10,748","6,829","7,100"
2021년04월_여_0~9세,"6,467",454,164,89,332,654,461,377,365,569,"1,291",263,123,206,538,377,204
2021년04월_여_10~19세,"7,536",564,250,106,532,408,726,353,385,471,"1,430",260,132,260,599,730,330
2021년04월_여_20~29세,"17,786","1,279",730,514,"2,569","1,430","1,013",854,956,"2,077","1,485",454,505,703,"1,326",908,983
2021년04월_여_30~39세,"19,236","1,357",834,478,"1,448","1,904","1,044",967,"1,021","2,429","1,985",703,518,846,"1,991",765,946
2021년04월_여_40~49세,"17,922","1,412",660,393,"1,339","1,283","1,152",823,916,"1,482","2,671",620,445,727,"1,692","1,277","1,030"
2021년04월_여_50~59세,"18,620","1,424",770,490,"1,561","1,118","1,179",835,"1,001","1,777","2,369",734,582,706,"1,674","1,130","1,270"
2021년04월_여_60~69세,"15,155","1,194",801,405,"1,284",850,914,583,853,"1,290","1,569",748,576,700,"1,492",729,"1,167"
2021년04월_여_70~79세,"9,508",744,520,282,892,449,563,377,568,749,"1,026",416,375,473,885,470,719
2021년04월_여_80~89세,"5,399",398,297,143,424,208,366,212,249,400,747,250,220,270,439,383,393
2021년04월_여_90~99세,"1,009",82,61,36,74,44,46,34,54,74,136,45,56,51,103,58,55
2021년04월_여_100세 이상,79,15,0,10,2,7,3,2,6,4,4,4,6,2,9,2,3
