,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2021년11월_계_총인구수,"52,024","21,654","4,560","6,655","1,729","1,733","1,339","2,286","2,368","3,942","5,179",388,191
2021년11월_계_연령구간인구수,"52,024","21,654","4,560","6,655","1,729","1,733","1,339","2,286","2,368","3,942","5,179",388,191
2021년11월_계_0~9세,"3,646","2,019",177,615,82,86,62,82,83,142,273,14,11
2021년11월_계_10~19세,"4,000","2,335",213,504,84,73,53,152,91,158,325,9,3
2021년11월_계_20~29세,"4,697","2,339",323,762,149,114,82,167,107,203,416,26,9
2021년11월_계_30~39세,"4,597","2,247",261,823,148,114,110,119,116,222,409,19,9
2021년11월_계_40~49세,"6,224","3,220",396,837,151,142,100,232,185,345,533,56,27
2021년11월_계_50~59세,"8,430","3,491",790,"1,105",271,274,218,380,327,627,836,82,29
2021년11월_계_60~69세,"8,648","2,934",861,897,330,350,294,411,466,953,982,114,56
2021년11월_계_70~79세,"6,955","1,939",855,682,286,296,251,405,508,818,835,45,35
2021년11월_계_80~89세,"4,261",996,603,382,194,251,150,297,436,416,504,21,11
2021년11월_계_90~99세,539,125,77,46,32,32,19,37,48,58,62,2,1
2021년11월_계_100세 이상,27,9,4,2,2,1,0,4,1,0,4,0,0
2021년11월_남_총인구수,"25,979","10,626","2,279","3,514",912,855,665,"1,159","1,138","1,916","2,560",242,113
2021년11월_남_연령구간인구수,"25,979","10,626","2,279","3,514",912,855,665,"1,159","1,138","1,916","2,560",242,113
2021년11월_남_0~9세,"1,830","1,007",90,325,37,49,27,41,44,64,133,6,7
2021년11월_남_10~19세,"2,083","1,208",114,244,57,39,21,84,55,79,175,5,2
2021년11월_남_20~29세,"2,676","1,263",195,467,84,57,48,102,60,126,251,17,6
2021년11월_남_30~39세,"2,359","1,087",154,462,85,50,54,69,61,116,205,12,4
2021년11월_남_40~49세,"3,460","1,593",254,472,102,96,65,143,114,234,325,43,19
2021년11월_남_50~59세,"4,700","1,814",473,639,161,151,129,250,199,345,459,60,20
2021년11월_남_60~69세,"4,423","1,424",447,474,194,193,149,210,247,471,513,68,33
2021년11월_남_70~79세,"3,014",878,346,299,129,131,116,161,205,365,341,25,18
2021년11월_남_80~89세,"1,319",325,188,126,55,78,51,92,142,102,150,6,4
2021년11월_남_90~99세,115,27,18,6,8,11,5,7,11,14,8,0,0
2021년11월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년11월_여_총인구수,"26,045","11,028","2,281","3,141",817,878,674,"1,127","1,230","2,026","2,619",146,78
2021년11월_여_연령구간인구수,"26,045","11,028","2,281","3,141",817,878,674,"1,127","1,230","2,026","2,619",146,78
2021년11월_여_0~9세,"1,816","1,012",87,290,45,37,35,41,39,78,140,8,4
2021년11월_여_10~19세,"1,917","1,127",99,260,27,34,32,68,36,79,150,4,1
2021년11월_여_20~29세,"2,021","1,076",128,295,65,57,34,65,47,77,165,9,3
2021년11월_여_30~39세,"2,238","1,160",107,361,63,64,56,50,55,106,204,7,5
2021년11월_여_40~49세,"2,764","1,627",142,365,49,46,35,89,71,111,208,13,8
2021년11월_여_50~59세,"3,730","1,677",317,466,110,123,89,130,128,282,377,22,9
2021년11월_여_60~69세,"4,225","1,510",414,423,136,157,145,201,219,482,469,46,23
2021년11월_여_70~79세,"3,941","1,061",509,383,157,165,135,244,303,453,494,20,17
2021년11월_여_80~89세,"2,942",671,415,256,139,173,99,205,294,314,354,15,7
2021년11월_여_90~99세,424,98,59,40,24,21,14,30,37,44,54,2,1
2021년11월_여_100세 이상,27,9,4,2,2,1,0,4,1,0,4,0,0
