,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2021년06월_계_총인구수,"531,375","16,185","22,563","21,399","26,620","26,379","13,105","29,529","24,444","36,518","19,997","35,495","36,210","21,790","33,503","6,479","21,879","23,757","43,782","23,564","15,365","17,864","14,948"
2021년06월_계_연령구간인구수,"531,375","16,185","22,563","21,399","26,620","26,379","13,105","29,529","24,444","36,518","19,997","35,495","36,210","21,790","33,503","6,479","21,879","23,757","43,782","23,564","15,365","17,864","14,948"
2021년06월_계_0~9세,"35,384",915,688,"1,087","2,085","2,077",831,"2,303","1,804","1,963",696,975,"2,799","1,712","2,808",359,"1,687","1,692","4,201","2,079",717,"1,312",594
2021년06월_계_10~19세,"58,183","1,597",884,"1,299","2,765","2,226","1,249","3,432","5,476","6,030","2,438","1,398","5,453","2,352","4,762",587,"2,454","2,279","4,665","3,349","1,156","1,766",566
2021년06월_계_20~29세,"71,666","2,191","4,563","3,445","3,051","3,741","1,810","3,799","2,441","4,591","3,341","7,410","4,452","2,889","3,878",711,"2,767","3,287","5,285","2,554","2,132","1,823","1,505"
2021년06월_계_30~39세,"79,063","2,257","5,600","4,378","3,170","4,214","1,899","4,726","1,442","3,264","3,313","10,016","4,988","3,101","3,399",657,"2,702","3,654","6,485","2,823","2,214","2,565","2,196"
2021년06월_계_40~49세,"97,714","2,825","3,830","3,853","4,655","4,711","2,101","6,248","5,893","6,943","3,953","6,136","8,471","3,855","6,443",927,"3,639","3,985","7,894","4,474","2,095","3,144","1,639"
2021년06월_계_50~59세,"80,287","2,497","2,816","2,959","4,151","3,959","2,181","4,270","3,911","6,509","3,251","4,169","5,028","3,490","5,507","1,036","3,705","3,965","5,964","3,716","2,437","2,589","2,177"
2021년06월_계_60~69세,"60,385","1,793","2,251","2,271","3,183","3,008","1,702","2,474","1,958","4,355","1,565","3,067","2,642","2,589","3,629","1,198","3,112","3,073","5,054","2,928","2,559","2,591","3,383"
2021년06월_계_70~79세,"34,254","1,392","1,354","1,504","2,384","1,711",941,"1,645","1,093","2,158","1,082","1,652","1,727","1,230","2,146",712,"1,357","1,335","2,733","1,137","1,413","1,546","2,002"
