,전라북도 장수군,전라북도 장수군 장수읍,전라북도 장수군 산서면,전라북도 장수군 번암면,전라북도 장수군 장계면,전라북도 장수군 천천면,전라북도 장수군 계남면,전라북도 장수군 계북면
2020년09월_계_총인구수,"22,149","7,394","2,105","2,342","4,422","2,124","2,177","1,585"
2020년09월_계_연령구간인구수,"22,149","7,394","2,105","2,342","4,422","2,124","2,177","1,585"
2020년09월_계_0~9세,"1,176",564,75,73,248,58,89,69
2020년09월_계_10~19세,"1,670",742,121,121,352,98,146,90
2020년09월_계_20~29세,"1,672",643,141,146,371,125,160,86
2020년09월_계_30~39세,"1,578",686,109,124,325,122,125,87
2020년09월_계_40~49세,"2,612","1,043",197,217,577,188,233,157
2020년09월_계_50~59세,"3,702","1,141",343,393,781,376,413,255
2020년09월_계_60~69세,"4,186","1,196",395,531,779,502,412,371
2020년09월_계_70~79세,"3,131",831,375,435,553,358,333,246
2020년09월_계_80~89세,"2,113",480,302,262,384,254,238,193
2020년09월_계_90~99세,287,65,46,38,43,40,24,31
2020년09월_계_100세 이상,22,3,1,2,9,3,4,0
2020년09월_남_총인구수,"11,027","3,655","1,042","1,188","2,236","1,050","1,070",786
2020년09월_남_연령구간인구수,"11,027","3,655","1,042","1,188","2,236","1,050","1,070",786
2020년09월_남_0~9세,607,288,43,46,124,28,47,31
2020년09월_남_10~19세,841,353,65,64,201,49,63,46
2020년09월_남_20~29세,957,355,91,80,214,78,90,49
2020년09월_남_30~39세,822,331,61,75,174,67,74,40
2020년09월_남_40~49세,"1,477",579,113,134,313,109,128,101
2020년09월_남_50~59세,"2,093",637,200,212,449,219,238,138
2020년09월_남_60~69세,"2,111",575,192,288,387,257,212,200
2020년09월_남_70~79세,"1,355",353,169,194,246,145,135,113
2020년09월_남_80~89세,697,170,94,90,120,88,76,59
2020년09월_남_90~99세,63,13,14,5,7,10,5,9
2020년09월_남_100세 이상,4,1,0,0,1,0,2,0
2020년09월_여_총인구수,"11,122","3,739","1,063","1,154","2,186","1,074","1,107",799
2020년09월_여_연령구간인구수,"11,122","3,739","1,063","1,154","2,186","1,074","1,107",799
2020년09월_여_0~9세,569,276,32,27,124,30,42,38
2020년09월_여_10~19세,829,389,56,57,151,49,83,44
2020년09월_여_20~29세,715,288,50,66,157,47,70,37
2020년09월_여_30~39세,756,355,48,49,151,55,51,47
2020년09월_여_40~49세,"1,135",464,84,83,264,79,105,56
2020년09월_여_50~59세,"1,609",504,143,181,332,157,175,117
2020년09월_여_60~69세,"2,075",621,203,243,392,245,200,171
2020년09월_여_70~79세,"1,776",478,206,241,307,213,198,133
2020년09월_여_80~89세,"1,416",310,208,172,264,166,162,134
2020년09월_여_90~99세,224,52,32,33,36,30,19,22
2020년09월_여_100세 이상,18,2,1,2,8,3,2,0
