,충청북도 제천시,충청북도 제천시 봉양읍,충청북도 제천시 금성면,충청북도 제천시 청풍면,충청북도 제천시 수산면,충청북도 제천시 덕산면,충청북도 제천시 한수면,충청북도 제천시 백운면,충청북도 제천시 송학면,충청북도 제천시 교동,충청북도 제천시 의림지동,충청북도 제천시 중앙동,충청북도 제천시 남현동,충청북도 제천시 영서동,충청북도 제천시 용두동,충청북도 제천시 신백동,충청북도 제천시 청전동,충청북도 제천시 화산동
2020년10월_계_총인구수,"133,203","6,785","1,946","1,302","2,052","2,210",714,"3,258","4,618","18,860","9,958","5,926","4,937","10,295","18,050","11,198","15,693","15,401"
2020년10월_계_연령구간인구수,"133,203","6,785","1,946","1,302","2,052","2,210",714,"3,258","4,618","18,860","9,958","5,926","4,937","10,295","18,050","11,198","15,693","15,401"
2020년10월_계_0~9세,"8,863",270,52,28,44,68,21,90,92,"1,621",824,252,200,795,"1,364",760,697,"1,685"
2020년10월_계_10~19세,"11,789",354,91,52,73,202,33,132,199,"2,412","1,135",433,322,899,"1,815","1,193","1,140","1,304"
2020년10월_계_20~29세,"14,768",473,123,67,83,80,31,176,375,"2,259","1,307",639,555,"1,052","2,677","1,339","1,923","1,609"
2020년10월_계_30~39세,"13,116",425,105,64,75,77,35,119,225,"2,024","1,049",503,402,"1,174","2,168","1,055","1,416","2,200"
2020년10월_계_40~49세,"18,517",710,138,92,138,179,75,245,419,"3,298","1,643",766,568,"1,476","2,725","1,737","1,947","2,361"
2020년10월_계_50~59세,"24,115","1,301",396,275,426,395,151,614,922,"3,426","1,780","1,023",907,"1,776","3,171","2,156","2,951","2,445"
2020년10월_계_60~69세,"22,533","1,659",526,343,570,563,188,945,"1,213","2,239","1,309","1,227","1,075","1,579","2,324","1,559","3,197","2,017"
2020년10월_계_70~79세,"12,436",960,289,226,378,403,94,550,698,"1,078",560,732,633,"1,010","1,113",918,"1,633","1,161"
2020년10월_계_80~89세,"6,166",548,193,136,241,206,69,333,409,454,296,295,248,465,613,419,688,553
2020년10월_계_90~99세,826,83,28,16,19,37,16,50,62,43,53,51,25,50,79,57,95,62
2020년10월_계_100세 이상,74,2,5,3,5,0,1,4,4,6,2,5,2,19,1,5,6,4
2020년10월_남_총인구수,"66,811","3,467","1,052",673,"1,064","1,131",359,"1,668","2,429","9,270","4,920","2,943","2,454","5,145","9,003","5,602","7,851","7,780"
2020년10월_남_연령구간인구수,"66,811","3,467","1,052",673,"1,064","1,131",359,"1,668","2,429","9,270","4,920","2,943","2,454","5,145","9,003","5,602","7,851","7,780"
2020년10월_남_0~9세,"4,541",145,31,18,23,40,9,51,47,819,442,123,102,422,685,376,355,853
2020년10월_남_10~19세,"6,087",186,57,27,39,109,16,77,113,"1,208",574,227,169,468,931,630,609,647
2020년10월_남_20~29세,"8,211",267,84,37,61,49,22,106,235,"1,228",687,337,320,578,"1,473",756,"1,098",873
2020년10월_남_30~39세,"6,837",231,64,38,46,43,18,69,148,995,507,292,219,595,"1,148",535,779,"1,110"
2020년10월_남_40~49세,"9,541",394,80,58,87,110,46,144,259,"1,580",811,395,305,786,"1,341",855,"1,010","1,280"
2020년10월_남_50~59세,"12,335",696,224,144,220,213,84,321,490,"1,721",900,512,454,893,"1,604","1,145","1,427","1,287"
2020년10월_남_60~69세,"11,194",871,293,185,301,297,91,495,638,"1,103",650,576,490,761,"1,171",774,"1,524",974
2020년10월_남_70~79세,"5,632",460,141,111,195,195,39,266,322,446,232,349,296,449,449,374,781,527
2020년10월_남_80~89세,"2,228",198,67,53,82,69,29,126,161,162,103,118,91,172,186,145,249,217
2020년10월_남_90~99세,182,19,9,1,7,6,5,12,15,8,13,12,8,14,15,10,18,10
2020년10월_남_100세 이상,23,0,2,1,3,0,0,1,1,0,1,2,0,7,0,2,1,2
2020년10월_여_총인구수,"66,392","3,318",894,629,988,"1,079",355,"1,590","2,189","9,590","5,038","2,983","2,483","5,150","9,047","5,596","7,842","7,621"
2020년10월_여_연령구간인구수,"66,392","3,318",894,629,988,"1,079",355,"1,590","2,189","9,590","5,038","2,983","2,483","5,150","9,047","5,596","7,842","7,621"
2020년10월_여_0~9세,"4,322",125,21,10,21,28,12,39,45,802,382,129,98,373,679,384,342,832
2020년10월_여_10~19세,"5,702",168,34,25,34,93,17,55,86,"1,204",561,206,153,431,884,563,531,657
2020년10월_여_20~29세,"6,557",206,39,30,22,31,9,70,140,"1,031",620,302,235,474,"1,204",583,825,736
2020년10월_여_30~39세,"6,279",194,41,26,29,34,17,50,77,"1,029",542,211,183,579,"1,020",520,637,"1,090"
2020년10월_여_40~49세,"8,976",316,58,34,51,69,29,101,160,"1,718",832,371,263,690,"1,384",882,937,"1,081"
2020년10월_여_50~59세,"11,780",605,172,131,206,182,67,293,432,"1,705",880,511,453,883,"1,567","1,011","1,524","1,158"
2020년10월_여_60~69세,"11,339",788,233,158,269,266,97,450,575,"1,136",659,651,585,818,"1,153",785,"1,673","1,043"
2020년10월_여_70~79세,"6,804",500,148,115,183,208,55,284,376,632,328,383,337,561,664,544,852,634
2020년10월_여_80~89세,"3,938",350,126,83,159,137,40,207,248,292,193,177,157,293,427,274,439,336
2020년10월_여_90~99세,644,64,19,15,12,31,11,38,47,35,40,39,17,36,64,47,77,52
2020년10월_여_100세 이상,51,2,3,2,2,0,1,3,3,6,1,3,2,12,1,3,5,2
