,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 진월동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동
2021년12월_계_총인구수,"215,575","7,018","6,641","8,912","13,466","28,800","5,215","8,836","8,478","6,414","12,208","6,373","21,920","8,023","29,383","16,133","21,450","6,305"
2021년12월_계_연령구간인구수,"215,575","7,018","6,641","8,912","13,466","28,800","5,215","8,836","8,478","6,414","12,208","6,373","21,920","8,023","29,383","16,133","21,450","6,305"
2021년12월_계_0~9세,"17,062",416,505,446,790,"2,884",263,584,310,234,883,451,"1,675",448,"2,135","1,532","3,129",377
2021년12월_계_10~19세,"22,739",753,652,726,"1,267","4,900",284,523,542,328,"1,146",407,"2,254",536,"4,089","1,721","2,198",413
2021년12월_계_20~29세,"27,524",790,824,"1,173","1,959","3,144",642,"1,035","1,141",907,"1,476",994,"3,143","1,036","4,114","2,107","2,529",510
2021년12월_계_30~39세,"25,221",636,779,841,"1,500","2,674",609,"1,178","1,010",731,"1,368",893,"2,607",887,"2,874","2,241","3,811",582
2021년12월_계_40~49세,"34,277","1,000","1,063","1,196","1,989","5,638",743,"1,241","1,106",809,"1,833",858,"3,504","1,077","4,914","2,710","3,785",811
2021년12월_계_50~59세,"32,988","1,103",966,"1,471","2,131","4,284",834,"1,346","1,431","1,132","1,901",946,"3,553","1,355","4,741","2,110","2,713",971
2021년12월_계_60~69세,"29,154","1,014",917,"1,418","1,962","2,976",841,"1,312","1,531","1,258","1,888",917,"2,900","1,433","3,479","2,069","2,045","1,194"
2021년12월_계_70~79세,"17,585",863,645,"1,090","1,127","1,452",658,"1,074",962,701,"1,140",614,"1,608",884,"2,008","1,139",806,814
2021년12월_계_80~89세,"7,860",385,260,483,638,721,312,479,392,278,489,258,599,329,901,424,362,550
2021년12월_계_90~99세,"1,137",55,30,66,100,125,28,63,52,36,83,35,76,36,127,74,71,80
2021년12월_계_100세 이상,28,3,0,2,3,2,1,1,1,0,1,0,1,2,1,6,1,3
2021년12월_남_총인구수,"103,542","3,211","3,169","4,207","6,310","13,461","2,689","4,531","4,366","3,197","5,752","3,137","10,608","3,985","13,696","7,734","10,368","3,121"
2021년12월_남_연령구간인구수,"103,542","3,211","3,169","4,207","6,310","13,461","2,689","4,531","4,366","3,197","5,752","3,137","10,608","3,985","13,696","7,734","10,368","3,121"
2021년12월_남_0~9세,"8,699",202,259,236,410,"1,424",133,298,160,121,462,237,864,221,"1,034",795,"1,634",209
2021년12월_남_10~19세,"11,345",373,321,362,631,"2,464",155,285,302,168,543,197,"1,161",277,"1,918",890,"1,097",201
2021년12월_남_20~29세,"14,094",393,431,605,994,"1,639",343,570,617,473,765,456,"1,573",563,"2,130","1,013","1,245",284
2021년12월_남_30~39세,"12,515",309,373,446,764,"1,170",335,646,572,412,672,461,"1,302",489,"1,327","1,087","1,833",317
2021년12월_남_40~49세,"16,861",484,531,592,973,"2,536",420,735,634,462,888,481,"1,721",553,"2,170","1,342","1,883",456
2021년12월_남_50~59세,"15,697",496,464,684,968,"1,981",458,713,744,546,901,476,"1,660",636,"2,235",974,"1,252",509
2021년12월_남_60~69세,"13,319",427,403,617,867,"1,326",418,628,731,601,821,418,"1,360",668,"1,554",937,934,609
2021년12월_남_70~79세,"7,827",364,282,475,455,639,297,473,444,306,475,293,731,426,918,528,367,354
2021년12월_남_80~89세,"2,935",146,95,176,222,253,124,170,149,102,206,113,227,137,378,152,114,171
2021년12월_남_90~99세,244,15,10,14,26,29,6,13,13,6,19,5,8,14,31,16,9,10
2021년12월_남_100세 이상,6,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
2021년12월_여_총인구수,"112,033","3,807","3,472","4,705","7,156","15,339","2,526","4,305","4,112","3,217","6,456","3,236","11,312","4,038","15,687","8,399","11,082","3,184"
2021년12월_여_연령구간인구수,"112,033","3,807","3,472","4,705","7,156","15,339","2,526","4,305","4,112","3,217","6,456","3,236","11,312","4,038","15,687","8,399","11,082","3,184"
2021년12월_여_0~9세,"8,363",214,246,210,380,"1,460",130,286,150,113,421,214,811,227,"1,101",737,"1,495",168
2021년12월_여_10~19세,"11,394",380,331,364,636,"2,436",129,238,240,160,603,210,"1,093",259,"2,171",831,"1,101",212
2021년12월_여_20~29세,"13,430",397,393,568,965,"1,505",299,465,524,434,711,538,"1,570",473,"1,984","1,094","1,284",226
2021년12월_여_30~39세,"12,706",327,406,395,736,"1,504",274,532,438,319,696,432,"1,305",398,"1,547","1,154","1,978",265
2021년12월_여_40~49세,"17,416",516,532,604,"1,016","3,102",323,506,472,347,945,377,"1,783",524,"2,744","1,368","1,902",355
2021년12월_여_50~59세,"17,291",607,502,787,"1,163","2,303",376,633,687,586,"1,000",470,"1,893",719,"2,506","1,136","1,461",462
2021년12월_여_60~69세,"15,835",587,514,801,"1,095","1,650",423,684,800,657,"1,067",499,"1,540",765,"1,925","1,132","1,111",585
2021년12월_여_70~79세,"9,758",499,363,615,672,813,361,601,518,395,665,321,877,458,"1,090",611,439,460
2021년12월_여_80~89세,"4,925",239,165,307,416,468,188,309,243,176,283,145,372,192,523,272,248,379
2021년12월_여_90~99세,893,40,20,52,74,96,22,50,39,30,64,30,68,22,96,58,62,70
2021년12월_여_100세 이상,22,1,0,2,3,2,1,1,1,0,1,0,0,1,0,6,1,2
