카테고리,전라남도 강진군,전라남도 강진군 강진읍,전라남도 강진군 군동면,전라남도 강진군 칠량면,전라남도 강진군 대구면,전라남도 강진군 도암면,전라남도 강진군 신전면,전라남도 강진군 성전면,전라남도 강진군 작천면,전라남도 강진군 병영면,전라남도 강진군 옴천면,전라남도 강진군 마량면
2021년06월_계_총인구수,"34,248","13,482","4,408","2,282","1,139","2,511","1,779","2,775","1,831","1,617",625,"1,799"
2021년06월_계_연령구간인구수,"34,248","13,482","4,408","2,282","1,139","2,511","1,779","2,775","1,831","1,617",625,"1,799"
2021년06월_계_0~9세,"1,671",941,248,60,25,52,70,99,39,47,14,76
2021년06월_계_10~19세,"2,452","1,329",335,117,43,140,93,126,62,79,45,83
2021년06월_계_20~29세,"2,809","1,505",370,142,62,116,71,171,114,91,35,132
2021년06월_계_30~39세,"2,329","1,205",341,100,54,107,79,161,84,66,19,113
2021년06월_계_40~49세,"3,649","1,821",460,182,96,193,164,242,124,139,48,180
2021년06월_계_50~59세,"5,591","2,213",720,384,187,378,289,423,319,262,99,317
2021년06월_계_60~69세,"6,376","2,079",766,481,259,574,406,618,371,341,113,368
2021년06월_계_70~79세,"5,133","1,435",606,441,237,493,314,504,365,292,125,321
2021년06월_계_80~89세,"3,630",821,485,321,144,383,259,369,309,253,103,183
2021년06월_계_90~99세,580,123,75,52,31,66,33,62,42,46,24,26
2021년06월_계_100세 이상,28,10,2,2,1,9,1,0,2,1,0,0
2021년06월_남_총인구수,"16,581","6,509","2,145","1,104",544,"1,218",852,"1,360",884,762,309,894
2021년06월_남_연령구간인구수,"16,581","6,509","2,145","1,104",544,"1,218",852,"1,360",884,762,309,894
2021년06월_남_0~9세,833,481,120,36,8,25,26,50,24,20,7,36
2021년06월_남_10~19세,"1,264",666,187,52,22,78,48,60,31,45,27,48
2021년06월_남_20~29세,"1,592",817,222,82,38,71,42,108,61,54,22,75
2021년06월_남_30~39세,"1,193",602,178,55,30,63,37,82,49,35,5,57
2021년06월_남_40~49세,"2,015",908,237,113,61,118,106,149,81,91,36,115
2021년06월_남_50~59세,"3,029","1,125",389,203,110,222,158,241,193,144,62,182
2021년06월_남_60~69세,"3,201","1,017",412,251,120,296,199,314,188,171,61,172
2021년06월_남_70~79세,"2,220",620,245,194,110,218,148,221,152,113,57,142
2021년06월_남_80~89세,"1,127",249,141,110,41,114,86,119,97,80,26,64
2021년06월_남_90~99세,101,23,14,7,4,11,2,16,7,8,6,3
2021년06월_남_100세 이상,6,1,0,1,0,2,0,0,1,1,0,0
2021년06월_여_총인구수,"17,667","6,973","2,263","1,178",595,"1,293",927,"1,415",947,855,316,905
2021년06월_여_연령구간인구수,"17,667","6,973","2,263","1,178",595,"1,293",927,"1,415",947,855,316,905
2021년06월_여_0~9세,838,460,128,24,17,27,44,49,15,27,7,40
2021년06월_여_10~19세,"1,188",663,148,65,21,62,45,66,31,34,18,35
2021년06월_여_20~29세,"1,217",688,148,60,24,45,29,63,53,37,13,57
2021년06월_여_30~39세,"1,136",603,163,45,24,44,42,79,35,31,14,56
2021년06월_여_40~49세,"1,634",913,223,69,35,75,58,93,43,48,12,65
2021년06월_여_50~59세,"2,562","1,088",331,181,77,156,131,182,126,118,37,135
2021년06월_여_60~69세,"3,175","1,062",354,230,139,278,207,304,183,170,52,196
2021년06월_여_70~79세,"2,913",815,361,247,127,275,166,283,213,179,68,179
2021년06월_여_80~89세,"2,503",572,344,211,103,269,173,250,212,173,77,119
2021년06월_여_90~99세,479,100,61,45,27,55,31,46,35,38,18,23
2021년06월_여_100세 이상,22,9,2,1,1,7,1,0,1,0,0,0
