카테고리,충청남도 예산군,충청남도 예산군 예산읍,충청남도 예산군 삽교읍,충청남도 예산군 대술면,충청남도 예산군 신양면,충청남도 예산군 광시면,충청남도 예산군 대흥면,충청남도 예산군 응봉면,충청남도 예산군 덕산면,충청남도 예산군 봉산면,충청남도 예산군 고덕면,충청남도 예산군 신암면,충청남도 예산군 오가면
2020년11월_계_총인구수,"78,146","33,441","9,935","2,485","3,057","3,184","1,766","2,523","6,703","2,517","4,546","3,540","4,449"
2020년11월_계_연령구간인구수,"78,146","33,441","9,935","2,485","3,057","3,184","1,766","2,523","6,703","2,517","4,546","3,540","4,449"
2020년11월_계_0~9세,"3,656","2,136",541,61,63,81,36,57,261,76,133,102,109
2020년11월_계_10~19세,"5,659","3,328",641,77,156,133,58,142,400,146,245,125,208
2020년11월_계_20~29세,"6,853","3,537","1,124",133,149,175,87,191,487,140,276,241,313
2020년11월_계_30~39세,"6,143","2,996","1,141",152,184,128,84,139,452,145,246,211,265
2020년11월_계_40~49세,"9,568","5,005","1,164",231,266,287,150,248,759,237,443,328,450
2020년11월_계_50~59세,"13,711","5,940","1,602",429,482,553,280,461,"1,334",430,785,592,823
2020년11월_계_60~69세,"14,674","5,353","1,624",582,724,687,465,572,"1,408",530,934,808,987
2020년11월_계_70~79세,"10,464","3,274","1,163",468,573,592,341,390,936,443,875,651,758
2020년11월_계_80~89세,"6,551","1,656",833,309,412,491,226,284,574,314,550,433,469
2020년11월_계_90~99세,827,205,95,39,46,56,38,37,88,53,56,48,66
2020년11월_계_100세 이상,40,11,7,4,2,1,1,2,4,3,3,1,1
2020년11월_남_총인구수,"39,202","16,605","4,996","1,284","1,551","1,565",883,"1,313","3,321","1,271","2,308","1,789","2,316"
2020년11월_남_연령구간인구수,"39,202","16,605","4,996","1,284","1,551","1,565",883,"1,313","3,321","1,271","2,308","1,789","2,316"
2020년11월_남_0~9세,"1,901","1,114",272,30,35,42,21,31,135,39,67,54,61
2020년11월_남_10~19세,"2,902","1,684",327,37,91,64,31,79,210,69,121,73,116
2020년11월_남_20~29세,"3,859","1,936",614,78,93,94,47,117,284,88,164,146,198
2020년11월_남_30~39세,"3,423","1,583",644,89,110,73,52,89,245,93,151,123,171
2020년11월_남_40~49세,"5,256","2,537",655,163,153,175,92,162,416,142,281,196,284
2020년11월_남_50~59세,"7,314","3,062",843,247,266,315,152,240,693,244,445,338,469
2020년11월_남_60~69세,"7,245","2,565",792,298,369,362,244,292,687,258,464,418,496
2020년11월_남_70~79세,"4,748","1,479",532,220,262,257,164,180,422,205,409,286,332
2020년11월_남_80~89세,"2,363",593,299,116,165,167,78,113,206,116,197,141,172
2020년11월_남_90~99세,186,50,18,5,7,16,2,9,23,16,9,14,17
2020년11월_남_100세 이상,5,2,0,1,0,0,0,1,0,1,0,0,0
2020년11월_여_총인구수,"38,944","16,836","4,939","1,201","1,506","1,619",883,"1,210","3,382","1,246","2,238","1,751","2,133"
2020년11월_여_연령구간인구수,"38,944","16,836","4,939","1,201","1,506","1,619",883,"1,210","3,382","1,246","2,238","1,751","2,133"
2020년11월_여_0~9세,"1,755","1,022",269,31,28,39,15,26,126,37,66,48,48
2020년11월_여_10~19세,"2,757","1,644",314,40,65,69,27,63,190,77,124,52,92
2020년11월_여_20~29세,"2,994","1,601",510,55,56,81,40,74,203,52,112,95,115
2020년11월_여_30~39세,"2,720","1,413",497,63,74,55,32,50,207,52,95,88,94
2020년11월_여_40~49세,"4,312","2,468",509,68,113,112,58,86,343,95,162,132,166
2020년11월_여_50~59세,"6,397","2,878",759,182,216,238,128,221,641,186,340,254,354
2020년11월_여_60~69세,"7,429","2,788",832,284,355,325,221,280,721,272,470,390,491
2020년11월_여_70~79세,"5,716","1,795",631,248,311,335,177,210,514,238,466,365,426
2020년11월_여_80~89세,"4,188","1,063",534,193,247,324,148,171,368,198,353,292,297
2020년11월_여_90~99세,641,155,77,34,39,40,36,28,65,37,47,34,49
2020년11월_여_100세 이상,35,9,7,3,2,1,1,1,4,2,3,1,1
