,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2021년10월_계_총인구수,"55,809","14,576","2,269","2,595","1,696","19,933","2,550","2,386","1,499","2,686","3,095","1,158","1,366"
2021년10월_계_연령구간인구수,"55,809","14,576","2,269","2,595","1,696","19,933","2,550","2,386","1,499","2,686","3,095","1,158","1,366"
2021년10월_계_0~9세,"4,487",738,60,43,60,"3,237",153,43,15,40,44,19,35
2021년10월_계_10~19세,"4,480","1,183",113,75,54,"2,499",114,87,35,82,112,54,72
2021년10월_계_20~29세,"4,042","1,281",80,127,51,"1,751",226,103,54,92,166,41,70
2021년10월_계_30~39세,"5,324","1,099",73,105,83,"3,317",202,94,38,113,117,32,51
2021년10월_계_40~49세,"7,209","1,852",166,152,114,"3,809",234,199,87,186,231,76,103
2021년10월_계_50~59세,"7,934","2,401",325,398,253,"2,460",317,333,200,380,460,202,205
2021년10월_계_60~69세,"9,792","2,918",520,705,429,"1,559",471,592,411,719,761,380,327
2021년10월_계_70~79세,"6,749","1,844",476,500,331,737,414,500,318,564,607,184,274
2021년10월_계_80~89세,"5,075","1,097",411,421,284,491,358,383,305,458,532,140,195
2021년10월_계_90~99세,694,160,45,68,37,70,58,48,35,49,65,29,30
2021년10월_계_100세 이상,23,3,0,1,0,3,3,4,1,3,0,1,4
2021년10월_남_총인구수,"27,405","7,182","1,140","1,291",840,"9,745","1,264","1,161",726,"1,324","1,482",575,675
2021년10월_남_연령구간인구수,"27,405","7,182","1,140","1,291",840,"9,745","1,264","1,161",726,"1,324","1,482",575,675
2021년10월_남_0~9세,"2,278",377,31,23,27,"1,644",80,24,5,20,22,9,16
2021년10월_남_10~19세,"2,362",653,67,37,34,"1,282",57,45,19,46,54,35,33
2021년10월_남_20~29세,"2,266",751,48,83,31,899,144,58,34,53,102,20,43
2021년10월_남_30~39세,"2,672",572,40,67,42,"1,555",114,58,23,73,81,14,33
2021년10월_남_40~49세,"3,868",988,105,104,77,"1,871",154,130,60,134,140,46,59
2021년10월_남_50~59세,"4,171","1,201",202,215,159,"1,208",185,187,125,214,250,105,120
2021년10월_남_60~69세,"4,913","1,388",279,378,233,772,230,287,217,373,381,207,168
2021년10월_남_70~79세,"3,027",834,212,219,140,341,179,223,135,258,270,94,122
2021년10월_남_80~89세,"1,714",392,146,146,88,163,109,138,104,146,170,38,74
2021년10월_남_90~99세,132,26,10,18,9,10,12,11,4,7,12,6,7
2021년10월_남_100세 이상,2,0,0,1,0,0,0,0,0,0,0,1,0
2021년10월_여_총인구수,"28,404","7,394","1,129","1,304",856,"10,188","1,286","1,225",773,"1,362","1,613",583,691
2021년10월_여_연령구간인구수,"28,404","7,394","1,129","1,304",856,"10,188","1,286","1,225",773,"1,362","1,613",583,691
2021년10월_여_0~9세,"2,209",361,29,20,33,"1,593",73,19,10,20,22,10,19
2021년10월_여_10~19세,"2,118",530,46,38,20,"1,217",57,42,16,36,58,19,39
2021년10월_여_20~29세,"1,776",530,32,44,20,852,82,45,20,39,64,21,27
2021년10월_여_30~39세,"2,652",527,33,38,41,"1,762",88,36,15,40,36,18,18
2021년10월_여_40~49세,"3,341",864,61,48,37,"1,938",80,69,27,52,91,30,44
2021년10월_여_50~59세,"3,763","1,200",123,183,94,"1,252",132,146,75,166,210,97,85
2021년10월_여_60~69세,"4,879","1,530",241,327,196,787,241,305,194,346,380,173,159
2021년10월_여_70~79세,"3,722","1,010",264,281,191,396,235,277,183,306,337,90,152
2021년10월_여_80~89세,"3,361",705,265,275,196,328,249,245,201,312,362,102,121
2021년10월_여_90~99세,562,134,35,50,28,60,46,37,31,42,53,23,23
2021년10월_여_100세 이상,21,3,0,0,0,3,3,4,1,3,0,0,4
