,울산광역시 북구,울산광역시 북구 농소1동,울산광역시 북구 농소2동,울산광역시 북구 농소3동,울산광역시 북구 강동동,울산광역시 북구 효문동,울산광역시 북구 송정동,울산광역시 북구 양정동,울산광역시 북구 염포동
2020년06월_계_총인구수,"218,673","37,632","40,063","39,312","16,428","29,965","34,903","10,129","10,241"
2020년06월_계_연령구간인구수,"218,673","37,632","40,063","39,312","16,428","29,965","34,903","10,129","10,241"
2020년06월_계_0~9세,"25,898","4,789","5,589","3,965","2,729","2,774","4,460",769,823
2020년06월_계_10~19세,"23,606","3,954","4,583","6,327","1,248","2,368","3,570",760,796
2020년06월_계_20~29세,"28,077","4,380","4,556","4,965","1,284","4,786","5,026","1,740","1,340"
2020년06월_계_30~39세,"35,022","6,018","6,841","4,216","3,613","4,929","6,218","1,664","1,523"
2020년06월_계_40~49세,"38,383","6,656","7,364","8,639","2,639","4,452","5,636","1,465","1,532"
2020년06월_계_50~59세,"38,469","6,298","6,284","6,953","2,178","6,403","6,302","2,082","1,969"
2020년06월_계_60~69세,"18,625","3,470","3,088","2,448","1,674","2,901","2,438","1,104","1,502"
2020년06월_계_70~79세,"7,178","1,450","1,159","1,225",656,930,822,384,552
2020년06월_계_80~89세,"2,951",530,515,499,343,369,375,139,181
2020년06월_계_90~99세,446,82,83,74,59,52,56,21,19
2020년06월_계_100세 이상,18,5,1,1,5,1,0,1,4
2020년06월_남_총인구수,"113,189","19,229","20,532","19,996","8,419","15,959","17,828","5,768","5,458"
2020년06월_남_연령구간인구수,"113,189","19,229","20,532","19,996","8,419","15,959","17,828","5,768","5,458"
2020년06월_남_0~9세,"13,310","2,466","2,905","2,049","1,367","1,448","2,291",375,409
2020년06월_남_10~19세,"12,330","2,032","2,411","3,323",628,"1,260","1,835",411,430
2020년06월_남_20~29세,"15,784","2,399","2,499","2,760",689,"2,683","2,760","1,174",820
2020년06월_남_30~39세,"18,175","3,029","3,431","1,995","1,847","2,829","3,176","1,007",861
2020년06월_남_40~49세,"19,609","3,474","3,820","4,084","1,482","2,337","2,719",835,858
2020년06월_남_50~59세,"20,024","3,215","3,206","3,815","1,099","3,306","3,244","1,151",988
2020년06월_남_60~69세,"9,713","1,792","1,556","1,271",886,"1,540","1,304",584,780
2020년06월_남_70~79세,"3,306",656,539,535,309,442,394,192,239
2020년06월_남_80~89세,866,152,155,149,100,105,100,36,69
2020년06월_남_90~99세,69,13,10,15,12,8,5,3,3
2020년06월_남_100세 이상,3,1,0,0,0,1,0,0,1
2020년06월_여_총인구수,"105,484","18,403","19,531","19,316","8,009","14,006","17,075","4,361","4,783"
2020년06월_여_연령구간인구수,"105,484","18,403","19,531","19,316","8,009","14,006","17,075","4,361","4,783"
2020년06월_여_0~9세,"12,588","2,323","2,684","1,916","1,362","1,326","2,169",394,414
2020년06월_여_10~19세,"11,276","1,922","2,172","3,004",620,"1,108","1,735",349,366
2020년06월_여_20~29세,"12,293","1,981","2,057","2,205",595,"2,103","2,266",566,520
2020년06월_여_30~39세,"16,847","2,989","3,410","2,221","1,766","2,100","3,042",657,662
2020년06월_여_40~49세,"18,774","3,182","3,544","4,555","1,157","2,115","2,917",630,674
2020년06월_여_50~59세,"18,445","3,083","3,078","3,138","1,079","3,097","3,058",931,981
2020년06월_여_60~69세,"8,912","1,678","1,532","1,177",788,"1,361","1,134",520,722
2020년06월_여_70~79세,"3,872",794,620,690,347,488,428,192,313
2020년06월_여_80~89세,"2,085",378,360,350,243,264,275,103,112
2020년06월_여_90~99세,377,69,73,59,47,44,51,18,16
2020년06월_여_100세 이상,15,4,1,1,5,0,0,1,3
