카테고리,전라남도 곡성군,전라남도 곡성군 곡성읍,전라남도 곡성군 오곡면,전라남도 곡성군 삼기면,전라남도 곡성군 석곡면,전라남도 곡성군 목사동면,전라남도 곡성군 죽곡면,전라남도 곡성군 고달면,전라남도 곡성군 옥과면,전라남도 곡성군 입면,전라남도 곡성군 겸면,전라남도 곡성군 오산면
2020년02월_계_총인구수,"28,696","7,963","1,959","1,674","2,369","1,379","1,945","1,227","4,449","2,518","1,749","1,464"
2020년02월_계_연령구간인구수,"28,696","7,963","1,959","1,674","2,369","1,379","1,945","1,227","4,449","2,518","1,749","1,464"
2020년02월_계_0~9세,"1,196",497,68,36,63,25,50,39,239,74,65,40
2020년02월_계_10~19세,"2,122",697,139,84,144,49,100,61,485,224,80,59
2020년02월_계_20~29세,"2,512",779,121,106,163,89,144,83,588,200,124,115
2020년02월_계_30~39세,"1,823",675,107,71,121,60,91,53,351,123,99,72
2020년02월_계_40~49세,"3,249","1,082",193,163,212,111,175,98,573,351,163,128
2020년02월_계_50~59세,"5,023","1,315",345,278,435,269,357,222,736,462,315,289
2020년02월_계_60~69세,"4,785","1,197",380,327,407,255,377,215,625,375,300,327
2020년02월_계_70~79세,"4,340","1,006",332,315,412,269,363,251,486,368,320,218
2020년02월_계_80~89세,"3,143",613,249,245,351,220,240,180,321,292,244,188
2020년02월_계_90~99세,491,99,23,48,59,31,48,25,45,49,37,27
2020년02월_계_100세 이상,12,3,2,1,2,1,0,0,0,0,2,1
2020년02월_남_총인구수,"14,036","3,850",977,825,"1,114",667,951,595,"2,188","1,263",857,749
2020년02월_남_연령구간인구수,"14,036","3,850",977,825,"1,114",667,951,595,"2,188","1,263",857,749
2020년02월_남_0~9세,606,256,34,18,38,12,31,22,110,37,28,20
2020년02월_남_10~19세,"1,108",363,75,48,75,24,59,22,244,122,43,33
2020년02월_남_20~29세,"1,363",412,71,68,86,58,76,51,304,109,68,60
2020년02월_남_30~39세,990,328,69,48,64,37,49,32,186,75,62,40
2020년02월_남_40~49세,"1,828",565,114,102,118,67,101,60,303,207,113,78
2020년02월_남_50~59세,"2,773",703,198,150,245,147,190,132,393,276,171,168
2020년02월_남_60~69세,"2,488",589,196,179,196,137,201,109,325,203,162,191
2020년02월_남_70~79세,"1,789",420,127,126,174,107,156,109,207,139,128,96
2020년02월_남_80~89세,992,198,88,76,105,70,82,54,102,84,76,57
2020년02월_남_90~99세,97,16,5,10,12,8,6,4,14,11,5,6
2020년02월_남_100세 이상,2,0,0,0,1,0,0,0,0,0,1,0
2020년02월_여_총인구수,"14,660","4,113",982,849,"1,255",712,994,632,"2,261","1,255",892,715
2020년02월_여_연령구간인구수,"14,660","4,113",982,849,"1,255",712,994,632,"2,261","1,255",892,715
2020년02월_여_0~9세,590,241,34,18,25,13,19,17,129,37,37,20
2020년02월_여_10~19세,"1,014",334,64,36,69,25,41,39,241,102,37,26
2020년02월_여_20~29세,"1,149",367,50,38,77,31,68,32,284,91,56,55
2020년02월_여_30~39세,833,347,38,23,57,23,42,21,165,48,37,32
2020년02월_여_40~49세,"1,421",517,79,61,94,44,74,38,270,144,50,50
2020년02월_여_50~59세,"2,250",612,147,128,190,122,167,90,343,186,144,121
2020년02월_여_60~69세,"2,297",608,184,148,211,118,176,106,300,172,138,136
2020년02월_여_70~79세,"2,551",586,205,189,238,162,207,142,279,229,192,122
2020년02월_여_80~89세,"2,151",415,161,169,246,150,158,126,219,208,168,131
2020년02월_여_90~99세,394,83,18,38,47,23,42,21,31,38,32,21
2020년02월_여_100세 이상,10,3,2,1,1,1,0,0,0,0,1,1
