,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 국토정중앙면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면
2021년02월_계_총인구수,"22,123","14,003","3,382","2,084","1,335","1,319"
2021년02월_계_연령구간인구수,"22,123","14,003","3,382","2,084","1,335","1,319"
2021년02월_계_0~9세,"1,704","1,419",113,90,43,39
2021년02월_계_10~19세,"1,950","1,538",181,90,58,83
2021년02월_계_20~29세,"3,133","1,803",444,465,301,120
2021년02월_계_30~39세,"2,540","1,958",248,144,101,89
2021년02월_계_40~49세,"2,518","1,848",294,155,80,141
2021년02월_계_50~59세,"3,510","2,016",647,352,213,282
2021년02월_계_60~69세,"3,413","1,817",700,354,267,275
2021년02월_계_70~79세,"2,018",953,458,267,154,186
2021년02월_계_80~89세,"1,165",569,257,142,105,92
2021년02월_계_90~99세,157,71,36,25,13,12
2021년02월_계_100세 이상,15,11,4,0,0,0
2021년02월_남_총인구수,"11,748","7,178","1,876","1,189",793,712
2021년02월_남_연령구간인구수,"11,748","7,178","1,876","1,189",793,712
2021년02월_남_0~9세,870,712,64,48,21,25
2021년02월_남_10~19세,983,762,97,43,33,48
2021년02월_남_20~29세,"2,105","1,078",349,348,255,75
2021년02월_남_30~39세,"1,414","1,051",153,96,66,48
2021년02월_남_40~49세,"1,364",969,177,90,44,84
2021년02월_남_50~59세,"1,876","1,047",365,185,122,157
2021년02월_남_60~69세,"1,811",938,373,200,147,153
2021년02월_남_70~79세,872,404,198,118,63,89
2021년02월_남_80~89세,405,190,90,53,40,32
2021년02월_남_90~99세,42,22,9,8,2,1
2021년02월_남_100세 이상,6,5,1,0,0,0
2021년02월_여_총인구수,"10,375","6,825","1,506",895,542,607
2021년02월_여_연령구간인구수,"10,375","6,825","1,506",895,542,607
2021년02월_여_0~9세,834,707,49,42,22,14
2021년02월_여_10~19세,967,776,84,47,25,35
2021년02월_여_20~29세,"1,028",725,95,117,46,45
2021년02월_여_30~39세,"1,126",907,95,48,35,41
2021년02월_여_40~49세,"1,154",879,117,65,36,57
2021년02월_여_50~59세,"1,634",969,282,167,91,125
2021년02월_여_60~69세,"1,602",879,327,154,120,122
2021년02월_여_70~79세,"1,146",549,260,149,91,97
2021년02월_여_80~89세,760,379,167,89,65,60
2021년02월_여_90~99세,115,49,27,17,11,11
2021년02월_여_100세 이상,9,6,3,0,0,0
