카테고리,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 동면,강원도 홍천군 영귀미면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면
2021년06월_계_총인구수,"68,619","34,381","4,602","2,444","2,364","3,719",0,"4,006","6,225","3,791","3,913","3,174"
2021년06월_계_연령구간인구수,"68,619","34,381","4,602","2,444","2,364","3,719",0,"4,006","6,225","3,791","3,913","3,174"
2021년06월_계_0~9세,"3,691","2,525",119,48,46,123,0,105,382,100,119,124
2021년06월_계_10~19세,"5,054","3,453",159,110,71,185,0,187,430,125,196,138
2021년06월_계_20~29세,"6,652","4,058",370,147,117,274,0,228,789,217,265,187
2021년06월_계_30~39세,"5,878","3,754",285,111,93,198,0,216,592,222,229,178
2021년06월_계_40~49세,"8,074","5,226",387,155,176,296,0,327,535,348,363,261
2021년06월_계_50~59세,"12,275","5,883",757,438,468,759,0,752,963,734,793,728
2021년06월_계_60~69세,"14,606","5,293","1,309",727,741,"1,035",0,"1,146","1,322","1,111","1,036",886
2021년06월_계_70~79세,"7,204","2,510",697,395,367,476,0,621,669,558,510,401
2021년06월_계_80~89세,"4,507","1,452",439,260,253,329,0,380,475,316,364,239
2021년06월_계_90~99세,646,211,77,52,31,40,0,41,68,58,37,31
2021년06월_계_100세 이상,32,16,3,1,1,4,0,3,0,2,1,1
2021년06월_남_총인구수,"35,342","17,396","2,433","1,223","1,229","1,906",0,"2,081","3,324","2,002","2,057","1,691"
2021년06월_남_연령구간인구수,"35,342","17,396","2,433","1,223","1,229","1,906",0,"2,081","3,324","2,002","2,057","1,691"
2021년06월_남_0~9세,"1,878","1,273",61,29,31,65,0,50,189,52,58,70
2021년06월_남_10~19세,"2,574","1,781",86,58,35,96,0,115,165,65,106,67
2021년06월_남_20~29세,"4,033","2,324",248,87,69,176,0,139,590,128,154,118
2021년06월_남_30~39세,"3,208","2,002",166,58,52,100,0,126,332,150,129,93
2021년06월_남_40~49세,"4,322","2,633",249,91,121,158,0,194,305,208,216,147
2021년06월_남_50~59세,"6,486","3,062",422,232,240,401,0,401,516,376,433,403
2021년06월_남_60~69세,"7,638","2,664",680,381,392,545,0,596,716,611,568,485
2021년06월_남_70~79세,"3,420","1,086",360,179,188,240,0,312,322,271,255,207
2021년06월_남_80~89세,"1,624",518,141,98,91,116,0,137,175,123,133,92
2021년06월_남_90~99세,155,52,20,10,10,8,0,10,14,18,5,8
2021년06월_남_100세 이상,4,1,0,0,0,1,0,1,0,0,0,1
2021년06월_여_총인구수,"33,277","16,985","2,169","1,221","1,135","1,813",0,"1,925","2,901","1,789","1,856","1,483"
2021년06월_여_연령구간인구수,"33,277","16,985","2,169","1,221","1,135","1,813",0,"1,925","2,901","1,789","1,856","1,483"
2021년06월_여_0~9세,"1,813","1,252",58,19,15,58,0,55,193,48,61,54
2021년06월_여_10~19세,"2,480","1,672",73,52,36,89,0,72,265,60,90,71
2021년06월_여_20~29세,"2,619","1,734",122,60,48,98,0,89,199,89,111,69
2021년06월_여_30~39세,"2,670","1,752",119,53,41,98,0,90,260,72,100,85
2021년06월_여_40~49세,"3,752","2,593",138,64,55,138,0,133,230,140,147,114
2021년06월_여_50~59세,"5,789","2,821",335,206,228,358,0,351,447,358,360,325
2021년06월_여_60~69세,"6,968","2,629",629,346,349,490,0,550,606,500,468,401
2021년06월_여_70~79세,"3,784","1,424",337,216,179,236,0,309,347,287,255,194
2021년06월_여_80~89세,"2,883",934,298,162,162,213,0,243,300,193,231,147
2021년06월_여_90~99세,491,159,57,42,21,32,0,31,54,40,32,23
2021년06월_여_100세 이상,28,15,3,1,1,3,0,2,0,2,1,0
