카테고리,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2021년09월_계_총인구수,"728,664","60,888","92,446","104,426","14,852","23,639","53,655","29,136","19,680","9,180","4,131","57,711","36,740","18,550","4,369","85,915","35,557","77,789"
2021년09월_계_연령구간인구수,"728,664","60,888","92,446","104,426","14,852","23,639","53,655","29,136","19,680","9,180","4,131","57,711","36,740","18,550","4,369","85,915","35,557","77,789"
2021년09월_계_0~9세,"63,595","3,721","7,634","8,371","1,559",915,"3,695","1,590","1,155",324,191,"6,230","3,150",627,153,"11,231","4,539","8,510"
2021년09월_계_10~19세,"78,269","7,185","11,382","11,411","1,393","1,794","6,520","2,506","1,886",724,231,"7,183","4,846","1,106",167,"9,005","3,855","7,075"
2021년09월_계_20~29세,"86,290","7,616","10,587","12,286","1,589","3,125","6,799","3,891","2,504",849,401,"6,237","4,602","2,448",498,"9,626","3,708","9,524"
2021년09월_계_30~39세,"89,590","5,766","9,772","11,964","2,109","2,279","5,342","3,250","1,755",744,400,"7,501","4,330","2,029",470,"14,067","5,181","12,631"
2021년09월_계_40~49세,"131,567","10,548","17,030","19,615","2,602","3,161","9,894","4,125","3,152","1,002",498,"11,909","7,228","2,113",450,"16,999","7,347","13,894"
2021년09월_계_50~59세,"120,897","11,104","15,426","17,889","2,312","5,004","9,945","5,576","3,686","1,782",760,"8,572","6,062","3,831",849,"11,276","5,247","11,576"
2021년09월_계_60~69세,"89,571","7,897","11,569","12,730","1,990","4,260","6,092","4,816","2,870","1,980",916,"5,461","3,576","3,769","1,065","8,047","3,574","8,959"
2021년09월_계_70~79세,"45,821","4,714","6,029","6,889",813,"1,970","3,515","2,227","1,708","1,126",457,"3,155","1,945","1,614",465,"3,892","1,442","3,860"
2021년09월_계_80~89세,"20,069","2,031","2,675","2,875",405,989,"1,641","1,020",826,521,237,"1,258",878,873,228,"1,527",570,"1,515"
2021년09월_계_90~99세,"2,852",294,328,383,79,136,207,124,118,121,37,194,122,136,21,235,91,226
2021년09월_계_100세 이상,143,12,14,13,1,6,5,11,20,7,3,11,1,4,3,10,3,19
2021년09월_남_총인구수,"362,614","30,023","46,622","52,218","7,469","12,292","26,987","14,539","9,866","4,869","2,137","28,150","18,113","9,486","2,491","42,168","17,369","37,815"
2021년09월_남_연령구간인구수,"362,614","30,023","46,622","52,218","7,469","12,292","26,987","14,539","9,866","4,869","2,137","28,150","18,113","9,486","2,491","42,168","17,369","37,815"
2021년09월_남_0~9세,"32,746","1,947","3,962","4,325",810,511,"1,922",781,599,181,103,"3,238","1,625",316,82,"5,725","2,306","4,313"
2021년09월_남_10~19세,"40,223","3,681","5,885","5,962",711,912,"3,370","1,316","1,016",423,113,"3,671","2,509",577,85,"4,503","1,997","3,492"
2021년09월_남_20~29세,"44,946","4,041","5,641","6,477",833,"1,747","3,609","2,088","1,275",504,225,"3,226","2,301","1,355",294,"4,780","1,880","4,670"
2021년09월_남_30~39세,"44,204","2,867","4,830","5,965","1,046","1,253","2,719","1,726",895,400,207,"3,553","2,146","1,177",291,"6,626","2,359","6,144"
2021년09월_남_40~49세,"65,844","4,964","8,533","9,880","1,340","1,677","4,932","2,070","1,600",558,263,"5,760","3,525","1,119",290,"8,712","3,680","6,941"
2021년09월_남_50~59세,"61,720","5,607","8,187","9,265","1,173","2,642","5,249","2,707","1,920",994,401,"4,308","3,100","1,939",484,"5,606","2,588","5,550"
2021년09월_남_60~69세,"43,662","3,780","5,788","6,124","1,000","2,254","2,984","2,410","1,403","1,035",489,"2,483","1,695","1,913",630,"3,738","1,662","4,274"
2021년09월_남_70~79세,"20,945","2,222","2,703","3,034",383,904,"1,534","1,035",759,555,227,"1,366",860,753,234,"1,865",665,"1,846"
2021년09월_남_80~89세,"7,633",828,"1,008","1,089",159,362,619,371,356,199,99,500,322,308,95,573,211,534
2021년09월_남_90~99세,659,82,84,94,13,30,48,33,38,18,7,43,30,28,6,39,20,46
2021년09월_남_100세 이상,32,4,1,3,1,0,1,2,5,2,3,2,0,1,0,1,1,5
2021년09월_여_총인구수,"366,050","30,865","45,824","52,208","7,383","11,347","26,668","14,597","9,814","4,311","1,994","29,561","18,627","9,064","1,878","43,747","18,188","39,974"
2021년09월_여_연령구간인구수,"366,050","30,865","45,824","52,208","7,383","11,347","26,668","14,597","9,814","4,311","1,994","29,561","18,627","9,064","1,878","43,747","18,188","39,974"
2021년09월_여_0~9세,"30,849","1,774","3,672","4,046",749,404,"1,773",809,556,143,88,"2,992","1,525",311,71,"5,506","2,233","4,197"
2021년09월_여_10~19세,"38,046","3,504","5,497","5,449",682,882,"3,150","1,190",870,301,118,"3,512","2,337",529,82,"4,502","1,858","3,583"
2021년09월_여_20~29세,"41,344","3,575","4,946","5,809",756,"1,378","3,190","1,803","1,229",345,176,"3,011","2,301","1,093",204,"4,846","1,828","4,854"
2021년09월_여_30~39세,"45,386","2,899","4,942","5,999","1,063","1,026","2,623","1,524",860,344,193,"3,948","2,184",852,179,"7,441","2,822","6,487"
2021년09월_여_40~49세,"65,723","5,584","8,497","9,735","1,262","1,484","4,962","2,055","1,552",444,235,"6,149","3,703",994,160,"8,287","3,667","6,953"
2021년09월_여_50~59세,"59,177","5,497","7,239","8,624","1,139","2,362","4,696","2,869","1,766",788,359,"4,264","2,962","1,892",365,"5,670","2,659","6,026"
2021년09월_여_60~69세,"45,909","4,117","5,781","6,606",990,"2,006","3,108","2,406","1,467",945,427,"2,978","1,881","1,856",435,"4,309","1,912","4,685"
2021년09월_여_70~79세,"24,876","2,492","3,326","3,855",430,"1,066","1,981","1,192",949,571,230,"1,789","1,085",861,231,"2,027",777,"2,014"
2021년09월_여_80~89세,"12,436","1,203","1,667","1,786",246,627,"1,022",649,470,322,138,758,556,565,133,954,359,981
2021년09월_여_90~99세,"2,193",212,244,289,66,106,159,91,80,103,30,151,92,108,15,196,71,180
2021년09월_여_100세 이상,111,8,13,10,0,6,4,9,15,5,0,9,1,3,3,9,2,14
