카테고리,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2020년05월_계_총인구수,"101,758","10,966","4,215","3,871","3,228","2,179","3,109","1,168","4,241","6,139","4,449","3,037","29,587","9,501","4,853","6,929","4,286"
2020년05월_계_연령구간인구수,"101,758","10,966","4,215","3,871","3,228","2,179","3,109","1,168","4,241","6,139","4,449","3,037","29,587","9,501","4,853","6,929","4,286"
2020년05월_계_0~9세,"5,832",407,107,107,76,66,69,15,136,277,76,88,"2,733",682,173,558,262
2020년05월_계_10~19세,"6,743",500,147,173,88,85,89,33,164,234,147,89,"2,999",923,280,580,212
2020년05월_계_20~29세,"10,388",978,330,242,188,107,192,70,271,"1,117",269,203,"3,575","1,237",503,691,415
2020년05월_계_30~39세,"9,562",811,303,231,189,93,163,52,243,478,259,197,"3,762","1,034",403,864,480
2020년05월_계_40~49세,"12,866","1,299",372,348,286,172,253,61,403,515,415,258,"4,869","1,472",565,"1,070",508
2020년05월_계_50~59세,"18,373","2,282",817,676,593,403,590,262,708,908,804,576,"5,228","1,669",915,"1,124",818
2020년05월_계_60~69세,"17,996","2,234",996,924,750,541,794,277,947,"1,100","1,064",801,"3,623","1,261",954,988,742
2020년05월_계_70~79세,"12,338","1,568",705,701,628,388,576,216,838,920,841,494,"1,767",792,677,703,524
2020년05월_계_80~89세,"6,863",807,383,422,389,288,336,161,473,532,510,294,934,386,346,324,278
2020년05월_계_90~99세,755,77,52,46,41,35,41,20,57,55,61,36,92,40,36,20,46
2020년05월_계_100세 이상,42,3,3,1,0,1,6,1,1,3,3,1,5,5,1,7,1
2020년05월_남_총인구수,"51,745","5,744","2,185","1,899","1,681","1,080","1,571",586,"2,151","3,462","2,295","1,595","14,585","4,751","2,391","3,458","2,311"
2020년05월_남_연령구간인구수,"51,745","5,744","2,185","1,899","1,681","1,080","1,571",586,"2,151","3,462","2,295","1,595","14,585","4,751","2,391","3,458","2,311"
2020년05월_남_0~9세,"2,956",214,56,59,42,43,31,9,71,147,36,47,"1,367",342,85,273,134
2020년05월_남_10~19세,"3,628",288,81,85,55,47,52,15,91,125,81,45,"1,605",482,140,326,110
2020년05월_남_20~29세,"6,183",560,201,153,132,59,108,41,168,910,162,120,"1,992",675,272,374,256
2020년05월_남_30~39세,"5,238",456,188,131,111,52,98,28,131,280,162,124,"1,971",539,231,447,289
2020년05월_남_40~49세,"7,051",753,238,197,178,105,163,38,248,329,252,173,"2,393",783,326,564,311
2020년05월_남_50~59세,"9,768","1,323",432,369,353,220,331,141,395,471,459,339,"2,554",825,483,577,496
2020년05월_남_60~69세,"8,985","1,141",509,458,403,278,395,156,459,587,556,411,"1,705",638,450,471,368
2020년05월_남_70~79세,"5,472",711,336,300,277,178,269,94,392,417,397,229,715,324,292,296,245
2020년05월_남_80~89세,"2,260",275,130,137,121,93,112,60,174,180,177,98,256,137,102,116,92
2020년05월_남_90~99세,191,22,13,10,9,5,11,4,22,15,12,8,26,5,10,9,10
2020년05월_남_100세 이상,13,1,1,0,0,0,1,0,0,1,1,1,1,1,0,5,0
2020년05월_여_총인구수,"50,013","5,222","2,030","1,972","1,547","1,099","1,538",582,"2,090","2,677","2,154","1,442","15,002","4,750","2,462","3,471","1,975"
2020년05월_여_연령구간인구수,"50,013","5,222","2,030","1,972","1,547","1,099","1,538",582,"2,090","2,677","2,154","1,442","15,002","4,750","2,462","3,471","1,975"
2020년05월_여_0~9세,"2,876",193,51,48,34,23,38,6,65,130,40,41,"1,366",340,88,285,128
2020년05월_여_10~19세,"3,115",212,66,88,33,38,37,18,73,109,66,44,"1,394",441,140,254,102
2020년05월_여_20~29세,"4,205",418,129,89,56,48,84,29,103,207,107,83,"1,583",562,231,317,159
2020년05월_여_30~39세,"4,324",355,115,100,78,41,65,24,112,198,97,73,"1,791",495,172,417,191
2020년05월_여_40~49세,"5,815",546,134,151,108,67,90,23,155,186,163,85,"2,476",689,239,506,197
2020년05월_여_50~59세,"8,605",959,385,307,240,183,259,121,313,437,345,237,"2,674",844,432,547,322
2020년05월_여_60~69세,"9,011","1,093",487,466,347,263,399,121,488,513,508,390,"1,918",623,504,517,374
2020년05월_여_70~79세,"6,866",857,369,401,351,210,307,122,446,503,444,265,"1,052",468,385,407,279
2020년05월_여_80~89세,"4,603",532,253,285,268,195,224,101,299,352,333,196,678,249,244,208,186
2020년05월_여_90~99세,564,55,39,36,32,30,30,16,35,40,49,28,66,35,26,11,36
2020년05월_여_100세 이상,29,2,2,1,0,1,5,1,1,2,2,0,4,4,1,2,1
