카테고리,충청북도 괴산군,충청북도 괴산군 괴산읍,충청북도 괴산군 감물면,충청북도 괴산군 장연면,충청북도 괴산군 연풍면,충청북도 괴산군 칠성면,충청북도 괴산군 문광면,충청북도 괴산군 청천면,충청북도 괴산군 청안면,충청북도 괴산군 사리면,충청북도 괴산군 소수면,충청북도 괴산군 불정면
2020년03월_계_총인구수,"37,896","10,182","2,070","1,904","2,316","3,129","2,182","5,072","3,414","2,775","2,080","2,772"
2020년03월_계_연령구간인구수,"37,896","10,182","2,070","1,904","2,316","3,129","2,182","5,072","3,414","2,775","2,080","2,772"
2020년03월_계_0~9세,"1,329",672,52,32,35,91,55,123,83,70,44,72
2020년03월_계_10~19세,"2,145",973,129,53,97,150,104,215,127,118,66,113
2020년03월_계_20~29세,"3,111","1,363",130,110,134,223,141,286,218,222,129,155
2020년03월_계_30~39세,"2,557","1,057",104,94,105,198,110,255,185,176,125,148
2020년03월_계_40~49세,"3,960","1,487",198,162,193,323,200,409,295,280,180,233
2020년03월_계_50~59세,"7,458","1,665",421,439,468,705,464,"1,107",708,534,403,544
2020년03월_계_60~69세,"8,204","1,436",492,480,606,663,505,"1,291",864,619,558,690
2020년03월_계_70~79세,"5,445",976,302,300,393,484,341,866,519,455,333,476
2020년03월_계_80~89세,"3,230",500,211,205,247,265,225,444,358,272,201,302
2020년03월_계_90~99세,431,50,30,28,34,25,37,72,54,28,38,35
2020년03월_계_100세 이상,26,3,1,1,4,2,0,4,3,1,3,4
2020년03월_남_총인구수,"19,365","5,192","1,082",967,"1,203","1,563","1,094","2,605","1,739","1,426","1,074","1,420"
2020년03월_남_연령구간인구수,"19,365","5,192","1,082",967,"1,203","1,563","1,094","2,605","1,739","1,426","1,074","1,420"
2020년03월_남_0~9세,674,346,27,17,17,37,26,56,41,41,23,43
2020년03월_남_10~19세,"1,090",492,67,25,55,73,49,114,68,52,33,62
2020년03월_남_20~29세,"1,822",773,77,69,83,111,87,177,137,130,83,95
2020년03월_남_30~39세,"1,447",557,64,53,66,121,61,150,104,102,83,86
2020년03월_남_40~49세,"2,298",801,124,98,117,193,110,239,185,169,115,147
2020년03월_남_50~59세,"4,016",891,232,244,251,378,244,610,381,295,203,287
2020년03월_남_60~69세,"4,284",715,263,253,327,360,262,667,454,335,295,353
2020년03월_남_70~79세,"2,498",414,137,133,183,215,176,419,243,200,163,215
2020년03월_남_80~89세,"1,134",190,82,70,95,70,70,157,112,95,70,123
2020년03월_남_90~99세,96,13,9,5,8,5,9,15,13,6,6,7
2020년03월_남_100세 이상,6,0,0,0,1,0,0,1,1,1,0,2
2020년03월_여_총인구수,"18,531","4,990",988,937,"1,113","1,566","1,088","2,467","1,675","1,349","1,006","1,352"
2020년03월_여_연령구간인구수,"18,531","4,990",988,937,"1,113","1,566","1,088","2,467","1,675","1,349","1,006","1,352"
2020년03월_여_0~9세,655,326,25,15,18,54,29,67,42,29,21,29
2020년03월_여_10~19세,"1,055",481,62,28,42,77,55,101,59,66,33,51
2020년03월_여_20~29세,"1,289",590,53,41,51,112,54,109,81,92,46,60
2020년03월_여_30~39세,"1,110",500,40,41,39,77,49,105,81,74,42,62
2020년03월_여_40~49세,"1,662",686,74,64,76,130,90,170,110,111,65,86
2020년03월_여_50~59세,"3,442",774,189,195,217,327,220,497,327,239,200,257
2020년03월_여_60~69세,"3,920",721,229,227,279,303,243,624,410,284,263,337
2020년03월_여_70~79세,"2,947",562,165,167,210,269,165,447,276,255,170,261
2020년03월_여_80~89세,"2,096",310,129,135,152,195,155,287,246,177,131,179
2020년03월_여_90~99세,335,37,21,23,26,20,28,57,41,22,32,28
2020년03월_여_100세 이상,20,3,1,1,3,2,0,3,2,0,3,2
