,강원도 속초시,강원도 속초시 영랑동,강원도 속초시 동명동,강원도 속초시 금호동,강원도 속초시 교동,강원도 속초시 노학동,강원도 속초시 조양동,강원도 속초시 청호동,강원도 속초시 대포동
2020년04월_계_총인구수,"81,713","4,684","3,918","6,376","9,890","21,748","27,358","4,526","3,213"
2020년04월_계_연령구간인구수,"81,713","4,684","3,918","6,376","9,890","21,748","27,358","4,526","3,213"
2020년04월_계_0~9세,"5,914",190,268,243,609,"1,462","2,807",251,84
2020년04월_계_10~19세,"7,610",289,273,476,946,"2,385","2,843",259,139
2020년04월_계_20~29세,"8,845",436,339,656,"1,098","2,447","3,204",400,265
2020년04월_계_30~39세,"9,239",448,413,476,"1,011","2,299","3,843",506,243
2020년04월_계_40~49세,"12,545",569,520,842,"1,454","3,604","4,658",535,363
2020년04월_계_50~59세,"15,139",946,789,"1,330","1,856","4,071","4,585",883,679
2020년04월_계_60~69세,"12,014",992,661,"1,170","1,610","2,990","3,011",847,733
2020년04월_계_70~79세,"6,711",527,433,737,852,"1,597","1,610",493,462
2020년04월_계_80~89세,"3,078",241,187,359,371,744,684,287,205
2020년04월_계_90~99세,584,44,32,83,79,142,107,60,37
2020년04월_계_100세 이상,34,2,3,4,4,7,6,5,3
2020년04월_남_총인구수,"40,393","2,440","1,964","3,096","4,838","10,758","13,358","2,287","1,652"
2020년04월_남_연령구간인구수,"40,393","2,440","1,964","3,096","4,838","10,758","13,358","2,287","1,652"
2020년04월_남_0~9세,"2,993",97,142,129,305,732,"1,405",139,44
2020년04월_남_10~19세,"3,943",162,140,244,492,"1,210","1,468",143,84
2020년04월_남_20~29세,"4,980",267,180,380,612,"1,379","1,781",229,152
2020년04월_남_30~39세,"4,903",262,212,276,562,"1,217","1,944",281,149
2020년04월_남_40~49세,"6,241",317,291,425,716,"1,749","2,254",294,195
2020년04월_남_50~59세,"7,442",493,403,630,897,"2,013","2,172",470,364
2020년04월_남_60~69세,"5,819",502,324,562,769,"1,498","1,384",425,355
2020년04월_남_70~79세,"2,910",244,206,311,348,692,686,205,218
2020년04월_남_80~89세,"1,024",88,58,125,116,237,234,85,81
2020년04월_남_90~99세,124,6,7,12,19,31,27,13,9
2020년04월_남_100세 이상,14,2,1,2,2,0,3,3,1
2020년04월_여_총인구수,"41,320","2,244","1,954","3,280","5,052","10,990","14,000","2,239","1,561"
2020년04월_여_연령구간인구수,"41,320","2,244","1,954","3,280","5,052","10,990","14,000","2,239","1,561"
2020년04월_여_0~9세,"2,921",93,126,114,304,730,"1,402",112,40
2020년04월_여_10~19세,"3,667",127,133,232,454,"1,175","1,375",116,55
2020년04월_여_20~29세,"3,865",169,159,276,486,"1,068","1,423",171,113
2020년04월_여_30~39세,"4,336",186,201,200,449,"1,082","1,899",225,94
2020년04월_여_40~49세,"6,304",252,229,417,738,"1,855","2,404",241,168
2020년04월_여_50~59세,"7,697",453,386,700,959,"2,058","2,413",413,315
2020년04월_여_60~69세,"6,195",490,337,608,841,"1,492","1,627",422,378
2020년04월_여_70~79세,"3,801",283,227,426,504,905,924,288,244
2020년04월_여_80~89세,"2,054",153,129,234,255,507,450,202,124
2020년04월_여_90~99세,460,38,25,71,60,111,80,47,28
2020년04월_여_100세 이상,20,0,2,2,2,7,3,2,2
