카테고리,울산광역시 북구,울산광역시 북구 농소1동,울산광역시 북구 농소2동,울산광역시 북구 농소3동,울산광역시 북구 강동동,울산광역시 북구 효문동,울산광역시 북구 송정동,울산광역시 북구 양정동,울산광역시 북구 염포동
2021년08월_계_총인구수,"217,920","36,971","40,159","38,569","16,506","29,640","36,158","9,964","9,953"
2021년08월_계_연령구간인구수,"217,920","36,971","40,159","38,569","16,506","29,640","36,158","9,964","9,953"
2021년08월_계_0~9세,"24,333","4,448","5,277","3,528","2,591","2,692","4,358",707,732
2021년08월_계_10~19세,"23,629","4,000","4,727","6,153","1,430","2,133","3,668",749,769
2021년08월_계_20~29세,"26,610","4,000","4,340","4,858","1,128","4,434","4,821","1,766","1,263"
2021년08월_계_30~39세,"33,096","5,607","6,503","3,663","3,273","4,958","6,103","1,595","1,394"
2021년08월_계_40~49세,"38,673","6,689","7,573","8,310","2,922","4,268","5,958","1,444","1,509"
2021년08월_계_50~59세,"38,497","6,170","6,326","7,259","2,121","6,217","6,664","1,889","1,851"
2021년08월_계_60~69세,"21,725","3,891","3,547","2,890","1,913","3,455","3,118","1,259","1,652"
2021년08월_계_70~79세,"7,713","1,536","1,258","1,271",699,"1,008",980,400,561
2021년08월_계_80~89세,"3,161",545,535,554,365,409,420,132,201
2021년08월_계_90~99세,465,81,72,79,62,64,68,23,16
2021년08월_계_100세 이상,18,4,1,4,2,2,0,0,5
2021년08월_남_총인구수,"112,835","18,891","20,388","19,624","8,458","15,896","18,412","5,799","5,367"
2021년08월_남_연령구간인구수,"112,835","18,891","20,388","19,624","8,458","15,896","18,412","5,799","5,367"
2021년08월_남_0~9세,"12,529","2,296","2,721","1,814","1,297","1,416","2,259",352,374
2021년08월_남_10~19세,"12,236","2,016","2,426","3,241",721,"1,119","1,889",399,425
2021년08월_남_20~29세,"15,263","2,243","2,373","2,708",642,"2,588","2,656","1,258",795
2021년08월_남_30~39세,"17,190","2,825","3,252","1,781","1,615","2,846","3,077",989,805
2021년08월_남_40~49세,"19,831","3,491","3,889","3,894","1,645","2,281","2,935",827,869
2021년08월_남_50~59세,"19,704","3,107","3,173","3,884","1,073","3,161","3,308","1,065",933
2021년08월_남_60~69세,"11,434","2,045","1,790","1,554","1,003","1,857","1,680",663,842
2021년08월_남_70~79세,"3,621",697,592,564,340,496,484,206,242
2021년08월_남_80~89세,954,156,161,170,112,124,115,38,78
2021년08월_남_90~99세,69,15,11,13,10,7,9,2,2
2021년08월_남_100세 이상,4,0,0,1,0,1,0,0,2
2021년08월_여_총인구수,"105,085","18,080","19,771","18,945","8,048","13,744","17,746","4,165","4,586"
2021년08월_여_연령구간인구수,"105,085","18,080","19,771","18,945","8,048","13,744","17,746","4,165","4,586"
2021년08월_여_0~9세,"11,804","2,152","2,556","1,714","1,294","1,276","2,099",355,358
2021년08월_여_10~19세,"11,393","1,984","2,301","2,912",709,"1,014","1,779",350,344
2021년08월_여_20~29세,"11,347","1,757","1,967","2,150",486,"1,846","2,165",508,468
2021년08월_여_30~39세,"15,906","2,782","3,251","1,882","1,658","2,112","3,026",606,589
2021년08월_여_40~49세,"18,842","3,198","3,684","4,416","1,277","1,987","3,023",617,640
2021년08월_여_50~59세,"18,793","3,063","3,153","3,375","1,048","3,056","3,356",824,918
2021년08월_여_60~69세,"10,291","1,846","1,757","1,336",910,"1,598","1,438",596,810
2021년08월_여_70~79세,"4,092",839,666,707,359,512,496,194,319
2021년08월_여_80~89세,"2,207",389,374,384,253,285,305,94,123
2021년08월_여_90~99세,396,66,61,66,52,57,59,21,14
2021년08월_여_100세 이상,14,4,1,3,2,1,0,0,3
