카테고리,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2021년10월_계_총인구수,"881,154","84,553","17,505","87,985","43,196","6,972","5,832","7,047","11,015","7,243","10,113","10,321","4,022","11,529","24,305","43,758","36,089","24,016","31,991","13,544","23,034","51,066","35,362","42,012","52,852","44,062","36,363","85,802","29,565"
2021년10월_계_연령구간인구수,"881,154","84,553","17,505","87,985","43,196","6,972","5,832","7,047","11,015","7,243","10,113","10,321","4,022","11,529","24,305","43,758","36,089","24,016","31,991","13,544","23,034","51,066","35,362","42,012","52,852","44,062","36,363","85,802","29,565"
2021년10월_계_0~9세,"101,759","8,186",844,"10,268","4,060",241,210,237,432,175,304,352,89,385,"4,365","4,087","3,810","2,198","4,019","1,187","1,653","5,892","3,946","5,451","8,445","6,210","5,133","14,238","5,342"
2021년10월_계_10~19세,"100,268","10,061","1,430","10,374","3,712",447,317,394,778,287,464,575,156,718,"2,492","3,837","3,660","3,915","4,055","1,785","2,147","6,859","6,573","5,337","9,253","4,414","3,667","9,808","2,753"
2021년10월_계_20~29세,"108,628","10,666","1,770","10,635","5,867",790,585,762,999,548,"1,004","1,048",413,"1,336","2,493","7,279","6,043","3,026","3,989","1,710","3,133","8,160","3,746","6,367","4,276","5,307","5,244","8,641","2,791"
2021년10월_계_30~39세,"150,834","11,879","1,591","15,466","7,313",603,500,785,906,528,"1,038",900,387,"1,207","5,149","8,565","6,430","2,846","5,527","1,468","2,869","9,360","3,906","8,110","8,333","10,676","8,187","18,727","7,578"
2021년10월_계_40~49세,"170,148","16,173","2,709","17,982","7,085",881,680,983,"1,408",801,"1,456","1,293",469,"1,570","4,789","7,809","6,316","5,185","6,068","2,594","3,893","10,089","8,570","8,468","13,438","8,567","7,086","18,024","5,762"
2021년10월_계_50~59세,"121,286","13,022","3,520","11,465","6,705","1,452","1,158","1,457","2,116","1,566","2,311","2,125",889,"2,435","3,053","6,096","4,932","3,453","4,481","2,315","4,145","6,723","4,972","4,419","5,864","4,519","4,112","9,176","2,805"
2021년10월_계_60~69세,"77,479","8,796","3,023","7,093","5,157","1,404","1,268","1,301","2,255","1,830","2,075","2,180",914,"2,157","1,489","3,765","2,982","1,838","2,722","1,459","3,172","2,546","2,167","2,190","2,185","2,776","1,946","5,015","1,774"
2021년10월_계_70~79세,"32,953","3,895","1,608","3,006","2,138",712,633,689,"1,226",865,857,"1,098",403,"1,017",299,"1,553","1,318","1,036",746,719,"1,350",982,"1,030","1,167",730,"1,093",687,"1,572",524
2021년10월_계_80~89세,"15,528","1,635",886,"1,502",982,394,398,377,755,553,521,684,265,604,152,682,522,462,338,273,588,408,413,446,276,431,259,515,207
2021년10월_계_90~99세,"2,190",227,121,187,171,48,82,58,133,88,79,65,36,93,23,83,74,56,46,34,77,45,38,56,51,66,41,83,29
2021년10월_계_100세 이상,81,13,3,7,6,0,1,4,7,2,4,1,1,7,1,2,2,1,0,0,7,2,1,1,1,3,1,3,0
2021년10월_남_총인구수,"457,918","42,945","9,567","47,246","23,591","3,691","3,330","4,233","5,974","4,004","6,113","5,979","2,484","6,700","12,171","23,756","18,579","11,694","16,167","6,910","12,191","26,327","17,418","21,688","26,267","22,152","18,817","43,043","14,881"
2021년10월_남_연령구간인구수,"457,918","42,945","9,567","47,246","23,591","3,691","3,330","4,233","5,974","4,004","6,113","5,979","2,484","6,700","12,171","23,756","18,579","11,694","16,167","6,910","12,191","26,327","17,418","21,688","26,267","22,152","18,817","43,043","14,881"
2021년10월_남_0~9세,"51,928","4,077",459,"5,313","2,104",126,125,135,220,83,155,191,60,197,"2,140","2,072","1,994","1,107","2,030",606,859,"2,967","2,022","2,800","4,272","3,183","2,634","7,274","2,723"
2021년10월_남_10~19세,"51,154","5,040",742,"5,316","1,898",244,170,217,419,156,243,315,79,391,"1,217","1,980","1,874","1,966","2,101",908,"1,120","3,498","3,294","2,787","4,661","2,252","1,886","5,000","1,380"
2021년10월_남_20~29세,"59,026","5,627","1,059","5,903","3,457",447,353,506,591,353,684,652,289,822,"1,278","4,319","3,371","1,556","2,102",943,"1,795","4,402","1,914","3,501","2,151","2,581","2,649","4,356","1,365"
2021년10월_남_30~39세,"78,972","6,093",972,"8,694","4,287",354,309,544,559,317,694,589,271,822,"2,546","4,896","3,398","1,396","2,747",760,"1,624","4,831","1,756","4,292","3,608","5,426","4,304","9,106","3,777"
2021년10월_남_40~49세,"90,439","8,363","1,611","10,067","4,022",495,434,675,820,505,976,853,334,"1,003","2,505","4,394","3,233","2,484","3,137","1,316","2,145","5,013","4,156","4,320","6,813","4,474","3,773","9,432","3,086"
2021년10월_남_50~59세,"65,189","6,898","2,016","6,408","3,682",808,694,908,"1,206",906,"1,509","1,333",585,"1,501","1,494","3,245","2,475","1,777","2,163","1,222","2,161","3,672","2,632","2,325","3,230","2,306","2,187","4,492","1,354"
2021년10월_남_60~69세,"39,639","4,379","1,601","3,614","2,689",737,748,744,"1,241","1,009","1,211","1,235",552,"1,229",793,"1,884","1,444",826,"1,402",709,"1,618","1,310","1,042",971,"1,118","1,279",968,"2,427",859
2021년10월_남_70~79세,"15,474","1,845",764,"1,368","1,052",325,324,347,590,440,433,528,214,495,147,694,565,414,371,335,645,466,430,493,321,497,325,783,263
2021년10월_남_80~89세,"5,624",572,310,521,368,142,157,147,296,211,189,262,93,221,47,254,214,160,107,106,210,158,167,182,86,139,83,154,68
2021년10월_남_90~99세,454,49,33,39,32,13,15,10,32,24,18,20,7,17,4,17,9,8,7,5,12,10,4,17,6,15,8,17,6
2021년10월_남_100세 이상,19,2,0,3,0,0,1,0,0,0,1,1,0,2,0,1,2,0,0,0,2,0,1,0,1,0,0,2,0
2021년10월_여_총인구수,"423,236","41,608","7,938","40,739","19,605","3,281","2,502","2,814","5,041","3,239","4,000","4,342","1,538","4,829","12,134","20,002","17,510","12,322","15,824","6,634","10,843","24,739","17,944","20,324","26,585","21,910","17,546","42,759","14,684"
2021년10월_여_연령구간인구수,"423,236","41,608","7,938","40,739","19,605","3,281","2,502","2,814","5,041","3,239","4,000","4,342","1,538","4,829","12,134","20,002","17,510","12,322","15,824","6,634","10,843","24,739","17,944","20,324","26,585","21,910","17,546","42,759","14,684"
2021년10월_여_0~9세,"49,831","4,109",385,"4,955","1,956",115,85,102,212,92,149,161,29,188,"2,225","2,015","1,816","1,091","1,989",581,794,"2,925","1,924","2,651","4,173","3,027","2,499","6,964","2,619"
2021년10월_여_10~19세,"49,114","5,021",688,"5,058","1,814",203,147,177,359,131,221,260,77,327,"1,275","1,857","1,786","1,949","1,954",877,"1,027","3,361","3,279","2,550","4,592","2,162","1,781","4,808","1,373"
2021년10월_여_20~29세,"49,602","5,039",711,"4,732","2,410",343,232,256,408,195,320,396,124,514,"1,215","2,960","2,672","1,470","1,887",767,"1,338","3,758","1,832","2,866","2,125","2,726","2,595","4,285","1,426"
2021년10월_여_30~39세,"71,862","5,786",619,"6,772","3,026",249,191,241,347,211,344,311,116,385,"2,603","3,669","3,032","1,450","2,780",708,"1,245","4,529","2,150","3,818","4,725","5,250","3,883","9,621","3,801"
2021년10월_여_40~49세,"79,709","7,810","1,098","7,915","3,063",386,246,308,588,296,480,440,135,567,"2,284","3,415","3,083","2,701","2,931","1,278","1,748","5,076","4,414","4,148","6,625","4,093","3,313","8,592","2,676"
2021년10월_여_50~59세,"56,097","6,124","1,504","5,057","3,023",644,464,549,910,660,802,792,304,934,"1,559","2,851","2,457","1,676","2,318","1,093","1,984","3,051","2,340","2,094","2,634","2,213","1,925","4,684","1,451"
2021년10월_여_60~69세,"37,840","4,417","1,422","3,479","2,468",667,520,557,"1,014",821,864,945,362,928,696,"1,881","1,538","1,012","1,320",750,"1,554","1,236","1,125","1,219","1,067","1,497",978,"2,588",915
2021년10월_여_70~79세,"17,479","2,050",844,"1,638","1,086",387,309,342,636,425,424,570,189,522,152,859,753,622,375,384,705,516,600,674,409,596,362,789,261
2021년10월_여_80~89세,"9,904","1,063",576,981,614,252,241,230,459,342,332,422,172,383,105,428,308,302,231,167,378,250,246,264,190,292,176,361,139
2021년10월_여_90~99세,"1,736",178,88,148,139,35,67,48,101,64,61,45,29,76,19,66,65,48,39,29,65,35,34,39,45,51,33,66,23
2021년10월_여_100세 이상,62,11,3,4,6,0,0,4,7,2,3,0,1,5,1,1,0,1,0,0,5,2,0,1,0,3,1,1,0
