카테고리,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2021년10월_계_총인구수,"43,572","9,748","3,042","3,483","1,928","1,841","2,190","3,395","5,913","1,707","1,691","1,433","4,218","2,983"
2021년10월_계_연령구간인구수,"43,572","9,748","3,042","3,483","1,928","1,841","2,190","3,395","5,913","1,707","1,691","1,433","4,218","2,983"
2021년10월_계_0~9세,"1,656",527,83,103,50,52,47,83,320,21,61,53,143,113
2021년10월_계_10~19세,"2,720",859,197,178,86,69,118,146,435,61,81,115,226,149
2021년10월_계_20~29세,"3,029",929,200,181,114,91,128,216,437,79,76,62,229,287
2021년10월_계_30~39세,"2,548",768,127,153,92,99,101,170,405,61,93,73,213,193
2021년10월_계_40~49세,"4,593","1,295",338,320,179,135,200,296,748,128,137,113,353,351
2021년10월_계_50~59세,"8,080","1,769",700,700,333,330,369,637,"1,037",277,270,257,830,571
2021년10월_계_60~69세,"9,304","1,722",646,785,448,438,521,795,"1,170",395,392,398,994,600
2021년10월_계_70~79세,"6,347","1,140",452,579,308,302,358,587,730,352,302,215,622,400
2021년10월_계_80~89세,"4,482",642,249,410,280,278,282,390,521,275,240,123,510,282
2021년10월_계_90~99세,796,96,48,73,38,44,65,72,109,56,39,24,96,36
2021년10월_계_100세 이상,17,1,2,1,0,3,1,3,1,2,0,0,2,1
2021년10월_남_총인구수,"21,741","4,811","1,539","1,726",949,901,"1,079","1,721","2,925",830,826,745,"2,125","1,564"
2021년10월_남_연령구간인구수,"21,741","4,811","1,539","1,726",949,901,"1,079","1,721","2,925",830,826,745,"2,125","1,564"
2021년10월_남_0~9세,871,271,44,64,32,25,27,44,146,12,27,31,81,67
2021년10월_남_10~19세,"1,484",453,108,103,53,36,53,75,244,27,45,76,123,88
2021년10월_남_20~29세,"1,800",509,111,123,67,51,85,140,263,49,44,36,139,183
2021년10월_남_30~39세,"1,390",403,65,84,49,54,60,112,200,38,52,39,117,117
2021년10월_남_40~49세,"2,560",666,180,181,102,88,117,174,411,76,78,65,204,218
2021년10월_남_50~59세,"4,439",946,394,365,183,170,206,371,546,156,163,143,464,332
2021년10월_남_60~69세,"4,840",854,347,412,240,237,273,402,596,208,214,212,534,311
2021년10월_남_70~79세,"2,807",489,191,243,136,146,162,259,335,163,129,106,286,162
2021년10월_남_80~89세,"1,382",201,85,143,74,83,85,129,157,92,66,33,159,75
2021년10월_남_90~99세,163,19,13,8,13,8,11,15,27,9,8,4,17,11
2021년10월_남_100세 이상,5,0,1,0,0,3,0,0,0,0,0,0,1,0
2021년10월_여_총인구수,"21,831","4,937","1,503","1,757",979,940,"1,111","1,674","2,988",877,865,688,"2,093","1,419"
2021년10월_여_연령구간인구수,"21,831","4,937","1,503","1,757",979,940,"1,111","1,674","2,988",877,865,688,"2,093","1,419"
2021년10월_여_0~9세,785,256,39,39,18,27,20,39,174,9,34,22,62,46
2021년10월_여_10~19세,"1,236",406,89,75,33,33,65,71,191,34,36,39,103,61
2021년10월_여_20~29세,"1,229",420,89,58,47,40,43,76,174,30,32,26,90,104
2021년10월_여_30~39세,"1,158",365,62,69,43,45,41,58,205,23,41,34,96,76
2021년10월_여_40~49세,"2,033",629,158,139,77,47,83,122,337,52,59,48,149,133
2021년10월_여_50~59세,"3,641",823,306,335,150,160,163,266,491,121,107,114,366,239
2021년10월_여_60~69세,"4,464",868,299,373,208,201,248,393,574,187,178,186,460,289
2021년10월_여_70~79세,"3,540",651,261,336,172,156,196,328,395,189,173,109,336,238
2021년10월_여_80~89세,"3,100",441,164,267,206,195,197,261,364,183,174,90,351,207
2021년10월_여_90~99세,633,77,35,65,25,36,54,57,82,47,31,20,79,25
2021년10월_여_100세 이상,12,1,1,1,0,0,1,3,1,2,0,0,1,1
