,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2021년12월_계_총인구수,"91,142","14,339","26,435","6,998","4,321","14,218","5,996","5,743","4,568","1,847","1,928","2,685","1,090",974
2021년12월_계_연령구간인구수,"91,142","14,339","26,435","6,998","4,321","14,218","5,996","5,743","4,568","1,847","1,928","2,685","1,090",974
2021년12월_계_0~9세,"6,324",661,"2,710",343,254,"1,526",214,182,212,51,48,79,27,17
2021년12월_계_10~19세,"8,177","1,105","3,429",484,366,"1,377",335,354,265,104,62,209,48,39
2021년12월_계_20~29세,"8,745","1,754","2,759",665,364,"1,351",484,530,333,112,79,191,74,49
2021년12월_계_30~39세,"8,842","1,224","3,248",525,305,"2,083",382,349,327,95,90,115,59,40
2021년12월_계_40~49세,"13,207","1,935","4,860",865,608,"2,527",562,568,501,177,176,270,78,80
2021년12월_계_50~59세,"15,316","2,495","3,820","1,309",798,"2,165","1,155","1,178",830,320,369,459,244,174
2021년12월_계_60~69세,"14,830","2,465","2,865","1,359",794,"1,658","1,419","1,304",905,427,493,572,319,250
2021년12월_계_70~79세,"9,295","1,563","1,693",865,519,988,841,745,676,308,349,433,135,180
2021년12월_계_80~89세,"5,506",988,897,502,268,469,519,465,442,207,232,295,91,131
2021년12월_계_90~99세,878,148,151,78,45,71,80,66,76,45,29,60,15,14
2021년12월_계_100세 이상,22,1,3,3,0,3,5,2,1,1,1,2,0,0
2021년12월_남_총인구수,"46,845","7,412","13,759","3,607","2,223","7,142","3,102","2,886","2,340",951,971,"1,394",558,500
2021년12월_남_연령구간인구수,"46,845","7,412","13,759","3,607","2,223","7,142","3,102","2,886","2,340",951,971,"1,394",558,500
2021년12월_남_0~9세,"3,148",328,"1,380",164,132,749,108,82,98,26,23,35,14,9
2021년12월_남_10~19세,"4,296",561,"1,809",260,186,700,181,182,158,58,39,118,24,20
2021년12월_남_20~29세,"4,904",968,"1,584",383,212,686,282,291,210,66,37,108,42,35
2021년12월_남_30~39세,"4,582",713,"1,627",269,159,"1,029",219,175,177,50,55,63,24,22
2021년12월_남_40~49세,"7,212","1,072","2,610",483,327,"1,337",331,294,291,103,109,152,52,51
2021년12월_남_50~59세,"8,516","1,442","2,148",744,445,"1,142",613,623,459,187,205,286,126,96
2021년12월_남_60~69세,"7,750","1,255","1,464",707,400,864,738,724,479,231,260,310,186,132
2021년12월_남_70~79세,"4,369",706,796,404,253,459,424,359,309,148,153,215,63,80
2021년12월_남_80~89세,"1,867",337,305,171,102,156,187,145,139,75,85,92,22,51
2021년12월_남_90~99세,195,29,34,21,7,20,18,11,19,7,5,15,5,4
2021년12월_남_100세 이상,6,1,2,1,0,0,1,0,1,0,0,0,0,0
2021년12월_여_총인구수,"44,297","6,927","12,676","3,391","2,098","7,076","2,894","2,857","2,228",896,957,"1,291",532,474
2021년12월_여_연령구간인구수,"44,297","6,927","12,676","3,391","2,098","7,076","2,894","2,857","2,228",896,957,"1,291",532,474
2021년12월_여_0~9세,"3,176",333,"1,330",179,122,777,106,100,114,25,25,44,13,8
2021년12월_여_10~19세,"3,881",544,"1,620",224,180,677,154,172,107,46,23,91,24,19
2021년12월_여_20~29세,"3,841",786,"1,175",282,152,665,202,239,123,46,42,83,32,14
2021년12월_여_30~39세,"4,260",511,"1,621",256,146,"1,054",163,174,150,45,35,52,35,18
2021년12월_여_40~49세,"5,995",863,"2,250",382,281,"1,190",231,274,210,74,67,118,26,29
2021년12월_여_50~59세,"6,800","1,053","1,672",565,353,"1,023",542,555,371,133,164,173,118,78
2021년12월_여_60~69세,"7,080","1,210","1,401",652,394,794,681,580,426,196,233,262,133,118
2021년12월_여_70~79세,"4,926",857,897,461,266,529,417,386,367,160,196,218,72,100
2021년12월_여_80~89세,"3,639",651,592,331,166,313,332,320,303,132,147,203,69,80
2021년12월_여_90~99세,683,119,117,57,38,51,62,55,57,38,24,45,10,10
2021년12월_여_100세 이상,16,0,1,2,0,3,4,2,0,1,1,2,0,0
