카테고리,전라북도 고창군,전라북도 고창군 고창읍,전라북도 고창군 고수면,전라북도 고창군 아산면,전라북도 고창군 무장면,전라북도 고창군 공음면,전라북도 고창군 상하면,전라북도 고창군 해리면,전라북도 고창군 성송면,전라북도 고창군 대산면,전라북도 고창군 심원면,전라북도 고창군 흥덕면,전라북도 고창군 성내면,전라북도 고창군 신림면,전라북도 고창군 부안면
2020년01월_계_총인구수,"55,604","21,504","2,286","2,735","2,848","2,612","2,492","2,915","1,851","3,423","2,557","3,179","2,029","2,270","2,903"
2020년01월_계_연령구간인구수,"55,604","21,504","2,286","2,735","2,848","2,612","2,492","2,915","1,851","3,423","2,557","3,179","2,029","2,270","2,903"
2020년01월_계_0~9세,"2,896","1,904",62,88,91,79,64,86,53,90,75,85,60,64,95
2020년01월_계_10~19세,"4,513","2,711",113,107,219,128,160,131,58,158,118,168,86,115,241
2020년01월_계_20~29세,"4,535","2,408",159,184,185,162,187,163,84,209,164,222,130,138,140
2020년01월_계_30~39세,"4,152","2,230",134,158,145,157,137,152,106,174,176,186,114,131,152
2020년01월_계_40~49세,"6,558","3,274",200,266,264,236,259,244,162,322,261,321,195,217,337
2020년01월_계_50~59세,"9,347","3,423",415,524,484,444,450,476,303,622,504,569,321,388,424
2020년01월_계_60~69세,"9,329","2,660",463,530,516,518,441,627,403,658,517,631,424,433,508
2020년01월_계_70~79세,"8,432","1,769",421,513,599,523,486,624,349,707,472,562,390,437,580
2020년01월_계_80~89세,"5,074",964,280,320,311,319,265,361,295,412,242,377,265,290,373
2020년01월_계_90~99세,732,154,37,44,33,44,42,47,37,65,27,54,44,56,48
2020년01월_계_100세 이상,36,7,2,1,1,2,1,4,1,6,1,4,0,1,5
2020년01월_남_총인구수,"27,439","10,600","1,173","1,398","1,409","1,288","1,199","1,419",906,"1,692","1,294","1,535","1,033","1,088","1,405"
2020년01월_남_연령구간인구수,"27,439","10,600","1,173","1,398","1,409","1,288","1,199","1,419",906,"1,692","1,294","1,535","1,033","1,088","1,405"
2020년01월_남_0~9세,"1,528",989,32,47,45,44,40,46,26,48,45,43,28,39,56
2020년01월_남_10~19세,"2,425","1,451",62,62,131,62,90,60,35,84,60,83,59,53,133
2020년01월_남_20~29세,"2,540","1,324",96,104,105,92,95,91,54,129,88,125,78,78,81
2020년01월_남_30~39세,"2,223","1,089",81,98,86,94,75,91,65,100,107,106,66,74,91
2020년01월_남_40~49세,"3,741","1,654",140,171,165,146,157,161,107,206,175,186,132,137,204
2020년01월_남_50~59세,"5,070","1,699",251,320,268,252,249,270,179,342,280,304,185,219,252
2020년01월_남_60~69세,"4,608","1,283",239,267,248,257,210,307,198,340,265,320,223,214,237
2020년01월_남_70~79세,"3,553",741,190,215,247,227,198,279,144,295,194,231,170,188,234
2020년01월_남_80~89세,"1,614",342,76,106,107,101,75,107,88,134,75,129,86,79,109
2020년01월_남_90~99세,135,28,6,8,7,13,10,6,10,13,5,8,6,7,8
2020년01월_남_100세 이상,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2020년01월_여_총인구수,"28,165","10,904","1,113","1,337","1,439","1,324","1,293","1,496",945,"1,731","1,263","1,644",996,"1,182","1,498"
2020년01월_여_연령구간인구수,"28,165","10,904","1,113","1,337","1,439","1,324","1,293","1,496",945,"1,731","1,263","1,644",996,"1,182","1,498"
2020년01월_여_0~9세,"1,368",915,30,41,46,35,24,40,27,42,30,42,32,25,39
2020년01월_여_10~19세,"2,088","1,260",51,45,88,66,70,71,23,74,58,85,27,62,108
2020년01월_여_20~29세,"1,995","1,084",63,80,80,70,92,72,30,80,76,97,52,60,59
2020년01월_여_30~39세,"1,929","1,141",53,60,59,63,62,61,41,74,69,80,48,57,61
2020년01월_여_40~49세,"2,817","1,620",60,95,99,90,102,83,55,116,86,135,63,80,133
2020년01월_여_50~59세,"4,277","1,724",164,204,216,192,201,206,124,280,224,265,136,169,172
2020년01월_여_60~69세,"4,721","1,377",224,263,268,261,231,320,205,318,252,311,201,219,271
2020년01월_여_70~79세,"4,879","1,028",231,298,352,296,288,345,205,412,278,331,220,249,346
2020년01월_여_80~89세,"3,460",622,204,214,204,218,190,254,207,278,167,248,179,211,264
2020년01월_여_90~99세,597,126,31,36,26,31,32,41,27,52,22,46,38,49,40
2020년01월_여_100세 이상,34,7,2,1,1,2,1,3,1,5,1,4,0,1,5
