카테고리,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2020년07월_계_총인구수,"25,161","5,226","1,874","2,509","2,091","2,534","2,608","1,801","6,518"
2020년07월_계_연령구간인구수,"25,161","5,226","1,874","2,509","2,091","2,534","2,608","1,801","6,518"
2020년07월_계_0~9세,"1,003",297,49,68,78,63,76,51,321
2020년07월_계_10~19세,"1,252",364,60,97,103,101,93,50,384
2020년07월_계_20~29세,"1,755",478,103,135,135,128,121,97,558
2020년07월_계_30~39세,"1,747",483,127,114,109,125,114,108,567
2020년07월_계_40~49세,"2,429",630,152,161,206,207,202,134,737
2020년07월_계_50~59세,"4,772","1,006",366,506,416,490,493,291,"1,204"
2020년07월_계_60~69세,"5,394",897,463,634,430,670,624,437,"1,239"
2020년07월_계_70~79세,"4,059",634,342,475,349,451,517,341,950
2020년07월_계_80~89세,"2,427",381,192,284,236,263,317,247,507
2020년07월_계_90~99세,302,47,20,32,27,35,50,43,48
2020년07월_계_100세 이상,21,9,0,3,2,1,1,2,3
2020년07월_남_총인구수,"12,580","2,605",930,"1,233","1,050","1,258","1,245",895,"3,364"
2020년07월_남_연령구간인구수,"12,580","2,605",930,"1,233","1,050","1,258","1,245",895,"3,364"
2020년07월_남_0~9세,522,161,24,34,40,38,39,25,161
2020년07월_남_10~19세,667,181,38,55,55,54,54,19,211
2020년07월_남_20~29세,"1,062",284,57,82,85,67,70,60,357
2020년07월_남_30~39세,"1,031",262,83,69,66,76,64,75,336
2020년07월_남_40~49세,"1,404",346,97,86,125,119,116,82,433
2020년07월_남_50~59세,"2,517",528,183,265,219,249,251,161,661
2020년07월_남_60~69세,"2,687",439,241,306,217,333,315,239,597
2020년07월_남_70~79세,"1,766",268,146,211,147,207,214,152,421
2020년07월_남_80~89세,856,127,58,118,89,108,110,72,174
2020년07월_남_90~99세,63,7,3,6,7,7,12,9,12
2020년07월_남_100세 이상,5,2,0,1,0,0,0,1,1
2020년07월_여_총인구수,"12,581","2,621",944,"1,276","1,041","1,276","1,363",906,"3,154"
2020년07월_여_연령구간인구수,"12,581","2,621",944,"1,276","1,041","1,276","1,363",906,"3,154"
2020년07월_여_0~9세,481,136,25,34,38,25,37,26,160
2020년07월_여_10~19세,585,183,22,42,48,47,39,31,173
2020년07월_여_20~29세,693,194,46,53,50,61,51,37,201
2020년07월_여_30~39세,716,221,44,45,43,49,50,33,231
2020년07월_여_40~49세,"1,025",284,55,75,81,88,86,52,304
2020년07월_여_50~59세,"2,255",478,183,241,197,241,242,130,543
2020년07월_여_60~69세,"2,707",458,222,328,213,337,309,198,642
2020년07월_여_70~79세,"2,293",366,196,264,202,244,303,189,529
2020년07월_여_80~89세,"1,571",254,134,166,147,155,207,175,333
2020년07월_여_90~99세,239,40,17,26,20,28,38,34,36
2020년07월_여_100세 이상,16,7,0,2,2,1,1,1,2
