,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2020년07월_계_총인구수,"31,602","10,156","1,454","1,888","2,614","8,511","1,969","1,586","3,424"
2020년07월_계_연령구간인구수,"31,602","10,156","1,454","1,888","2,614","8,511","1,969","1,586","3,424"
2020년07월_계_0~9세,"1,456",605,34,48,65,511,44,27,122
2020년07월_계_10~19세,"2,112",936,49,49,83,798,42,51,104
2020년07월_계_20~29세,"2,562",973,98,125,217,750,133,72,194
2020년07월_계_30~39세,"2,367",839,71,112,173,802,118,67,185
2020년07월_계_40~49세,"3,949","1,581",107,151,258,"1,262",156,138,296
2020년07월_계_50~59세,"5,977","1,862",261,353,572,"1,618",415,286,610
2020년07월_계_60~69세,"6,125","1,640",354,441,592,"1,459",468,357,814
2020년07월_계_70~79세,"4,119","1,067",242,353,371,842,345,317,582
2020년07월_계_80~89세,"2,625",589,216,228,253,427,215,250,447
2020년07월_계_90~99세,303,64,20,27,29,42,33,20,68
2020년07월_계_100세 이상,7,0,2,1,1,0,0,1,2
2020년07월_남_총인구수,"16,171","5,102",724,940,"1,424","4,412","1,056",810,"1,703"
2020년07월_남_연령구간인구수,"16,171","5,102",724,940,"1,424","4,412","1,056",810,"1,703"
2020년07월_남_0~9세,736,307,20,24,30,255,25,13,62
2020년07월_남_10~19세,"1,130",508,26,30,43,425,25,21,52
2020년07월_남_20~29세,"1,482",558,57,67,127,433,83,47,110
2020년07월_남_30~39세,"1,302",431,47,67,107,429,75,46,100
2020년07월_남_40~49세,"2,219",823,58,94,170,689,107,90,188
2020년07월_남_50~59세,"3,355","1,033",140,191,337,886,258,169,341
2020년07월_남_60~69세,"3,189",794,198,230,337,760,251,182,437
2020년07월_남_70~79세,"1,819",444,97,156,175,376,165,154,252
2020년07월_남_80~89세,865,193,74,73,92,149,58,83,143
2020년07월_남_90~99세,70,11,6,7,6,10,9,4,17
2020년07월_남_100세 이상,4,0,1,1,0,0,0,1,1
2020년07월_여_총인구수,"15,431","5,054",730,948,"1,190","4,099",913,776,"1,721"
2020년07월_여_연령구간인구수,"15,431","5,054",730,948,"1,190","4,099",913,776,"1,721"
2020년07월_여_0~9세,720,298,14,24,35,256,19,14,60
2020년07월_여_10~19세,982,428,23,19,40,373,17,30,52
2020년07월_여_20~29세,"1,080",415,41,58,90,317,50,25,84
2020년07월_여_30~39세,"1,065",408,24,45,66,373,43,21,85
2020년07월_여_40~49세,"1,730",758,49,57,88,573,49,48,108
2020년07월_여_50~59세,"2,622",829,121,162,235,732,157,117,269
2020년07월_여_60~69세,"2,936",846,156,211,255,699,217,175,377
2020년07월_여_70~79세,"2,300",623,145,197,196,466,180,163,330
2020년07월_여_80~89세,"1,760",396,142,155,161,278,157,167,304
2020년07월_여_90~99세,233,53,14,20,23,32,24,16,51
2020년07월_여_100세 이상,3,0,1,0,1,0,0,0,1
