카테고리,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2021년04월_계_총인구수,"40,179","9,124","11,763","1,110","1,417","1,170","1,203","1,671",887,"3,708","2,782","1,222","3,046","1,076"
2021년04월_계_연령구간인구수,"40,179","9,124","11,763","1,110","1,417","1,170","1,203","1,671",887,"3,708","2,782","1,222","3,046","1,076"
2021년04월_계_0~9세,"1,672",648,493,30,36,29,35,61,18,109,63,44,82,24
2021년04월_계_10~19세,"2,551",846,814,42,62,44,74,75,49,166,120,69,160,30
2021년04월_계_20~29세,"2,922",956,806,64,91,70,58,102,42,228,138,91,194,82
2021년04월_계_30~39세,"2,426",797,715,53,80,53,54,71,26,189,144,78,121,45
2021년04월_계_40~49세,"4,117","1,239","1,242",86,112,93,109,125,84,326,231,127,272,71
2021년04월_계_50~59세,"6,649","1,512","1,911",170,242,186,200,268,156,575,468,198,586,177
2021년04월_계_60~69세,"7,690","1,373","2,278",223,290,224,214,354,192,787,619,253,664,219
2021년04월_계_70~79세,"6,572",995,"2,007",201,253,224,219,304,175,726,513,205,537,213
2021년04월_계_80~89세,"4,799",671,"1,279",199,219,215,212,272,123,518,407,143,364,177
2021년04월_계_90~99세,750,81,208,41,31,31,27,38,21,83,75,14,63,37
2021년04월_계_100세 이상,31,6,10,1,1,1,1,1,1,1,4,0,3,1
2021년04월_남_총인구수,"19,592","4,482","5,745",530,700,565,584,794,454,"1,781","1,348",589,"1,506",514
2021년04월_남_연령구간인구수,"19,592","4,482","5,745",530,700,565,584,794,454,"1,781","1,348",589,"1,506",514
2021년04월_남_0~9세,878,352,258,15,18,12,21,24,8,59,27,30,42,12
2021년04월_남_10~19세,"1,301",401,433,26,36,25,40,43,22,92,65,27,75,16
2021년04월_남_20~29세,"1,668",529,453,36,49,38,35,59,26,130,87,63,122,41
2021년04월_남_30~39세,"1,304",404,393,31,49,25,31,36,19,99,79,41,70,27
2021년04월_남_40~49세,"2,348",623,710,55,71,55,72,75,53,208,142,76,162,46
2021년04월_남_50~59세,"3,709",803,"1,059",102,144,116,119,148,105,329,285,89,312,98
2021년04월_남_60~69세,"3,891",673,"1,132",120,160,116,113,200,100,384,303,127,351,112
2021년04월_남_70~79세,"2,814",442,844,93,99,106,83,130,80,307,215,91,233,91
2021년04월_남_80~89세,"1,518",238,419,43,70,61,66,70,37,158,126,45,125,60
2021년04월_남_90~99세,155,17,39,9,4,11,4,9,4,15,18,0,14,11
2021년04월_남_100세 이상,6,0,5,0,0,0,0,0,0,0,1,0,0,0
2021년04월_여_총인구수,"20,587","4,642","6,018",580,717,605,619,877,433,"1,927","1,434",633,"1,540",562
2021년04월_여_연령구간인구수,"20,587","4,642","6,018",580,717,605,619,877,433,"1,927","1,434",633,"1,540",562
2021년04월_여_0~9세,794,296,235,15,18,17,14,37,10,50,36,14,40,12
2021년04월_여_10~19세,"1,250",445,381,16,26,19,34,32,27,74,55,42,85,14
2021년04월_여_20~29세,"1,254",427,353,28,42,32,23,43,16,98,51,28,72,41
2021년04월_여_30~39세,"1,122",393,322,22,31,28,23,35,7,90,65,37,51,18
2021년04월_여_40~49세,"1,769",616,532,31,41,38,37,50,31,118,89,51,110,25
2021년04월_여_50~59세,"2,940",709,852,68,98,70,81,120,51,246,183,109,274,79
2021년04월_여_60~69세,"3,799",700,"1,146",103,130,108,101,154,92,403,316,126,313,107
2021년04월_여_70~79세,"3,758",553,"1,163",108,154,118,136,174,95,419,298,114,304,122
2021년04월_여_80~89세,"3,281",433,860,156,149,154,146,202,86,360,281,98,239,117
2021년04월_여_90~99세,595,64,169,32,27,20,23,29,17,68,57,14,49,26
2021년04월_여_100세 이상,25,6,5,1,1,1,1,1,1,1,3,0,3,1
