카테고리,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2020년11월_계_총인구수,"230,151","17,697","10,036","7,642","19,861","16,069","14,239","10,243","12,311","20,288","28,183","8,747","6,960","9,254","21,185","13,218","14,218"
2020년11월_계_연령구간인구수,"230,151","17,697","10,036","7,642","19,861","16,069","14,239","10,243","12,311","20,288","28,183","8,747","6,960","9,254","21,185","13,218","14,218"
2020년11월_계_0~9세,"13,570",965,371,195,679,"1,320",936,778,772,"1,108","2,762",563,244,438,"1,193",783,463
2020년11월_계_10~19세,"15,705","1,279",549,264,"1,187",874,"1,275",771,846,992,"2,931",514,288,488,"1,162","1,493",792
2020년11월_계_20~29세,"33,428","2,590","1,554",965,"4,240","2,436","1,868","1,585","1,840","3,114","3,008",973,"1,046","1,400","2,788","1,795","2,226"
2020년11월_계_30~39세,"38,103","2,832","1,769","1,043","3,132","3,690","2,078","1,878","2,026","4,015","3,671","1,472","1,153","1,653","4,026","1,518","2,147"
2020년11월_계_40~49세,"35,740","2,790","1,397","1,096","2,766","2,633","2,308","1,569","1,854","2,848","4,939","1,254",891,"1,420","3,394","2,480","2,101"
2020년11월_계_50~59세,"37,057","2,866","1,457","1,627","3,124","2,192","2,360","1,576","1,985","3,444","4,585","1,405","1,146","1,293","3,281","2,220","2,496"
2020년11월_계_60~69세,"28,754","2,267","1,450","1,366","2,378","1,629","1,726","1,051","1,545","2,509","2,986","1,341","1,075","1,195","2,782","1,421","2,033"
2020년11월_계_70~79세,"17,248","1,344",924,696,"1,533",843,"1,060",638,969,"1,418","1,835",778,640,849,"1,633",813,"1,275"
2020년11월_계_80~89세,"8,544",601,455,286,680,364,542,323,390,654,"1,197",367,373,419,728,603,562
