,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2020년11월_계_총인구수,"213,189","16,102","3,434","1,594","4,142","4,300","3,565","4,550","6,620","15,403","5,032","3,385","26,201","7,880","10,538","13,057","4,841","10,034","16,717","18,151","28,775","8,868"
2020년11월_계_연령구간인구수,"213,189","16,102","3,434","1,594","4,142","4,300","3,565","4,550","6,620","15,403","5,032","3,385","26,201","7,880","10,538","13,057","4,841","10,034","16,717","18,151","28,775","8,868"
2020년11월_계_0~9세,"13,527",598,127,29,196,100,120,200,392,"1,370",165,99,"1,842",367,439,602,290,911,"1,475",951,"2,502",752
2020년11월_계_10~19세,"19,076",942,202,35,285,185,165,217,489,"1,554",295,165,"3,063",646,763,"1,212",407,"1,045","1,555","1,575","3,530",746
2020년11월_계_20~29세,"25,151","1,440",303,99,361,409,260,412,505,"1,747",595,315,"3,599",919,"1,305","1,661",568,"1,142","2,575","2,018","3,482","1,436"
2020년11월_계_30~39세,"21,665","1,133",201,78,331,297,217,403,589,"2,052",449,291,"2,623",759,909,"1,265",545,"1,303","2,180","1,647","3,337","1,056"
2020년11월_계_40~49세,"32,354","1,967",384,114,486,432,323,580,957,"2,663",632,407,"4,604","1,054","1,463","1,885",730,"1,670","2,724","2,582","5,236","1,461"
2020년11월_계_50~59세,"36,703","2,943",698,325,713,775,695,850,"1,168","2,441",808,602,"4,472","1,452","2,010","2,480",941,"1,651","2,526","3,192","4,586","1,375"
2020년11월_계_60~69세,"33,547","3,438",717,464,893,958,856,975,"1,315","1,913",996,685,"3,183","1,434","1,938","2,255",743,"1,372","2,092","2,921","3,315","1,084"
2020년11월_계_70~79세,"19,585","2,275",431,282,509,675,561,544,756,"1,071",678,558,"1,782",806,"1,157","1,113",371,575,"1,016","2,083","1,732",610
2020년11월_계_80~89세,"9,835","1,137",318,145,292,393,321,317,389,501,324,238,896,376,477,493,210,303,498,"1,020",904,283
2020년11월_계_90~99세,"1,637",206,48,23,71,69,44,50,55,85,84,25,129,59,72,91,36,59,74,148,144,65
