,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2021년10월_계_총인구수,"35,659","10,442","4,367","4,677","1,819","1,579","3,190","2,498","3,457","1,637","1,993"
2021년10월_계_연령구간인구수,"35,659","10,442","4,367","4,677","1,819","1,579","3,190","2,498","3,457","1,637","1,993"
2021년10월_계_0~9세,"1,660",613,266,277,66,38,130,88,90,46,46
2021년10월_계_10~19세,"2,427",963,231,365,117,102,183,161,141,82,82
2021년10월_계_20~29세,"2,612",946,307,383,117,112,192,166,168,101,120
2021년10월_계_30~39세,"2,794",874,646,412,94,85,241,138,154,60,90
2021년10월_계_40~49세,"4,664","1,576",678,737,200,155,429,273,286,148,182
2021년10월_계_50~59세,"6,672","1,862",705,884,349,316,615,483,716,377,365
2021년10월_계_60~69세,"7,853","1,869",841,952,451,377,828,569,943,449,574
2021년10월_계_70~79세,"4,363","1,076",498,475,260,248,361,351,541,231,322
2021년10월_계_80~89세,"2,282",556,178,179,153,128,188,226,368,123,183
2021년10월_계_90~99세,320,103,17,12,12,14,22,42,50,20,28
2021년10월_계_100세 이상,12,4,0,1,0,4,1,1,0,0,1
2021년10월_남_총인구수,"18,585","5,359","2,298","2,447",940,791,"1,701","1,269","1,837",892,"1,051"
2021년10월_남_연령구간인구수,"18,585","5,359","2,298","2,447",940,791,"1,701","1,269","1,837",892,"1,051"
2021년10월_남_0~9세,855,322,138,140,33,14,67,48,42,24,27
2021년10월_남_10~19세,"1,256",510,102,189,54,57,92,80,73,48,51
2021년10월_남_20~29세,"1,533",566,172,219,73,63,116,105,95,64,60
2021년10월_남_30~39세,"1,545",446,374,214,55,55,146,74,100,30,51
2021년10월_남_40~49세,"2,691",832,418,411,119,96,259,152,184,93,127
2021년10월_남_50~59세,"3,741","1,016",401,497,200,180,337,270,404,234,202
2021년10월_남_60~69세,"4,155",980,403,493,248,197,451,292,528,251,312
2021년10월_남_70~79세,"1,960",478,226,216,100,94,167,161,255,106,157
2021년10월_남_80~89세,783,188,61,68,55,29,62,80,144,39,57
2021년10월_남_90~99세,61,19,3,0,3,3,4,7,12,3,7
2021년10월_남_100세 이상,5,2,0,0,0,3,0,0,0,0,0
2021년10월_여_총인구수,"17,074","5,083","2,069","2,230",879,788,"1,489","1,229","1,620",745,942
2021년10월_여_연령구간인구수,"17,074","5,083","2,069","2,230",879,788,"1,489","1,229","1,620",745,942
2021년10월_여_0~9세,805,291,128,137,33,24,63,40,48,22,19
2021년10월_여_10~19세,"1,171",453,129,176,63,45,91,81,68,34,31
2021년10월_여_20~29세,"1,079",380,135,164,44,49,76,61,73,37,60
2021년10월_여_30~39세,"1,249",428,272,198,39,30,95,64,54,30,39
2021년10월_여_40~49세,"1,973",744,260,326,81,59,170,121,102,55,55
2021년10월_여_50~59세,"2,931",846,304,387,149,136,278,213,312,143,163
2021년10월_여_60~69세,"3,698",889,438,459,203,180,377,277,415,198,262
2021년10월_여_70~79세,"2,403",598,272,259,160,154,194,190,286,125,165
2021년10월_여_80~89세,"1,499",368,117,111,98,99,126,146,224,84,126
2021년10월_여_90~99세,259,84,14,12,9,11,18,35,38,17,21
2021년10월_여_100세 이상,7,2,0,1,0,1,1,1,0,0,1
