카테고리,충청북도 제천시,충청북도 제천시 봉양읍,충청북도 제천시 금성면,충청북도 제천시 청풍면,충청북도 제천시 수산면,충청북도 제천시 덕산면,충청북도 제천시 한수면,충청북도 제천시 백운면,충청북도 제천시 송학면,충청북도 제천시 교동,충청북도 제천시 의림지동,충청북도 제천시 중앙동,충청북도 제천시 남현동,충청북도 제천시 영서동,충청북도 제천시 용두동,충청북도 제천시 신백동,충청북도 제천시 청전동,충청북도 제천시 화산동
2020년06월_계_총인구수,"133,395","6,806","1,953","1,291","2,050","2,221",708,"3,262","4,616","18,906","9,959","5,959","4,954","10,301","18,030","11,203","15,793","15,383"
2020년06월_계_연령구간인구수,"133,395","6,806","1,953","1,291","2,050","2,221",708,"3,262","4,616","18,906","9,959","5,959","4,954","10,301","18,030","11,203","15,793","15,383"
2020년06월_계_0~9세,"9,047",284,53,31,46,62,16,91,101,"1,658",827,268,213,820,"1,394",769,728,"1,686"
2020년06월_계_10~19세,"11,947",365,93,49,78,207,34,137,214,"2,430","1,151",440,320,894,"1,848","1,202","1,166","1,319"
2020년06월_계_20~29세,"14,798",473,118,69,79,85,32,180,378,"2,235","1,311",631,559,"1,079","2,712","1,341","1,939","1,577"
2020년06월_계_30~39세,"13,336",439,106,66,79,79,37,126,225,"2,063","1,074",520,420,"1,153","2,171","1,092","1,433","2,253"
2020년06월_계_40~49세,"18,682",727,142,94,143,183,77,244,420,"3,365","1,642",758,566,"1,492","2,750","1,740","1,948","2,391"
2020년06월_계_50~59세,"24,201","1,281",408,276,432,406,148,631,938,"3,393","1,768","1,050",920,"1,782","3,152","2,153","3,036","2,427"
2020년06월_계_60~69세,"22,070","1,647",516,325,549,557,185,923,"1,182","2,194","1,283","1,216","1,056","1,555","2,227","1,522","3,159","1,974"
2020년06월_계_70~79세,"12,356",962,290,229,386,404,92,542,699,"1,076",551,720,631,"1,013","1,088",908,"1,614","1,151"
2020년06월_계_80~89세,"6,084",543,193,133,230,206,71,333,398,445,302,301,242,449,614,417,666,541
2020년06월_계_90~99세,800,83,29,16,22,32,15,50,58,41,48,50,25,46,73,54,98,60
2020년06월_계_100세 이상,74,2,5,3,6,0,1,5,3,6,2,5,2,18,1,5,6,4
2020년06월_남_총인구수,"66,925","3,465","1,049",665,"1,059","1,133",354,"1,668","2,426","9,304","4,916","2,973","2,460","5,160","9,001","5,620","7,894","7,778"
2020년06월_남_연령구간인구수,"66,925","3,465","1,049",665,"1,059","1,133",354,"1,668","2,426","9,304","4,916","2,973","2,460","5,160","9,001","5,620","7,894","7,778"
2020년06월_남_0~9세,"4,622",149,32,18,24,36,4,50,50,827,437,134,108,436,700,393,362,862
2020년06월_남_10~19세,"6,176",190,58,24,42,110,18,83,120,"1,218",586,232,164,471,941,629,631,659
2020년06월_남_20~29세,"8,235",271,79,37,58,52,22,105,242,"1,234",684,334,323,592,"1,491",767,"1,092",852
2020년06월_남_30~39세,"6,949",233,64,42,47,44,21,72,152,"1,015",525,301,227,585,"1,155",548,781,"1,137"
2020년06월_남_40~49세,"9,630",403,82,59,90,116,46,147,262,"1,601",805,397,306,787,"1,354",856,"1,017","1,302"
2020년06월_남_50~59세,"12,353",685,229,143,223,210,81,330,488,"1,725",890,526,460,894,"1,589","1,150","1,458","1,272"
2020년06월_남_60~69세,"10,967",858,286,178,291,297,88,482,620,"1,065",638,571,475,756,"1,136",746,"1,530",950
2020년06월_남_70~79세,"5,594",462,141,111,197,192,39,260,321,458,232,341,301,451,435,374,761,518
2020년06월_남_80~89세,"2,195",195,66,51,77,71,30,123,158,152,106,124,88,166,186,146,240,216
2020년06월_남_90~99세,179,19,10,1,7,5,5,14,12,8,12,11,8,15,14,9,21,8
2020년06월_남_100세 이상,25,0,2,1,3,0,0,2,1,1,1,2,0,7,0,2,1,2
2020년06월_여_총인구수,"66,470","3,341",904,626,991,"1,088",354,"1,594","2,190","9,602","5,043","2,986","2,494","5,141","9,029","5,583","7,899","7,605"
2020년06월_여_연령구간인구수,"66,470","3,341",904,626,991,"1,088",354,"1,594","2,190","9,602","5,043","2,986","2,494","5,141","9,029","5,583","7,899","7,605"
2020년06월_여_0~9세,"4,425",135,21,13,22,26,12,41,51,831,390,134,105,384,694,376,366,824
2020년06월_여_10~19세,"5,771",175,35,25,36,97,16,54,94,"1,212",565,208,156,423,907,573,535,660
2020년06월_여_20~29세,"6,563",202,39,32,21,33,10,75,136,"1,001",627,297,236,487,"1,221",574,847,725
2020년06월_여_30~39세,"6,387",206,42,24,32,35,16,54,73,"1,048",549,219,193,568,"1,016",544,652,"1,116"
2020년06월_여_40~49세,"9,052",324,60,35,53,67,31,97,158,"1,764",837,361,260,705,"1,396",884,931,"1,089"
2020년06월_여_50~59세,"11,848",596,179,133,209,196,67,301,450,"1,668",878,524,460,888,"1,563","1,003","1,578","1,155"
2020년06월_여_60~69세,"11,103",789,230,147,258,260,97,441,562,"1,129",645,645,581,799,"1,091",776,"1,629","1,024"
2020년06월_여_70~79세,"6,762",500,149,118,189,212,53,282,378,618,319,379,330,562,653,534,853,633
2020년06월_여_80~89세,"3,889",348,127,82,153,135,41,210,240,293,196,177,154,283,428,271,426,325
2020년06월_여_90~99세,621,64,19,15,15,27,10,36,46,33,36,39,17,31,59,45,77,52
2020년06월_여_100세 이상,49,2,3,2,3,0,1,3,2,5,1,3,2,11,1,3,5,2
