카테고리,충청북도 괴산군,충청북도 괴산군 괴산읍,충청북도 괴산군 감물면,충청북도 괴산군 장연면,충청북도 괴산군 연풍면,충청북도 괴산군 칠성면,충청북도 괴산군 문광면,충청북도 괴산군 청천면,충청북도 괴산군 청안면,충청북도 괴산군 사리면,충청북도 괴산군 소수면,충청북도 괴산군 불정면
2021년10월_계_총인구수,"36,843","9,596","2,075","1,884","2,261","3,080","2,135","5,083","3,305","2,700","2,048","2,676"
2021년10월_계_연령구간인구수,"36,843","9,596","2,075","1,884","2,261","3,080","2,135","5,083","3,305","2,700","2,048","2,676"
2021년10월_계_0~9세,"1,197",570,57,47,37,76,50,107,79,63,50,61
2021년10월_계_10~19세,"1,865",849,117,55,72,127,88,192,112,101,57,95
2021년10월_계_20~29세,"2,506","1,068",109,94,112,196,120,231,163,190,99,124
2021년10월_계_30~39세,"2,217",926,103,68,102,175,114,215,152,139,113,110
2021년10월_계_40~49세,"3,586","1,393",169,146,179,279,182,373,253,253,161,198
2021년10월_계_50~59세,"7,005","1,655",398,392,408,659,412,"1,034",670,501,367,509
2021년10월_계_60~69세,"9,212","1,612",566,555,675,765,549,"1,488",938,670,616,778
2021년10월_계_70~79세,"5,290",932,296,283,366,468,357,838,513,453,345,439
2021년10월_계_80~89세,"3,478",534,224,217,273,294,226,519,366,296,201,328
2021년10월_계_90~99세,471,55,36,27,35,41,35,80,58,33,37,34
2021년10월_계_100세 이상,16,2,0,0,2,0,2,6,1,1,2,0
2021년10월_남_총인구수,"18,952","4,906","1,088",963,"1,170","1,561","1,088","2,649","1,687","1,390","1,051","1,399"
2021년10월_남_연령구간인구수,"18,952","4,906","1,088",963,"1,170","1,561","1,088","2,649","1,687","1,390","1,051","1,399"
2021년10월_남_0~9세,609,294,28,27,15,31,28,56,36,35,24,35
2021년10월_남_10~19세,956,431,56,29,43,61,39,110,55,46,29,57
2021년10월_남_20~29세,"1,481",609,63,59,67,104,78,156,98,110,53,84
2021년10월_남_30~39세,"1,272",493,65,38,63,104,66,124,91,83,74,71
2021년10월_남_40~49세,"2,070",748,107,77,112,164,107,216,155,154,101,129
2021년10월_남_50~59세,"3,823",917,224,221,211,368,226,555,370,283,184,264
2021년10월_남_60~69세,"4,910",798,310,307,372,421,280,814,506,358,334,410
2021년10월_남_70~79세,"2,489",404,138,120,175,213,191,411,239,209,177,212
2021년10월_남_80~89세,"1,235",198,89,81,105,85,67,188,123,104,65,130
2021년10월_남_90~99세,103,13,8,4,6,10,6,18,14,7,10,7
2021년10월_남_100세 이상,4,1,0,0,1,0,0,1,0,1,0,0
2021년10월_여_총인구수,"17,891","4,690",987,921,"1,091","1,519","1,047","2,434","1,618","1,310",997,"1,277"
2021년10월_여_연령구간인구수,"17,891","4,690",987,921,"1,091","1,519","1,047","2,434","1,618","1,310",997,"1,277"
2021년10월_여_0~9세,588,276,29,20,22,45,22,51,43,28,26,26
2021년10월_여_10~19세,909,418,61,26,29,66,49,82,57,55,28,38
2021년10월_여_20~29세,"1,025",459,46,35,45,92,42,75,65,80,46,40
2021년10월_여_30~39세,945,433,38,30,39,71,48,91,61,56,39,39
2021년10월_여_40~49세,"1,516",645,62,69,67,115,75,157,98,99,60,69
2021년10월_여_50~59세,"3,182",738,174,171,197,291,186,479,300,218,183,245
2021년10월_여_60~69세,"4,302",814,256,248,303,344,269,674,432,312,282,368
2021년10월_여_70~79세,"2,801",528,158,163,191,255,166,427,274,244,168,227
2021년10월_여_80~89세,"2,243",336,135,136,168,209,159,331,243,192,136,198
2021년10월_여_90~99세,368,42,28,23,29,31,29,62,44,26,27,27
2021년10월_여_100세 이상,12,1,0,0,1,0,2,5,1,0,2,0
